"";"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"1";"LTN";20170707;100000;20150703;20171001;"9,2821";"9,275";"9,2786";"979,095311";"1,85135085815716E-03";"9,0117";"9,5079";"9,0014";"9,4978";"Calculado"
"2";"LTN";20170707;100000;20140110;20180101;"8,7423";"8,723";"8,73";"960,608718";"9,01888709594789E-15";"8,4214";"9,0117";"8,4117";"9,0007";"Calculado"
"3";"LTN";20170707;100000;20160108;20180401;"8,6214";"8,6121";"8,615";"942,062212";"3,97205464519564E-16";"8,2809";"8,9541";"8,2704";"8,9427";"Calculado"
"4";"LTN";20170707;100000;20140704;20180701;"8,5707";"8,5569";"8,5618";"923,238683";"2,52000542666564E-03";"8,191";"8,8963";"8,2007";"8,9058";"Calculado"
"5";"LTN";20170707;100000;20160708;20181001;"8,6672";"8,66";"8,664";"903,133752";"1,64155765614901E-03";"8,2647";"8,9913";"8,2936";"9,0194";"Calculado"
"6";"LTN";20170707;100000;20150109;20190101;"8,7864";"8,7749";"8,78";"883,469721";"0";"8,3558";"9,1344";"8,4056";"9,1834";"Calculado"
"7";"LTN";20170707;100000;20170106;20190401;"8,9623";"8,955";"8,9591";"863,216437";"1,59426053914243E-03";"8,525";"9,346";"8,584";"9,4043";"Calculado"
"8";"LTN";20170707;100000;20150703;20190701;"9,1181";"9,1053";"9,112";"842,864659";"2,55139479199369E-03";"8,6761";"9,5438";"8,7265";"9,5933";"Calculado"
"9";"LTN";20170707;100000;20170707;20191001;"9,3128";"9,3";"9,3059";"820,588305";"4,26223728418157E-03";"--";"--";"8,9302";"9,8202";"Calculado"
"10";"LTN";20170707;100000;20160108;20200101;"9,43";"9,4174";"9,425";"800,092055";"0";"8,9887";"9,9059";"9,0486";"9,9655";"Calculado"
"11";"LTN";20170707;100000;20160708;20200701;"9,7621";"9,755";"9,7587";"758,800109";"1,97194286183944E-03";"9,2803";"10,2881";"9,3294";"10,3365";"Calculado"
"12";"LTN";20170707;100000;20170707;20210701;"10,2239";"10,2123";"10,2169";"680,273805";"4,02178097640957E-03";"--";"--";"9,7417";"10,8344";"Calculado"
"13";"NTN-C";20170707;770100;20000701;20210401;"--";"--";"5,3626";"3659,371627";"1,89106032286847E-02";"4,2796";"6,5724";"4,277";"6,5778";"Calculado"
"14";"NTN-C";20170707;770100;20000701;20310101;"--";"--";"5,5924";"5586,605455";"2,38137469847681E-02";"4,493";"6,8087";"4,4966";"6,8399";"Calculado"
"15";"LFT";20170707;210100;20000701;20170907;"--";"--";"0,0003";"8937,675251";"5,22201720170034E-05";"-0,0068";"0,0103";"-0,007";"0,0105";"Calculado"
"16";"LFT";20170707;210100;20000701;20180301;"--";"--";"0,0047";"8937,40712";"6,98763145451729E-04";"-0,0088";"0,0152";"-0,009";"0,0152";"Calculado"
"17";"LFT";20170707;210100;20000701;20180901;"--";"--";"0,0041";"8937,25518";"3,14700109015533E-04";"-0,0033";"0,0147";"-0,0037";"0,0147";"Calculado"
"18";"LFT";20170707;210100;20000701;20190301;"--";"--";"0,0068";"8936,683168";"4,04167714320399E-04";"-0,0022";"0,0186";"-0,0026";"0,0183";"Calculado"
"19";"LFT";20170707;210100;20000701;20200301;"--";"--";"0,0126";"8934,716877";"4,36872079884086E-04";"0,003";"0,0222";"0,0023";"0,0219";"Calculado"
"20";"LFT";20170707;210100;20000701;20200901;"--";"--";"0,0137";"8933,840984";"5,07550031522599E-04";"0,0038";"0,0244";"0,0031";"0,024";"Calculado"
"21";"LFT";20170707;210100;20000701;20210301;"--";"--";"0,015";"8932,822088";"6,39174493952301E-04";"0,0057";"0,0243";"0,0054";"0,0236";"Calculado"
"22";"LFT";20170707;210100;20000701;20210901;"--";"--";"0,0153";"8932,026634";"7,30158652566244E-04";"0,0064";"0,0247";"0,006";"0,0241";"Calculado"
"23";"LFT";20170707;210100;20000701;20220301;"--";"--";"0,0154";"8931,31162";"5,28471016821829E-04";"0,0061";"0,0254";"0,0058";"0,0247";"Calculado"
"24";"LFT";20170707;210100;20000701;20220901;"--";"--";"0,0151";"8930,748546";"5,02456550281134E-04";"0,0058";"0,0248";"0,0056";"0,0244";"Calculado"
"25";"LFT";20170707;210100;20000701;20230301;"--";"--";"0,0149";"8930,194409";"4,92712262540012E-04";"0,0064";"0,0227";"0,0061";"0,0224";"Calculado"
"26";"NTN-B";20170707;760199;20000715;20180815;"4,631";"4,6091";"4,6246";"3108,123386";"6,2254810060438E-03";"4,1073";"5,0468";"4,1019";"5,042";"Calculado"
"27";"NTN-B";20170707;760199;20000715;20190515;"4,5915";"4,5664";"4,5824";"3095,907631";"6,14144088254897E-03";"4,1897";"4,9917";"4,1616";"4,9643";"Calculado"
"28";"NTN-B";20170707;760199;20000715;20200815;"5,1369";"5,118";"5,1228";"3138,586405";"3,95075506814419E-03";"4,8146";"5,4817";"4,8052";"5,4725";"Calculado"
"29";"NTN-B";20170707;760199;20000715;20210515;"5,4428";"5,4289";"5,4341";"3080,134065";"5,3195635050226E-03";"5,127";"5,7833";"5,1321";"5,7887";"Calculado"
"30";"NTN-B";20170707;760199;20000715;20220815;"5,65";"5,63";"5,6422";"3113,397214";"3,51521008476557E-03";"5,3384";"5,9844";"5,3505";"5,9963";"Calculado"
"31";"NTN-B";20170707;760100;20000715;20230315;"--";"--";"5,6524";"3102,214662";"4,97694997695579E-03";"5,3516";"5,9915";"5,3645";"6,0044";"Calculado"
"32";"NTN-B";20170707;760199;20000715;20230515;"5,6638";"5,64";"5,6535";"3074,803336";"6,1615942392121E-03";"5,356";"5,9939";"5,367";"6,0049";"Calculado"
"33";"NTN-B";20170707;760199;20000715;20240815;"5,625";"5,593";"5,61";"3134,55841";"0";"5,2993";"5,9206";"5,3341";"5,9554";"Calculado"
"34";"NTN-B";20170707;760199;20000715;20260815;"5,69";"5,6671";"5,68";"3133,893567";"3,62307127488235E-15";"5,3654";"5,9737";"5,4079";"6,0162";"Calculado"
"35";"NTN-B";20170707;760199;20000715;20300815;"5,6497";"5,6";"5,6256";"3171,277549";"5,07467386290132E-03";"5,3018";"5,9161";"5,3442";"5,9584";"Calculado"
"36";"NTN-B";20170707;760199;20000715;20350515;"5,669";"5,6234";"5,646";"3143,476899";"5,9871997500137E-03";"5,3146";"5,934";"5,3578";"5,977";"Calculado"
"37";"NTN-B";20170707;760199;20000715;20400815;"5,6405";"5,5692";"5,6075";"3219,95489";"7,74244383305036E-03";"5,2752";"5,8978";"5,3148";"5,9373";"Calculado"
"38";"NTN-B";20170707;760199;20000715;20450515;"5,7223";"5,669";"5,702";"3150,472732";"9,49786079103623E-03";"5,3811";"6,0055";"5,4068";"6,0311";"Calculado"
"39";"NTN-B";20170707;760199;20000715;20500815;"5,6652";"5,6257";"5,6483";"3227,378978";"2,40897185321055E-03";"5,3294";"5,9552";"5,351";"5,9768";"Calculado"
"40";"NTN-B";20170707;760199;20000715;20550515;"5,6253";"5,5803";"5,6087";"3209,976245";"1,11076383461846E-02";"5,2869";"5,9136";"5,3101";"5,9368";"Calculado"
"41";"NTN-F";20170707;950199;20120106;20180101;"8,795";"8,7778";"8,785";"1007,250312";"1,85902180217668E-15";"8,4764";"9,0667";"8,4667";"9,0557";"Calculado"
"42";"NTN-F";20170707;950199;20130104;20190101;"8,7611";"8,7377";"8,75";"1018,835669";"0";"8,327";"9,0971";"8,3769";"9,1462";"Calculado"
"43";"NTN-F";20170707;950199;20100205;20210101;"9,8786";"9,8643";"9,8702";"1006,256561";"7,6948376406429E-04";"9,3701";"10,4023";"9,4225";"10,4541";"Calculado"
"44";"NTN-F";20170707;950199;20120309;20230101;"10,3452";"10,3309";"10,3364";"990,005862";"8,10349718742914E-03";"9,7896";"10,8534";"9,8857";"10,9492";"Calculado"
