"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio";"DataAtualizacao"
"LTN";20170712;100000;20170707;20210701;"9.979";"9.97";"9.9746";"687.006108";"9.40893928815478E-04";"9.6639";"10.7564";"9.4996";"10.5919";"Calculado";"2017-07-12"
"NTN-C";20170712;770100;20000701;20210401;"--";"--";"5.2557";"3666.781528";"6.48557033518771E-02";"4.2083";"6.568";"4.1283";"6.5185";"Calculado";"2017-07-12"
"NTN-C";20170712;770100;20000701;20310101;"--";"--";"5.5423";"5601.329669";"5.12261055409144E-02";"4.4631";"6.863";"4.4043";"6.8299";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20170907;"--";"--";"0.0002";"8947.967357";"5.68560415854049E-20";"-0.0071";"0.0101";"-0.0071";"0.0101";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20180301;"--";"--";"0.0038";"8947.761553";"2.22544639895566E-04";"-0.0088";"0.0143";"-0.009";"0.0142";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20180901;"--";"--";"0.0035";"8947.618385";"3.83646153112708E-04";"-0.0041";"0.0142";"-0.0045";"0.0142";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20190301;"--";"--";"0.0064";"8947.036767";"3.77777365262883E-04";"-0.0024";"0.0172";"-0.0028";"0.0171";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20200301;"--";"--";"0.0117";"8945.229276";"4.05493137695062E-04";"0.0021";"0.021";"0.0018";"0.0209";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20200901;"--";"--";"0.0129";"8944.361322";"3.42948984336398E-04";"0.0028";"0.0232";"0.0024";"0.0231";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20210301;"--";"--";"0.0142";"8943.385993";"2.90144314649878E-04";"0.005";"0.0227";"0.0047";"0.0226";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20210901;"--";"--";"0.0144";"8942.661207";"2.82349164296419E-04";"0.0057";"0.0232";"0.0054";"0.023";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20220301;"--";"--";"0.0144";"8942.0259";"2.75376490213051E-04";"0.0056";"0.0236";"0.0054";"0.0233";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20220901;"--";"--";"0.0141";"8941.506918";"4.48510618377085E-04";"0.0055";"0.0231";"0.0052";"0.0228";"Calculado";"2017-07-12"
"LFT";20170712;210100;20000701;20230301;"--";"--";"0.014";"8940.943195";"4.2627519700306E-04";"0.0054";"0.0218";"0.0049";"0.0216";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20180815;"4.505";"4.468";"4.4868";"3113.061791";"5.57638405360491E-03";"4.0294";"4.971";"3.9617";"4.9039";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20190515;"4.4645";"4.444";"4.4556";"3103.08044";"5.93478515844051E-03";"4.0983";"4.9024";"4.0336";"4.8384";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20200815;"4.9833";"4.96";"4.97";"3152.241736";"0";"4.752";"5.4197";"4.6519";"5.3198";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20210515;"5.2652";"5.2483";"5.2544";"3099.24238";"4.69513950542138E-03";"5.0732";"5.7303";"4.9515";"5.609";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20220815;"5.4467";"5.4302";"5.4343";"3141.263448";"0.005715116934618";"5.2708";"5.9166";"5.1427";"5.7885";"Calculado";"2017-07-12"
"NTN-B";20170712;760100;20000715;20230315;"--";"--";"5.4552";"3131.201264";"7.93285867971653E-03";"5.2991";"5.9391";"5.1671";"5.8072";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20230515;"5.4726";"5.4488";"5.4551";"3104.640213";"6.30727722807111E-03";"5.3034";"5.9414";"5.1684";"5.8065";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20240815;"5.4556";"5.4035";"5.4253";"3167.324534";"9.25154760053292E-03";"5.274";"5.8954";"5.1492";"5.7708";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20260815;"5.5161";"5.4955";"5.5";"3172.61459";"0";"5.348";"5.9561";"5.228";"5.8361";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20300815;"5.56";"5.4962";"5.5252";"3199.969";"7.56637297521184E-03";"5.3175";"5.9315";"5.244";"5.8578";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20350515;"5.5669";"5.5401";"5.5547";"3175.294047";"4.8370265036302E-03";"5.3394";"5.9583";"5.2668";"5.8853";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20400815;"5.5412";"5.4687";"5.5062";"3260.913919";"8.50255533904111E-03";"5.2871";"5.909";"5.2141";"5.8353";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20450515;"5.6189";"5.5814";"5.6";"3194.789714";"1.82250366280306E-15";"5.3772";"6.0008";"5.3055";"5.9281";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20500815;"5.5816";"5.5576";"5.5654";"3266.59317";"4.90972794993487E-03";"5.3368";"5.9616";"5.2691";"5.8927";"Calculado";"2017-07-12"
"NTN-B";20170712;760199;20000715;20550515;"5.5575";"5.4791";"5.5183";"3255.14186";"6.20173672946042E-03";"5.2919";"5.9175";"5.2208";"5.8451";"Calculado";"2017-07-12"
"NTN-F";20170712;950199;20120106;20180101;"8.73";"8.7071";"8.716";"1008.560103";"1.93370994684778E-03";"8.4544";"9.0407";"8.3991";"8.9841";"Calculado";"2017-07-12"
"NTN-F";20170712;950199;20130104;20190101;"8.6157";"8.5894";"8.6007";"1021.806639";"1.85000023408448E-03";"8.317";"9.0847";"8.228";"8.995";"Calculado";"2017-07-12"
"NTN-F";20170712;950199;20100205;20210101;"9.6354";"9.6235";"9.63";"1014.041885";"3.8049859119238E-15";"9.3758";"10.4067";"9.183";"10.2138";"Calculado";"2017-07-12"
"NTN-F";20170712;950199;20120309;20230101;"10.0373";"10.0268";"10.0339";"1003.027939";"3.22645316098047E-03";"9.7877";"10.8515";"9.5828";"10.6471";"Calculado";"2017-07-12"
"NTN-F";20170712;950199;20140110;20250101;"10.2286";"10.2173";"10.2234";"993.64888";"4.1506394653132E-03";"9.9383";"11.039";"9.7333";"10.8349";"Calculado";"2017-07-12"
"NTN-F";20170712;950199;20160115;20270101;"10.3092";"10.2978";"10.3032";"987.501423";"2.77668867538361E-03";"9.9492";"11.1025";"9.7543";"10.9088";"Calculado";"2017-07-12"
