"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio";"DataAtualizacao"
"LTN";20170712;100000;20150703;20171001;"9.2205";"9.2144";"9.2171";"980.254899";"2.13489526155314E-03";"8.9861";"9.4829";"8.9441";"9.4388";"Calculado";"2017-07-12"
"LTN";20170712;100000;20140110;20180101;"8.687";"8.6536";"8.6657";"961.832731";"6.27094058074145E-03";"8.3998";"8.9861";"8.3488";"8.9338";"Calculado";"2017-07-12"
"LTN";20170712;100000;20160108;20180401;"8.535";"8.525";"8.53";"943.514012";"1.91868467733273E-15";"8.2412";"8.9117";"8.1865";"8.8561";"Calculado";"2017-07-12"
"LTN";20170712;100000;20140704;20180701;"8.466";"8.4525";"8.4587";"924.98563";"2.98100826171482E-03";"8.1514";"8.8561";"8.0984";"8.8029";"Calculado";"2017-07-12"
"LTN";20170712;100000;20160708;20181001;"8.5484";"8.5399";"8.5439";"905.242311";"1.6112826828505E-03";"8.2435";"8.9678";"8.1741";"8.8976";"Calculado";"2017-07-12"
"LTN";20170712;100000;20150109;20190101;"8.6313";"8.6195";"8.6266";"886.179623";"3.47931248734746E-03";"8.3438";"9.12";"8.2526";"9.028";"Calculado";"2017-07-12"
"LTN";20170712;100000;20170106;20190401;"8.81";"8.8";"8.805";"866.183068";"3.43386001218797E-15";"8.5127";"9.3318";"8.4302";"9.2486";"Calculado";"2017-07-12"
"LTN";20170712;100000;20150703;20190701;"8.9547";"8.9407";"8.9476";"846.222607";"3.38844189289501E-03";"8.6662";"9.5312";"8.5635";"9.4275";"Calculado";"2017-07-12"
"LTN";20170712;100000;20170707;20191001;"9.14";"9.13";"9.135";"824.303969";"2.82200968499953E-15";"8.8708";"9.7598";"8.7597";"9.6481";"Calculado";"2017-07-12"
"LTN";20170712;100000;20160108;20200101;"9.2372";"9.2263";"9.2323";"804.436903";"2.41151085740611E-03";"9.0086";"9.9248";"8.8561";"9.7719";"Calculado";"2017-07-12"
"LTN";20170712;100000;20160708;20200701;"9.53";"9.5231";"9.5259";"764.418628";"1.70891328492299E-03";"9.2685";"10.2743";"9.098";"10.1031";"Calculado";"2017-07-12"
