"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LFT";20170705;210100;20000701;20170907;"--";"--";"0,0004";"8930,820424";"3,33036227134371E-05";"-0,0065";"0,0104";"-0,0066";"0,0104";"Calculado"
"LFT";20170705;210100;20000701;20180301;"--";"--";"0,0051";"8930,534637";"8,22435656745766E-04";"-0,0086";"0,0159";"-0,0086";"0,0155";"Calculado"
"LFT";20170705;210100;20000701;20180901;"--";"--";"0,0047";"8930,338159";"3,924101593282E-04";"-0,0026";"0,0154";"-0,003";"0,0151";"Calculado"
"LFT";20170705;210100;20000701;20190301;"--";"--";"0,0075";"8929,721932";"1,92635193405972E-04";"-0,0018";"0,0197";"-0,0019";"0,0191";"Calculado"
"LFT";20170705;210100;20000701;20200301;"--";"--";"0,0137";"8927,596394";"8,51312990243495E-04";"0,0034";"0,0237";"0,0032";"0,023";"Calculado"
"LFT";20170705;210100;20000701;20200901;"--";"--";"0,0143";"8926,810481";"6,0149768544124E-04";"0,0042";"0,0259";"0,0039";"0,0253";"Calculado"
"LFT";20170705;210100;20000701;20210301;"--";"--";"0,0163";"8925,542304";"4,95811000094409E-04";"0,0063";"0,0257";"0,0059";"0,0251";"Calculado"
"LFT";20170705;210100;20000701;20210901;"--";"--";"0,0164";"8924,756391";"5,63777128741715E-04";"0,0071";"0,0262";"0,0068";"0,0254";"Calculado"
"LFT";20170705;210100;20000701;20220301;"--";"--";"0,0163";"8924,077648";"9,16694995098292E-04";"0,0071";"0,0267";"0,0065";"0,0259";"Calculado"
"LFT";20170705;210100;20000701;20220901;"--";"--";"0,0159";"8923,523936";"8,29793518261662E-04";"0,0066";"0,0266";"0,006";"0,0256";"Calculado"
"LFT";20170705;210100;20000701;20230301;"--";"--";"0,0157";"8922,934501";"8,15698469653033E-04";"0,0075";"0,0243";"0,0067";"0,0233";"Calculado"
"NTN-B";20170705;760199;20000715;20180815;"4,6339";"4,6145";"4,6277";"3108,748764";"3,92859547852178E-03";"4,1711";"5,1092";"4,1057";"5,0444";"Calculado"
"NTN-B";20170705;760199;20000715;20190515;"4,6044";"4,5862";"4,6";"3095,719706";"1,81456243259692E-15";"4,2142";"5,015";"4,1802";"4,9815";"Calculado"
"NTN-B";20170705;760199;20000715;20200815;"5,14";"5,1182";"5,13";"3138,594536";"9,05097624164363E-16";"4,8177";"5,4844";"4,8129";"5,4798";"Calculado"
"NTN-B";20170705;760199;20000715;20210515;"5,4298";"5,4133";"5,42";"3082,091336";"9,09079595102396E-16";"5,1032";"5,7589";"5,1188";"5,7747";"Calculado"
"NTN-B";20170705;760199;20000715;20220815;"5,62";"5,6044";"5,6127";"3117,690509";"4,37289358158432E-03";"5,3081";"5,9542";"5,3209";"5,9669";"Calculado"
"NTN-B";20170705;760100;20000715;20230315;"--";"--";"5,63";"3105,869066";"9,3622225828712E-16";"5,3321";"5,9719";"5,3422";"5,982";"Calculado"
"NTN-B";20170705;760199;20000715;20230515;"5,6419";"5,6231";"5,6327";"3078,297686";"4,27250633057773E-03";"5,3335";"5,9714";"5,3462";"5,9841";"Calculado"
"NTN-B";20170705;760199;20000715;20240815;"5,5827";"5,5442";"5,5627";"3143,176281";"3,7448524340871E-03";"5,2786";"5,8999";"5,2868";"5,9081";"Calculado"
"NTN-B";20170705;760199;20000715;20260815;"5,6403";"5,6194";"5,63";"3144,812405";"9,05097624164363E-16";"5,3605";"5,9689";"5,3578";"5,9662";"Calculado"
"NTN-B";20170705;760199;20000715;20300815;"5,6047";"5,56";"5,5832";"3183,4441";"4,96322684245382E-03";"5,2986";"5,9128";"5,3018";"5,916";"Calculado"
"NTN-B";20170705;760199;20000715;20350515;"5,6237";"5,5863";"5,6057";"3157,52982";"4,87112324158818E-03";"5,3146";"5,9338";"5,3174";"5,9367";"Calculado"
"NTN-B";20170705;760199;20000715;20400815;"5,6";"5,5463";"5,57";"3235,179768";"3,63255991079502E-15";"5,2774";"5,8997";"5,2773";"5,8997";"Calculado"
"NTN-B";20170705;760199;20000715;20450515;"5,694";"5,67";"5,6834";"3158,782383";"6,49078332709064E-03";"5,3982";"6,022";"5,3882";"6,0124";"Calculado"
"NTN-B";20170705;760199;20000715;20500815;"5,65";"5,6075";"5,6268";"3237,720854";"4,44958993332103E-03";"5,333";"5,9582";"5,3296";"5,9552";"Calculado"
"NTN-B";20170705;760199;20000715;20550515;"5,6107";"5,56";"5,5851";"3221,922971";"5,12617215292589E-03";"5,2944";"5,9204";"5,2866";"5,913";"Calculado"
"NTN-F";20170705;950199;20120106;20180101;"8,8115";"8,7968";"8,805";"1006,487099";"5,43895982204207E-15";"8,5102";"9,103";"8,4859";"9,0775";"Calculado"
"NTN-F";20170705;950199;20130104;20190101;"8,7364";"8,7087";"8,72";"1018,554474";"3,78720550663321E-16";"8,3869";"9,1586";"8,3469";"9,1178";"Calculado"
"NTN-F";20170705;950199;20100205;20210101;"9,8509";"9,8348";"9,841";"1006,314864";"4,79035656560554E-03";"9,4194";"10,4525";"9,3927";"10,4253";"Calculado"
"NTN-F";20170705;950199;20120309;20230101;"10,2736";"10,2632";"10,2692";"991,858536";"1,74364521333361E-03";"9,8278";"10,8916";"9,8185";"10,8822";"Calculado"
"NTN-F";20170705;950199;20140110;20250101;"10,4565";"10,4437";"10,4506";"980,683382";"2,27303028283113E-03";"9,9814";"11,0828";"9,9604";"11,0617";"Calculado"
"NTN-F";20170705;950199;20160115;20270101;"10,52";"10,5074";"10,515";"973,685655";"7,19569046260311E-15";"9,9945";"11,148";"9,9666";"11,1202";"Calculado"
