"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170705;100000;20150703;20171001;"9,3091";"9,3012";"9,3042";"978,349682";"6,29797603714509E-04";"9,0637";"9,5595";"9,0259";"9,5218";"Calculado"
"LTN";20170705;100000;20140110;20180101;"8,7623";"8,74";"8,7498";"959,885516";"4,52823653405804E-03";"8,45";"9,0428";"8,4307";"9,0223";"Calculado"
"LTN";20170705;100000;20160108;20180401;"8,6409";"8,6283";"8,635";"941,317991";"1,81815919020479E-15";"8,3026";"8,9775";"8,29";"8,964";"Calculado"
"LTN";20170705;100000;20140704;20180701;"8,5568";"8,545";"8,55";"922,735253";"1,83870401395853E-15";"8,236";"8,9417";"8,1887";"8,8942";"Calculado"
"LTN";20170705;100000;20160708;20181001;"8,6531";"8,64";"8,6472";"902,710615";"2,45813328901464E-03";"8,3379";"9,066";"8,2767";"9,0041";"Calculado"
"LTN";20170705;100000;20150109;20190101;"8,7654";"8,7527";"8,7585";"883,138183";"2,0800446127753E-03";"8,4229";"9,2031";"8,3841";"9,1635";"Calculado"
"LTN";20170705;100000;20170106;20190401;"8,937";"8,9278";"8,9335";"862,977975";"1,84089350286413E-03";"8,5978";"9,4199";"8,5585";"9,38";"Calculado"
"LTN";20170705;100000;20150703;20190701;"9,1";"9,084";"9,0923";"842,580912";"2,31175513899215E-03";"8,7557";"9,6253";"8,7061";"9,5748";"Calculado"
"LTN";20170705;100000;20160108;20200101;"9,42";"9,4049";"9,4124";"799,749067";"4,09282683815165E-03";"9,0487";"9,9667";"9,0361";"9,9537";"Calculado"
"LTN";20170705;100000;20160708;20200701;"9,7578";"9,75";"9,7532";"758,352504";"2,03659182969707E-03";"9,3328";"10,3418";"9,3231";"10,3315";"Calculado"
"NTN-C";20170705;770100;20000701;20210401;"--";"--";"5,3461";"3660,436705";"1,37189622307557E-02";"4,2774";"6,5628";"4,2645";"6,5574";"Calculado"
"NTN-C";20170705;770100;20000701;20310101;"--";"--";"5,5669";"5596,504988";"8,3015460407486E-03";"4,5013";"6,7691";"4,4949";"6,7905";"Calculado"
