"";"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"1";"LTN";20170710;100000;20150703;20171001;"9,284";"9,277";"9,2812";"979,43466";"2,24596051264266E-03";"9,0014";"9,4978";"9,0054";"9,502";"Calculado"
"2";"LTN";20170710;100000;20140110;20180101;"8,7523";"8,7276";"8,7365";"960,900467";"4,08248290464123E-03";"8,4117";"9,0007";"8,419";"9,0067";"Calculado"
"3";"LTN";20170710;100000;20160108;20180401;"8,6155";"8,6033";"8,61";"942,402357";"3,63631838040958E-15";"8,2704";"8,9427";"8,2659";"8,9373";"Calculado"
"4";"LTN";20170710;100000;20140704;20180701;"8,5504";"8,538";"8,5443";"923,683869";"3,7425795981005E-03";"8,2007";"8,9058";"8,1834";"8,8883";"Calculado"
"5";"LTN";20170710;100000;20160708;20181001;"8,6484";"8,6362";"8,6431";"903,644008";"2,36281197618127E-03";"8,2936";"9,0194";"8,2728";"8,9979";"Calculado"
"6";"LTN";20170710;100000;20150109;20190101;"8,7541";"8,74";"8,7479";"884,147859";"2,96749830592337E-03";"8,4056";"9,1834";"8,3735";"9,1505";"Calculado"
"7";"LTN";20170710;100000;20170106;20190401;"8,924";"8,9136";"8,9176";"864,073199";"2,04790454940779E-03";"8,584";"9,4043";"8,5425";"9,3622";"Calculado"
"8";"LTN";20170710;100000;20150703;20190701;"9,0877";"9,0747";"9,0807";"843,629764";"2,13111864209153E-03";"8,7265";"9,5933";"8,6956";"9,5615";"Calculado"
"9";"LTN";20170710;100000;20170707;20191001;"9,2688";"9,2568";"9,2634";"821,586549";"8,15103524174017E-03";"8,9302";"9,8202";"8,8878";"9,7772";"Calculado"
"10";"LTN";20170710;100000;20160108;20200101;"9,4107";"9,3972";"9,405";"800,739845";"5,76326261845717E-16";"9,0486";"9,9655";"9,0286";"9,9451";"Calculado"
"11";"LTN";20170710;100000;20160708;20200701;"9,7321";"9,725";"9,7274";"759,721713";"3,79381294566176E-03";"9,3294";"10,3365";"9,2985";"10,305";"Calculado"
"12";"LTN";20170710;100000;20170707;20210701;"10,2008";"10,1876";"10,1944";"681,086384";"2,22271819861867E-03";"9,7417";"10,8344";"9,7193";"10,8119";"Calculado"
"13";"NTN-C";20170710;770100;20000701;20210401;"--";"--";"5,3468";"3661,629246";"9,62072379467079E-03";"4,277";"6,5778";"4,2464";"6,5767";"Calculado"
"14";"NTN-C";20170710;770100;20000701;20310101;"--";"--";"5,5916";"5587,658589";"0,017782688210729";"4,4966";"6,8399";"4,4817";"6,8531";"Calculado"
"15";"LFT";20170710;210100;20000701;20170907;"--";"--";"0,0002";"8941,104636";"5,82878105428656E-05";"-0,007";"0,0105";"-0,0071";"0,0103";"Calculado"
"16";"LFT";20170710;210100;20000701;20180301;"--";"--";"0,0043";"8940,863226";"7,03187355603995E-04";"-0,009";"0,0152";"-0,0089";"0,0147";"Calculado"
"17";"LFT";20170710;210100;20000701;20180901;"--";"--";"0,0039";"8940,711227";"1,95755081490119E-04";"-0,0037";"0,0147";"-0,0039";"0,0144";"Calculado"
"18";"LFT";20170710;210100;20000701;20190301;"--";"--";"0,0067";"8940,130055";"2,44882484177397E-04";"-0,0026";"0,0183";"-0,0025";"0,0178";"Calculado"
"19";"LFT";20170710;210100;20000701;20200301;"--";"--";"0,0123";"8938,216657";"4,62877250111771E-04";"0,0023";"0,0219";"0,0021";"0,0216";"Calculado"
"20";"LFT";20170710;210100;20000701;20200901;"--";"--";"0,0133";"8937,385133";"3,83637691121389E-04";"0,0031";"0,024";"0,0029";"0,0236";"Calculado"
"21";"LFT";20170710;210100;20000701;20210301;"--";"--";"0,0147";"8936,356905";"4,17035977228223E-04";"0,0054";"0,0236";"0,0051";"0,0232";"Calculado"
"22";"LFT";20170710;210100;20000701;20210901;"--";"--";"0,0149";"8935,605852";"4,2772605320551E-04";"0,006";"0,0241";"0,0057";"0,0238";"Calculado"
"23";"LFT";20170710;210100;20000701;20220301;"--";"--";"0,0151";"8934,87268";"3,58190634476396E-04";"0,0058";"0,0247";"0,0057";"0,0242";"Calculado"
"24";"LFT";20170710;210100;20000701;20220901;"--";"--";"0,0148";"8934,318331";"3,61367794541764E-04";"0,0056";"0,0244";"0,0054";"0,0239";"Calculado"
"25";"LFT";20170710;210100;20000701;20230301;"--";"--";"0,0147";"8933,728218";"2,94548119481309E-04";"0,0061";"0,0224";"0,0058";"0,0223";"Calculado"
"26";"NTN-B";20170710;760199;20000715;20180815;"4,6177";"4,5919";"4,6052";"3108,94744";"4,51959592351247E-03";"4,1019";"5,042";"4,0818";"5,0227";"Calculado"
"27";"NTN-B";20170710;760199;20000715;20190515;"4,5557";"4,5342";"4,55";"3097,796059";"1,81153563744118E-15";"4,1616";"4,9643";"4,1287";"4,9322";"Calculado"
"28";"NTN-B";20170710;760199;20000715;20200815;"5,1141";"5,0902";"5,1";"3140,778583";"1,81456243259692E-15";"4,8052";"5,4725";"4,7822";"5,4497";"Calculado"
"29";"NTN-B";20170710;760199;20000715;20210515;"5,4201";"5,4068";"5,4108";"3082,796793";"1,85776915060271E-03";"5,1321";"5,7887";"5,1085";"5,7654";"Calculado"
"30";"NTN-B";20170710;760199;20000715;20220815;"5,6302";"5,615";"5,6227";"3116,244946";"3,95829552311034E-03";"5,3505";"5,9963";"5,331";"5,9768";"Calculado"
"31";"NTN-B";20170710;760100;20000715;20230315;"--";"--";"5,6376";"3104,644396";"4,38876776459295E-03";"5,3645";"6,0044";"5,3496";"5,9896";"Calculado"
"32";"NTN-B";20170710;760199;20000715;20230515;"5,65";"5,627";"5,64";"3077,092341";"9,06493303673679E-16";"5,367";"6,0049";"5,3534";"5,9914";"Calculado"
"33";"NTN-B";20170710;760199;20000715;20240815;"5,6157";"5,5627";"5,59";"3138,317134";"3,06506382232161E-15";"5,3341";"5,9554";"5,314";"5,9354";"Calculado"
"34";"NTN-B";20170710;760199;20000715;20260815;"5,67";"5,6469";"5,66";"3138,400979";"2,72723878530719E-15";"5,4079";"6,0162";"5,3879";"5,9962";"Calculado"
"35";"NTN-B";20170710;760199;20000715;20300815;"5,64";"5,58";"5,6132";"3175,020269";"8,22074480575161E-03";"5,3442";"5,9584";"5,3318";"5,946";"Calculado"
"36";"NTN-B";20170710;760199;20000715;20350515;"5,6562";"5,618";"5,64";"3145,827248";"0";"5,3578";"5,977";"5,3518";"5,971";"Calculado"
"37";"NTN-B";20170710;760199;20000715;20400815;"5,62";"5,5655";"5,5968";"3224,482811";"5,64515864187675E-03";"5,3148";"5,9373";"5,3042";"5,9265";"Calculado"
"38";"NTN-B";20170710;760199;20000715;20450515;"5,6945";"5,6672";"5,69";"3155,864688";"1,820224107611E-15";"5,4068";"6,0311";"5,3949";"6,019";"Calculado"
"39";"NTN-B";20170710;760199;20000715;20500815;"5,662";"5,6295";"5,6464";"3228,597203";"3,96483976715701E-03";"5,351";"5,9768";"5,3492";"5,9747";"Calculado"
"40";"NTN-B";20170710;760199;20000715;20550515;"5,6252";"5,5694";"5,6034";"3212,88226";"4,45458565226137E-03";"5,3101";"5,9368";"5,3049";"5,9314";"Calculado"
"41";"NTN-F";20170710;950199;20120106;20180101;"8,8015";"8,7878";"8,7913";"1007,559146";"3,94942303540281E-03";"8,4667";"9,0557";"8,4738";"9,0615";"Calculado"
"42";"NTN-F";20170710;950199;20130104;20190101;"8,7344";"8,69";"8,7207";"1019,559557";"1,74292844602247E-03";"8,3769";"9,1462";"8,3476";"9,1162";"Calculado"
"43";"NTN-F";20170710;950199;20100205;20210101;"9,8371";"9,8242";"9,83";"1007,744398";"3,64500732560612E-15";"9,4225";"10,4541";"9,3826";"10,4138";"Calculado"
"44";"NTN-F";20170710;950199;20120309;20230101;"10,2666";"10,2536";"10,26";"993,373064";"6,2803698347351E-16";"9,8857";"10,9492";"9,8092";"10,873";"Calculado"
"45";"NTN-F";20170710;950199;20140110;20250101;"10,4426";"10,4271";"10,4357";"982,563082";"1,78179050276495E-03";"10,0352";"11,1356";"9,9459";"11,0469";"Calculado"
"46";"NTN-F";20170710;950199;20160115;20270101;"10,4971";"10,4853";"10,4907";"976,198751";"1,90792748873097E-03";"10,0451";"11,1977";"9,9423";"11,0961";"Calculado"
