"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170704;100000;20150703;20171001;"9,3492";"9,3361";"9,3434";"977,916686";"1,6244657241345E-03";"9,0549";"9,5506";"9,0637";"9,5595";"Calculado"
"LTN";20170704;100000;20140110;20180101;"8,7822";"8,7576";"8,7698";"959,479242";"6,01081742430869E-03";"8,4497";"9,0444";"8,45";"9,0428";"Calculado"
"LTN";20170704;100000;20160108;20180401;"8,6539";"8,6416";"8,648";"940,926004";"2,28765696384697E-03";"8,3273";"9,003";"8,3026";"8,9775";"Calculado"
"LTN";20170704;100000;20140704;20180701;"8,6046";"8,5909";"8,5975";"922,037832";"3,12673673080637E-03";"8,2514";"8,9573";"8,236";"8,9417";"Calculado"
"LTN";20170704;100000;20160708;20181001;"8,7148";"8,6988";"8,7084";"901,784619";"2,62319607263149E-03";"8,3369";"9,0658";"8,3379";"9,066";"Calculado"
"LTN";20170704;100000;20150109;20190101;"8,8058";"8,79";"8,7973";"882,376764";"2,26534178415003E-03";"8,4327";"9,2136";"8,4229";"9,2031";"Calculado"
"LTN";20170704;100000;20170106;20190401;"8,9771";"8,97";"8,9727";"862,149383";"2,86487561951148E-03";"8,5901";"9,4129";"8,5978";"9,4199";"Calculado"
"LTN";20170704;100000;20150703;20190701;"9,1498";"9,1345";"9,1422";"841,530663";"2,54049711981011E-03";"8,7383";"9,6087";"8,7557";"9,6253";"Calculado"
"LTN";20170704;100000;20160108;20200101;"9,4316";"9,4175";"9,425";"799,234615";"2,19458502258385E-15";"9,0374";"9,9557";"9,0487";"9,9667";"Calculado"
"LTN";20170704;100000;20160708;20200701;"9,7677";"9,76";"9,7632";"757,866964";"1,9488912446145E-03";"9,3022";"10,3119";"9,3328";"10,3418";"Calculado"
"NTN-C";20170704;770100;20000701;20210401;"--";"--";"5,3552";"3658,951023";"3,24826667064702E-02";"4,2959";"6,5831";"4,2774";"6,5628";"Calculado"
"NTN-C";20170704;770100;20000701;20310101;"--";"--";"5,5593";"5599,185418";"2,04909440455726E-02";"4,521";"6,7651";"4,5013";"6,7691";"Calculado"
"LFT";20170704;210100;20000701;20170907;"--";"--";"0,0004";"8927,394983";"6,41235792369933E-05";"-0,0064";"0,0104";"-0,0065";"0,0104";"Calculado"
"LFT";20170704;210100;20000701;20180301;"--";"--";"0,0055";"8927,082524";"3,91986983573793E-04";"-0,0086";"0,0163";"-0,0086";"0,0159";"Calculado"
"LFT";20170704;210100;20000701;20180901;"--";"--";"0,005";"8926,877194";"9,79152984758685E-04";"-0,0023";"0,0155";"-0,0026";"0,0154";"Calculado"
"LFT";20170704;210100;20000701;20190301;"--";"--";"0,0077";"8926,261203";"4,02095682718756E-04";"-0,0018";"0,0202";"-0,0018";"0,0197";"Calculado"
"LFT";20170704;210100;20000701;20200301;"--";"--";"0,0143";"8924,020424";"3,22042992044102E-04";"0,0035";"0,024";"0,0034";"0,0237";"Calculado"
"LFT";20170704;210100;20000701;20200901;"--";"--";"0,0147";"8923,261595";"4,02990027945584E-04";"0,0042";"0,0264";"0,0042";"0,0259";"Calculado"
"LFT";20170704;210100;20000701;20210301;"--";"--";"0,0168";"8921,949267";"3,68929465548588E-04";"0,0063";"0,0263";"0,0063";"0,0257";"Calculado"
"LFT";20170704;210100;20000701;20210901;"--";"--";"0,0169";"8921,1458";"4,44217082358205E-04";"0,0073";"0,0267";"0,0071";"0,0262";"Calculado"
"LFT";20170704;210100;20000701;20220301;"--";"--";"0,0171";"8920,324479";"3,56215156520328E-04";"0,0073";"0,0273";"0,0071";"0,0267";"Calculado"
"LFT";20170704;210100;20000701;20220901;"--";"--";"0,0167";"8919,726343";"6,48711937957629E-04";"0,0069";"0,0274";"0,0066";"0,0266";"Calculado"
"LFT";20170704;210100;20000701;20230301;"--";"--";"0,0165";"8919,101425";"5,84132824994156E-04";"0,0079";"0,0251";"0,0075";"0,0243";"Calculado"
"NTN-B";20170704;760199;20000715;20180815;"4,7017";"4,68";"4,6923";"3106,393427";"4,86602105621645E-03";"4,2467";"5,184";"4,1711";"5,1092";"Calculado"
"NTN-B";20170704;760199;20000715;20190515;"4,6463";"4,6226";"4,6334";"3093,677978";"5,73933919260882E-03";"4,2584";"5,0587";"4,2142";"5,015";"Calculado"
"NTN-B";20170704;760199;20000715;20200815;"5,1534";"5,1285";"5,1345";"3137,844909";"6,76274848157879E-03";"4,8358";"5,5024";"4,8177";"5,4844";"Calculado"
"NTN-B";20170704;760199;20000715;20210515;"5,4183";"5,3961";"5,4041";"3083,309029";"4,8540527352912E-03";"5,1038";"5,7592";"5,1032";"5,7589";"Calculado"
"NTN-B";20170704;760199;20000715;20220815;"5,6064";"5,59";"5,6";"3118,911087";"1,81456243259692E-15";"5,2847";"5,931";"5,3081";"5,9542";"Calculado"
"NTN-B";20170704;760100;20000715;20230315;"--";"--";"5,6199";"3106,87891";"1,80906806746772E-04";"5,3022";"5,9421";"5,3321";"5,9719";"Calculado"
"NTN-B";20170704;760199;20000715;20230515;"5,6304";"5,61";"5,62";"3079,724849";"9,05767818720588E-16";"5,3081";"5,946";"5,3335";"5,9714";"Calculado"
"NTN-B";20170704;760199;20000715;20240815;"5,58";"5,53";"5,5545";"3144,165173";"5,22092563786594E-03";"5,2507";"5,8721";"5,2786";"5,8999";"Calculado"
"NTN-B";20170704;760199;20000715;20260815;"5,6407";"5,6219";"5,6327";"3143,817543";"4,8025530844574E-03";"5,3378";"5,9462";"5,3605";"5,9689";"Calculado"
"NTN-B";20170704;760199;20000715;20300815;"5,6155";"5,55";"5,58";"3183,899826";"0";"5,2795";"5,8939";"5,2986";"5,9128";"Calculado"
"NTN-B";20170704;760199;20000715;20350515;"5,63";"5,5757";"5,6028";"3158,079344";"4,10379495161813E-03";"5,2947";"5,914";"5,3146";"5,9338";"Calculado"
"NTN-B";20170704;760199;20000715;20400815;"5,5886";"5,5285";"5,57";"3234,746638";"2,73754974376715E-15";"5,2543";"5,8766";"5,2774";"5,8997";"Calculado"
"NTN-B";20170704;760199;20000715;20450515;"5,7232";"5,6678";"5,6932";"3154,213464";"5,73795590180286E-03";"5,3768";"6,0008";"5,3982";"6,022";"Calculado"
"NTN-B";20170704;760199;20000715;20500815;"5,659";"5,608";"5,63";"3235,810504";"9,10112053805498E-16";"5,313";"5,9382";"5,333";"5,9582";"Calculado"
"NTN-B";20170704;760199;20000715;20550515;"5,6215";"5,56";"5,5927";"3217,799698";"4,54858826147311E-03";"5,2717";"5,8977";"5,2944";"5,9204";"Calculado"
"NTN-F";20170704;950199;20120106;20180101;"8,8367";"8,8209";"8,83";"1006,036376";"5,46307949611404E-15";"8,5147";"9,1094";"8,5102";"9,103";"Calculado"
"NTN-F";20170704;950199;20130104;20190101;"8,7809";"8,7508";"8,76";"1017,686229";"2,53930707923955E-15";"8,3969";"9,1693";"8,3869";"9,1586";"Calculado"
"NTN-F";20170704;950199;20100205;20210101;"9,8747";"9,8576";"9,868";"1005,190626";"3,39251503160504E-03";"9,4045";"10,4381";"9,4194";"10,4525";"Calculado"
"NTN-F";20170704;950199;20120309;20230101;"10,285";"10,2727";"10,2785";"991,109778";"3,41180883730651E-03";"9,7493";"10,8133";"9,8278";"10,8916";"Calculado"
"NTN-F";20170704;950199;20140110;20250101;"10,4795";"10,465";"10,4717";"979,278969";"2,20889885081971E-03";"9,9093";"11,0117";"9,9814";"11,0828";"Calculado"
"NTN-F";20170704;950199;20160115;20270101;"10,5491";"10,5338";"10,5429";"971,747305";"3,26714719245362E-03";"9,8755";"11,0307";"9,9945";"11,148";"Calculado"
