"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170718;100000;20150703;20171001;"9,125";"9,1164";"9,12";"981,811357";"1,36386181398495E-04";"8,8735";"9,3614";"8,8595";"9,3452";"Calculado"
"LTN";20170718;100000;20140110;20180101;"8,6026";"8,5847";"8,5947";"963,387169";"7,70865314648696E-04";"8,297";"8,8778";"8,2797";"8,8592";"Calculado"
"LTN";20170718;100000;20160108;20180401;"8,445";"8,4367";"8,4402";"945,283951";"6,73565975379437E-04";"8,1275";"8,7942";"8,0981";"8,7638";"Calculado"
"LTN";20170718;100000;20140704;20180701;"8,3714";"8,357";"8,365";"926,934922";"0";"8,0396";"8,7433";"8,0056";"8,7091";"Calculado"
"LTN";20170718;100000;20160708;20181001;"8,44";"8,43";"8,4335";"907,527186";"2,30021853113864E-03";"8,1022";"8,8233";"8,0643";"8,7847";"Calculado"
"LTN";20170718;100000;20150109;20190101;"8,4965";"8,4838";"8,49";"888,95859";"0";"8,1563";"8,9293";"8,1164";"8,8886";"Calculado"
"LTN";20170718;100000;20170106;20190401;"8,645";"8,6356";"8,64";"869,566878";"1,72630854643705E-15";"8,3138";"9,1304";"8,2653";"9,0813";"Calculado"
"LTN";20170718;100000;20150703;20190701;"8,7876";"8,7755";"8,7827";"849,858593";"3,65734129118399E-03";"8,4402";"9,3015";"8,4002";"9,2606";"Calculado"
"LTN";20170718;100000;20170707;20191001;"8,975";"8,9665";"8,97";"828,193788";"3,01922606240196E-15";"8,6326";"9,5196";"8,5949";"9,4815";"Calculado"
"LTN";20170718;100000;20160108;20200101;"9,075";"9,0633";"9,07";"808,503366";"3,93213348480591E-15";"8,7316";"9,6463";"8,694";"9,6082";"Calculado"
"LTN";20170718;100000;20160708;20200701;"9,36";"9,3531";"9,3566";"769,008874";"1,84521846353322E-03";"8,9794";"9,9826";"8,9304";"9,9329";"Calculado"
"LTN";20170718;100000;20170707;20210701;"9,795";"9,789";"9,7915";"692,567175";"1,97798628125554E-03";"9,3585";"10,4505";"9,3165";"10,4085";"Calculado"
"NTN-C";20170718;770100;20000701;20210401;"--";"--";"5,0502";"3688,680217";"5,34349648936145E-02";"3,9343";"6,3929";"3,8739";"6,3619";"Calculado"
"NTN-C";20170718;770100;20000701;20310101;"--";"--";"5,3503";"5684,518342";"6,90549762405994E-02";"4,2501";"6,7433";"4,1638";"6,6862";"Calculado"
"LFT";20170718;210100;20000701;20170907;"--";"--";"0";"8961,717565";"5,62428267665199E-05";"-0,0077";"0,0104";"-0,0079";"0,0104";"Calculado"
"LFT";20170718;210100;20000701;20180301;"--";"--";"0,0034";"8961,529368";"1,21219290819715E-04";"-0,0091";"0,0139";"-0,0093";"0,0138";"Calculado"
"LFT";20170718;210100;20000701;20180901;"--";"--";"0,003";"8961,412866";"7,53633656900779E-05";"-0,005";"0,014";"-0,0051";"0,0138";"Calculado"
"LFT";20170718;210100;20000701;20190301;"--";"--";"0,0057";"8960,893086";"1,74337021191631E-04";"-0,0032";"0,0163";"-0,0033";"0,0161";"Calculado"
"LFT";20170718;210100;20000701;20200301;"--";"--";"0,0106";"8959,235169";"3,2467413468837E-04";"0,0008";"0,02";"0,0008";"0,0197";"Calculado"
"LFT";20170718;210100;20000701;20200901;"--";"--";"0,0116";"8958,482384";"3,38616907237123E-04";"0,0016";"0,0219";"0,0014";"0,0218";"Calculado"
"LFT";20170718;210100;20000701;20210301;"--";"--";"0,0133";"8957,424902";"1,79855020557107E-04";"0,004";"0,0212";"0,004";"0,0209";"Calculado"
"LFT";20170718;210100;20000701;20210901;"--";"--";"0,0133";"8956,815505";"2,46938594560298E-04";"0,0052";"0,0214";"0,0052";"0,0211";"Calculado"
"LFT";20170718;210100;20000701;20220301;"--";"--";"0,0137";"8956,071682";"1,86690111465496E-04";"0,0052";"0,022";"0,0051";"0,0218";"Calculado"
"LFT";20170718;210100;20000701;20220901;"--";"--";"0,0132";"8955,677367";"3,1456875799969E-04";"0,005";"0,022";"0,0051";"0,0216";"Calculado"
"LFT";20170718;210100;20000701;20230301;"--";"--";"0,0132";"8955,094855";"3,19685870234754E-04";"0,0049";"0,0212";"0,0047";"0,0211";"Calculado"
"LFT";20170718;210100;20000701;20230901;"--";"--";"0,0131";"8954,54819";"2,49456302868265E-04";"0,0047";"0,0203";"0,0045";"0,02";"Calculado"
