"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170720;100000;20150703;20171001;"9,0519";"9,0427";"9,0455";"982,627486";"2,02828994820455E-03";"8,829";"9,3123";"8,7933";"9,2743";"Calculado"
"LTN";20170720;100000;20140110;20180101;"8,4858";"8,465";"8,475";"964,490444";"4,0470056813141E-15";"8,2358";"8,8138";"8,1619";"8,7385";"Calculado"
"LTN";20170720;100000;20160108;20180401;"8,32";"8,31";"8,315";"946,642499";"1,41855999329991E-14";"8,0584";"8,7231";"7,9739";"8,6376";"Calculado"
"LTN";20170720;100000;20140704;20180701;"8,234";"8,2238";"8,23";"928,609549";"5,76326261845717E-16";"7,941";"8,6442";"7,8712";"8,5741";"Calculado"
"LTN";20170720;100000;20160708;20181001;"8,29";"8,2823";"8,2858";"909,585317";"1,57391485703906E-03";"7,996";"8,7156";"7,9168";"8,6356";"Calculado"
"LTN";20170720;100000;20150109;20190101;"8,323";"8,31";"8,3171";"891,574111";"2,66883592324185E-03";"8,0255";"8,7969";"7,9434";"8,714";"Calculado"
"LTN";20170720;100000;20170106;20190401;"8,4663";"8,4572";"8,4607";"872,55488";"1,18516470780061E-03";"8,1764";"8,9917";"8,0859";"8,9006";"Calculado"
"LTN";20170720;100000;20150703;20190701;"8,6047";"8,5925";"8,6003";"853,1777";"6,03590995581493E-03";"8,302";"9,1614";"8,2184";"9,0769";"Calculado"
"LTN";20170720;100000;20170707;20191001;"8,82";"8,8115";"8,8161";"831,323623";"1,84865108187301E-03";"8,4877";"9,3737";"8,441";"9,3265";"Calculado"
"LTN";20170720;100000;20160108;20200101;"8,9161";"8,9058";"8,911";"811,946263";"1,84259923957217E-03";"8,584";"9,4978";"8,5348";"9,4483";"Calculado"
"LTN";20170720;100000;20160708;20200701;"9,2327";"9,2237";"9,2275";"772,22173";"2,85311256748593E-03";"8,8409";"9,8428";"8,802";"9,8032";"Calculado"
"LTN";20170720;100000;20170707;20210701;"9,6881";"9,6811";"9,6829";"695,77793";"3,0042325318487E-03";"9,2158";"10,3077";"9,2079";"10,2996";"Calculado"
"NTN-C";20170720;770100;20000701;20210401;"--";"--";"4,9119";"3705,841122";"7,43000710920705E-03";"3,7948";"6,3122";"3,7058";"6,2522";"Calculado"
"NTN-C";20170720;770100;20000701;20310101;"--";"--";"5,2361";"5738,200414";"1,94032070659579E-02";"4,0695";"6,6211";"4,02";"6,6018";"Calculado"
