"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170719;100000;20150703;20171001;"9,092";"9,0835";"9,0858";"982,214989";"1,59180302016687E-03";"8,8595";"9,3452";"8,829";"9,3123";"Calculado"
"LTN";20170719;100000;20140110;20180101;"8,5582";"8,5413";"8,55";"963,880363";"2,24054099322363E-15";"8,2797";"8,8592";"8,2358";"8,8138";"Calculado"
"LTN";20170719;100000;20160108;20180401;"8,4071";"8,3961";"8,4";"945,830064";"2,44136895921186E-15";"8,0981";"8,7638";"8,0584";"8,7231";"Calculado"
"LTN";20170719;100000;20140704;20180701;"8,3069";"8,295";"8,3";"927,75384";"2,06394013677564E-15";"8,0056";"8,7091";"7,941";"8,6442";"Calculado"
"LTN";20170719;100000;20160708;20181001;"8,37";"8,36";"8,365";"908,504296";"1,92463410146346E-15";"8,0643";"8,7847";"7,996";"8,7156";"Calculado"
"LTN";20170719;100000;20150109;20190101;"8,4045";"8,3932";"8,399";"890,321629";"3,55390043942319E-03";"8,1164";"8,8886";"8,0255";"8,7969";"Calculado"
"LTN";20170719;100000;20170106;20190401;"8,555";"8,5475";"8,551";"871,053177";"1,41421356237403E-03";"8,2653";"9,0813";"8,1764";"8,9917";"Calculado"
"LTN";20170719;100000;20150703;20190701;"8,6907";"8,6767";"8,684";"851,632115";"2,2190631641086E-03";"8,4002";"9,2606";"8,302";"9,1614";"Calculado"
"LTN";20170719;100000;20170707;20191001;"8,8683";"8,8595";"8,8627";"830,265909";"3,86925253208309E-03";"8,5949";"9,4815";"8,4877";"9,3737";"Calculado"
"LTN";20170719;100000;20160108;20200101;"8,965";"8,9536";"8,96";"810,77931";"3,5527136788005E-15";"8,694";"9,6082";"8,584";"9,4978";"Calculado"
"LTN";20170719;100000;20160708;20200701;"9,27";"9,2631";"9,2667";"771,139447";"1,90178552798244E-03";"8,9304";"9,9329";"8,8409";"9,8428";"Calculado"
"LTN";20170719;100000;20170707;20210701;"9,695";"9,6873";"9,6908";"695,326024";"1,41627445551215E-03";"9,3165";"10,4085";"9,2158";"10,3077";"Calculado"
"NTN-C";20170719;770100;20000701;20210401;"--";"--";"4,9858";"3695,663946";"7,87870373030995E-02";"3,8739";"6,3619";"3,7948";"6,3122";"Calculado"
"NTN-C";20170719;770100;20000701;20310101;"--";"--";"5,2706";"5719,975073";"4,37587904588806E-02";"4,1638";"6,6862";"4,0695";"6,6211";"Calculado"
"LFT";20170719;210100;20000701;20170907;"--";"--";"0";"8965,156176";"3,83393541457219E-05";"-0,0079";"0,0104";"-0,008";"0,0104";"Calculado"
"LFT";20170719;210100;20000701;20180301;"--";"--";"0,0033";"8964,967907";"6,98534790778453E-05";"-0,0093";"0,0138";"-0,0092";"0,0136";"Calculado"
"LFT";20170719;210100;20000701;20180901;"--";"--";"0,0029";"8964,860325";"6,23412288163619E-05";"-0,0051";"0,0138";"-0,0051";"0,0136";"Calculado"
"LFT";20170719;210100;20000701;20190301;"--";"--";"0,0056";"8964,349311";"1,29239574611793E-04";"-0,0033";"0,0161";"-0,0033";"0,0159";"Calculado"
"LFT";20170719;210100;20000701;20200301;"--";"--";"0,0104";"8962,726618";"3,88189554348843E-04";"0,0008";"0,0197";"0,0007";"0,0195";"Calculado"
"LFT";20170719;210100;20000701;20200901;"--";"--";"0,0115";"8961,94665";"2,50300538052661E-04";"0,0014";"0,0218";"0,0013";"0,0215";"Calculado"
"LFT";20170719;210100;20000701;20210301;"--";"--";"0,0131";"8960,933587";"1,55896965482151E-04";"0,0041";"0,0209";"0,004";"0,0206";"Calculado"
"LFT";20170719;210100;20000701;20210901;"--";"--";"0,0131";"8960,332921";"1,67296090632754E-04";"0,0052";"0,021";"0,0052";"0,0207";"Calculado"
"LFT";20170719;210100;20000701;20220301;"--";"--";"0,0135";"8959,588814";"2,33322222145994E-04";"0,0051";"0,0218";"0,005";"0,0215";"Calculado"
"LFT";20170719;210100;20000701;20220901;"--";"--";"0,013";"8959,203312";"1,37496132143492E-04";"0,0051";"0,0215";"0,005";"0,0212";"Calculado"
"LFT";20170719;210100;20000701;20230301;"--";"--";"0,013";"8958,638507";"1,47891958204233E-04";"0,0047";"0,0211";"0,0046";"0,0207";"Calculado"
"LFT";20170719;210100;20000701;20230901;"--";"--";"0,0129";"8958,100598";"1,66662012883862E-04";"0,0045";"0,02";"0,0042";"0,0199";"Calculado"
"NTN-B";20170719;760199;20000715;20180815;"4,3093";"4,2803";"4,2926";"3121,230679";"4,04629071220106E-03";"3,8603";"4,8052";"3,7622";"4,7078";"Calculado"
"NTN-B";20170719;760199;20000715;20190515;"4,2551";"4,24";"4,2469";"3115,977377";"3,95989943956003E-03";"3,916";"4,7236";"3,8224";"4,6308";"Calculado"
"NTN-B";20170719;760199;20000715;20200815;"4,7547";"4,7275";"4,74";"3174,095959";"9,10112053805498E-16";"4,5135";"5,1822";"4,4212";"5,0901";"Calculado"
"NTN-B";20170719;760199;20000715;20210515;"4,9915";"4,9766";"4,98";"3129,809575";"2,72184364889538E-15";"4,7661";"5,4247";"4,6758";"5,3347";"Calculado"
"NTN-B";20170719;760199;20000715;20220815;"5,1333";"5,11";"5,12";"3185,11143";"1,81627995539751E-15";"4,9386";"5,5844";"4,8286";"5,4744";"Calculado"
"NTN-B";20170719;760100;20000715;20230315;"--";"--";"5,1552";"3177,065347";"7,15252604139376E-03";"4,971";"5,6114";"4,867";"5,5074";"Calculado"
"NTN-B";20170719;760199;20000715;20230515;"5,174";"5,1485";"5,1574";"3151,21491";"4,78982116902904E-03";"4,9732";"5,6116";"4,8705";"5,509";"Calculado"
"NTN-B";20170719;760199;20000715;20240815;"5,1539";"5,1224";"5,1315";"3221,41459";"4,37976439803976E-03";"4,9557";"5,5775";"4,8552";"5,4771";"Calculado"
"NTN-B";20170719;760199;20000715;20260815;"5,2265";"5,204";"5,21";"3237,360083";"2,72441993309626E-15";"5,008";"5,6162";"4,9381";"5,5462";"Calculado"
"NTN-B";20170719;760199;20000715;20300815;"5,32";"5,2646";"5,29";"3268,909828";"3,13389825457075E-15";"5,0809";"5,6945";"5,009";"5,6224";"Calculado"
"NTN-B";20170719;760199;20000715;20350515;"5,32";"5,2742";"5,303";"3265,245987";"4,91465625998884E-03";"5,0866";"5,7045";"5,0155";"5,6332";"Calculado"
"NTN-B";20170719;760199;20000715;20400815;"5,3261";"5,2641";"5,3131";"3341,995083";"5,24301225338863E-03";"5,0869";"5,7071";"5,0216";"5,6414";"Calculado"
"NTN-B";20170719;760199;20000715;20450515;"5,4337";"5,408";"5,42";"3276,330305";"9,12516581255718E-16";"5,1862";"5,8074";"5,1264";"5,7471";"Calculado"
"NTN-B";20170719;760199;20000715;20500815;"5,3905";"5,3616";"5,38";"3357,605322";"9,12516581255718E-16";"5,1462";"5,768";"5,0849";"5,706";"Calculado"
"NTN-B";20170719;760199;20000715;20550515;"5,35";"5,3068";"5,33";"3353,279954";"9,11251831401531E-16";"5,0965";"5,7186";"5,0338";"5,6552";"Calculado"
"NTN-F";20170719;950199;20120106;20180101;"8,6038";"8,5869";"8,595";"1010,738388";"1,62158451853016E-15";"8,3253";"8,9048";"8,2808";"8,8588";"Calculado"
"NTN-F";20170719;950199;20130104;20190101;"8,405";"8,353";"8,38";"1026,343148";"1,82785610799217E-15";"8,0977";"8,8615";"8,0078";"8,7708";"Calculado"
"NTN-F";20170719;950199;20100205;20210101;"9,3361";"9,3253";"9,3312";"1024,221906";"2,01973801041121E-03";"8,9847";"10,0139";"8,8855";"9,9144";"Calculado"
"NTN-F";20170719;950199;20120309;20230101;"9,7638";"9,7548";"9,759";"1015,853404";"2,0361319538125E-03";"9,3965";"10,4612";"9,3075";"10,3723";"Calculado"
"NTN-F";20170719;950199;20140110;20250101;"9,9446";"9,9282";"9,9358";"1009,755701";"2,34922692068475E-03";"9,5409";"10,6425";"9,4458";"10,5475";"Calculado"
"NTN-F";20170719;950199;20160115;20270101;"10,0673";"10,0551";"10,0617";"1003,210301";"2,10158670215317E-03";"9,5968";"10,7515";"9,5126";"10,6674";"Calculado"
