"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"LTN";20170711;100000;20150703;20171001;"9,2652";"9,2577";"9,2613";"979,820745";"2,03356450976718E-03";"9,0054";"9,502";"8,9861";"9,4829";"Calculado"
"LTN";20170711;100000;20140110;20180101;"8,7369";"8,7072";"8,7169";"961,301724";"3,74705012181401E-03";"8,419";"9,0067";"8,3998";"8,9861";"Calculado"
"LTN";20170711;100000;20160108;20180401;"8,5913";"8,58";"8,585";"942,866308";"5,44368729779076E-15";"8,2659";"8,9373";"8,2412";"8,9117";"Calculado"
"LTN";20170711;100000;20140704;20180701;"8,517";"8,5072";"8,5121";"924,248829";"3,1275451174269E-03";"8,1834";"8,8883";"8,1514";"8,8561";"Calculado"
"LTN";20170711;100000;20160708;20181001;"8,62";"8,607";"8,6137";"904,239414";"2,00189064076066E-03";"8,2728";"8,9979";"8,2435";"8,9678";"Calculado"
"LTN";20170711;100000;20150109;20190101;"8,7244";"8,71";"8,7181";"884,797147";"2,4492521264345E-03";"8,3735";"9,1505";"8,3438";"9,12";"Calculado"
"LTN";20170711;100000;20170106;20190401;"8,8929";"8,8827";"8,8878";"864,769834";"2,11050546868083E-03";"8,5425";"9,3622";"8,5127";"9,3318";"Calculado"
"LTN";20170711;100000;20150703;20190701;"9,0584";"9,0442";"9,051";"844,369589";"2,69664374072468E-03";"8,6956";"9,5615";"8,6662";"9,5312";"Calculado"
"LTN";20170711;100000;20170707;20191001;"9,2513";"9,24";"9,2464";"822,15865";"3,42226662197874E-03";"8,8878";"9,7772";"8,8708";"9,7598";"Calculado"
"LTN";20170711;100000;20160108;20200101;"9,3909";"9,378";"9,385";"801,387062";"3,81346027857223E-15";"9,0286";"9,9451";"9,0086";"9,9248";"Calculado"
"LTN";20170711;100000;20160708;20200701;"9,7016";"9,695";"9,697";"760,624448";"2,90410849553833E-03";"9,2985";"10,305";"9,2685";"10,2743";"Calculado"
"LTN";20170711;100000;20170707;20210701;"10,145";"10,1338";"10,139";"682,704366";"6,34607967746467E-03";"9,7193";"10,8119";"9,6639";"10,7564";"Calculado"
"NTN-C";20170711;770100;20000701;20210401;"--";"--";"5,3235";"3664,757579";"2,93757266992856E-02";"4,2464";"6,5767";"4,2083";"6,568";"Calculado"
"NTN-C";20170711;770100;20000701;20310101;"--";"--";"5,5873";"5590,25981";"1,40348930249654E-02";"4,4817";"6,8531";"4,4631";"6,863";"Calculado"
"LFT";20170711;210100;20000701;20170907;"--";"--";"0,0002";"8944,535338";"5,68560415854049E-20";"-0,0071";"0,0103";"-0,0071";"0,0101";"Calculado"
"LFT";20170711;210100;20000701;20180301;"--";"--";"0,004";"8944,311724";"3,16569749175119E-04";"-0,0089";"0,0147";"-0,0088";"0,0143";"Calculado"
