"";"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"1";"LTN";20170714;100000;20150703;20171001;"9,1722";"9,1632";"9,1683";"981,036751";"1,91625007966828E-03";"8,9293";"9,4217";"8,9016";"9,3918";"Calculado"
"2";"LTN";20170714;100000;20140110;20180101;"8,6263";"8,605";"8,6167";"962,667181";"3,48810081429232E-03";"8,3462";"8,9298";"8,3007";"8,883";"Calculado"
"3";"LTN";20170714;100000;20160108;20180401;"8,4813";"8,47";"8,475";"944,463373";"3,57043305893999E-15";"8,1768";"8,8454";"8,1321";"8,7998";"Calculado"
"4";"LTN";20170714;100000;20140704;20180701;"8,4125";"8,3964";"8,405";"926,018581";"7,75265683600396E-16";"8,0948";"8,799";"8,0451";"8,749";"Calculado"
"5";"LTN";20170714;100000;20160708;20181001;"8,4883";"8,4776";"8,482";"906,455079";"2,66733539895229E-03";"8,172";"8,8947";"8,1124";"8,8343";"Calculado"
"6";"LTN";20170714;100000;20150109;20190101;"8,587";"8,5723";"8,58";"887,314578";"3,82489007168342E-15";"8,2559";"9,0305";"8,2061";"8,9799";"Calculado"
"7";"LTN";20170714;100000;20170106;20190401;"8,7465";"8,735";"8,74";"867,641475";"2,05116019880913E-15";"8,425";"9,2428";"8,3652";"9,1824";"Calculado"
"8";"LTN";20170714;100000;20150703;20190701;"8,8972";"8,8857";"8,8929";"847,623965";"4,28656682817552E-03";"8,5714";"9,4346";"8,5095";"9,3717";"Calculado"
"9";"LTN";20170714;100000;20170707;20191001;"9,0826";"9,075";"9,0784";"825,81901";"1,81838664270379E-03";"8,7825";"9,6705";"8,7031";"9,5906";"Calculado"
"10";"LTN";20170714;100000;20160108;20200101;"9,1823";"9,1716";"9,1769";"806,004638";"2,66094333132382E-03";"8,8807";"9,7961";"8,8008";"9,7158";"Calculado"
"11";"LTN";20170714;100000;20160708;20200701;"9,48";"9,4728";"9,476";"765,997975";"1,68212535303964E-03";"9,1483";"10,1528";"9,0489";"10,0528";"Calculado"
"12";"LTN";20170714;100000;20170707;20210701;"9,9171";"9,91";"9,9132";"689,039367";"1,99271158748421E-03";"9,549";"10,6412";"9,4382";"10,5304";"Calculado"
"13";"NTN-C";20170714;770100;20000701;20210401;"--";"--";"5,1256";"3680,914236";"4,93430922498046E-02";"4,068";"6,4677";"3,9788";"6,4079";"Calculado"
"14";"NTN-C";20170714;770100;20000701;20310101;"--";"--";"5,4531";"5639,69696";"4,04958611802153E-02";"4,3672";"6,8025";"4,2958";"6,7598";"Calculado"
"15";"LFT";20170714;210100;20000701;20170907;"--";"--";"0,0002";"8954,835344";"1,01441544272371E-07";"-0,0072";"0,0102";"-0,0074";"0,0101";"Calculado"
"16";"LFT";20170714;210100;20000701;20180301;"--";"--";"0,0035";"8954,647292";"1,81475597774633E-04";"-0,009";"0,0139";"-0,009";"0,0139";"Calculado"
"17";"LFT";20170714;210100;20000701;20180901;"--";"--";"0,0032";"8954,512969";"3,4310763869638E-04";"-0,0046";"0,0139";"-0,0049";"0,0141";"Calculado"
"18";"LFT";20170714;210100;20000701;20190301;"--";"--";"0,006";"8953,966724";"2,94243920285199E-04";"-0,003";"0,0168";"-0,0031";"0,0165";"Calculado"
