"";"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio"
"19";"LFT";20170714;210100;20000701;20200301;"--";"--";"0,011";"8952,265303";"2,78009894459316E-04";"0,0016";"0,0205";"0,001";"0,0202";"Calculado"
"20";"LFT";20170714;210100;20000701;20200901;"--";"--";"0,0121";"8951,459367";"7,80721699217495E-04";"0,0022";"0,0228";"0,0017";"0,0222";"Calculado"
"21";"LFT";20170714;210100;20000701;20210301;"--";"--";"0,0136";"8950,456425";"3,09144799654772E-04";"0,0048";"0,022";"0,0041";"0,0215";"Calculado"
"22";"LFT";20170714;210100;20000701;20210901;"--";"--";"0,0136";"8949,829586";"5,049144125453E-04";"0,0055";"0,0224";"0,0051";"0,0219";"Calculado"
"23";"LFT";20170714;210100;20000701;20220301;"--";"--";"0,0141";"8949,02365";"1,75907067720052E-04";"0,0055";"0,0228";"0,0054";"0,0222";"Calculado"
"24";"LFT";20170714;210100;20000701;20220901;"--";"--";"0,0134";"8948,701275";"6,46894309290916E-04";"0,0053";"0,0223";"0,005";"0,0224";"Calculado"
"25";"LFT";20170714;210100;20000701;20230301;"--";"--";"0,0136";"8948,020707";"3,33333597192434E-04";"0,0047";"0,0215";"0,005";"0,0215";"Calculado"
"26";"LFT";20170714;210100;20000701;20230901;"--";"--";"0,0135";"8947,456552";"5,1688752286449E-04";"--";"--";"0,0045";"0,0207";"Calculado"
"27";"NTN-B";20170714;760199;20000715;20180815;"4,404";"4,3779";"4,39";"3116,458826";"0";"3,9038";"4,8467";"3,863";"4,8066";"Calculado"
"28";"NTN-B";20170714;760199;20000715;20190515;"4,4043";"4,384";"4,394";"3106,64728";"8,77251327997356E-03";"4,0049";"4,8105";"3,971";"4,7773";"Calculado"
"29";"NTN-B";20170714;760199;20000715;20200815;"4,9147";"4,9";"4,91";"3157,806201";"2,51998616802338E-15";"4,6517";"5,3198";"4,5916";"5,2599";"Calculado"
"30";"NTN-B";20170714;760199;20000715;20210515;"5,1638";"5,1467";"5,1504";"3110,388718";"1,38443731048632E-03";"4,9486";"5,6064";"4,847";"5,505";"Calculado"
"31";"NTN-B";20170714;760199;20000715;20220815;"5,3168";"5,3";"5,31";"3158,075584";"1,81627995539751E-15";"5,122";"5,7678";"5,0184";"5,6643";"Calculado"
"32";"NTN-B";20170714;760100;20000715;20230315;"--";"--";"5,3469";"3147,31521";"3,95357052375126E-03";"5,1541";"5,7942";"5,0588";"5,699";"Calculado"
"33";"NTN-B";20170714;760199;20000715;20230515;"5,3671";"5,34";"5,35";"3120,664202";"1,81456243259692E-15";"5,1553";"5,7934";"5,0632";"5,7015";"Calculado"
"34";"NTN-B";20170714;760199;20000715;20240815;"5,3482";"5,3073";"5,3262";"3185,154612";"4,46612097452997E-03";"5,136";"5,7575";"5,05";"5,6717";"Calculado"
"35";"NTN-B";20170714;760199;20000715;20260815;"5,4072";"5,3821";"5,3938";"3195,765329";"4,02147809632004E-03";"5,2129";"5,821";"5,1218";"5,73";"Calculado"
"36";"NTN-B";20170714;760199;20000715;20300815;"5,5023";"5,4358";"5,4654";"3217,259139";"1,10266787238117E-02";"5,2515";"5,8651";"5,1843";"5,7979";"Calculado"
"37";"NTN-B";20170714;760199;20000715;20350515;"5,5092";"5,4765";"5,4945";"3196,486678";"5,72665174686571E-03";"5,2764";"5,8946";"5,2069";"5,8249";"Calculado"
"38";"NTN-B";20170714;760199;20000715;20400815;"5,486";"5,4208";"5,4533";"3282,722324";"6,39061398380041E-03";"5,2224";"5,8432";"5,1615";"5,782";"Calculado"
"39";"NTN-B";20170714;760199;20000715;20450515;"5,58";"5,54";"5,5541";"3215,23577";"7,79983579465888E-03";"5,32";"5,9421";"5,2601";"5,8817";"Calculado"
"40";"NTN-B";20170714;760199;20000715;20500815;"5,5361";"5,5025";"5,52";"3288,487131";"1,82503316251144E-15";"5,284";"5,907";"5,2243";"5,8467";"Calculado"
"41";"NTN-B";20170714;760199;20000715;20550515;"5,4996";"5,4408";"5,4702";"3279,702235";"2,81160778557761E-03";"5,2361";"5,8596";"5,1734";"5,7962";"Calculado"
"42";"NTN-F";20170714;950199;20120106;20180101;"8,6784";"8,6595";"8,6673";"1009,43742";"3,47991541397803E-03";"8,3938";"8,9774";"8,3513";"8,9336";"Calculado"
"43";"NTN-F";20170714;950199;20130104;20190101;"8,5818";"8,5337";"8,56";"1023,006815";"6,09285369330724E-16";"8,2372";"9,0034";"8,1874";"8,9528";"Calculado"
"44";"NTN-F";20170714;950199;20100205;20210101;"9,5679";"9,5525";"9,56";"1016,73015";"8,15048415854E-16";"9,2413";"10,2714";"9,1136";"10,1435";"Calculado"
"45";"NTN-F";20170714;950199;20120309;20230101;"9,9663";"9,9539";"9,96";"1006,713894";"5,70217402533424E-15";"9,6239";"10,6881";"9,5088";"10,5733";"Calculado"
"46";"NTN-F";20170714;950199;20140110;20250101;"10,1465";"10,13";"10,139";"998,555169";"5,91327841424166E-03";"9,784";"10,8852";"9,6489";"10,7506";"Calculado"
"47";"NTN-F";20170714;950199;20160115;20270101;"10,2272";"10,2131";"10,2213";"992,918247";"3,29511430330016E-03";"9,7863";"10,9406";"9,6721";"10,8271";"Calculado"
