"Taxas de câmbio referenciais BM&FBOVESPA";"Depósitos Interfinanceiros";"LIBOR"
"2 dias (R$/US$): 3,1309";"% a.a. (base: 252 dias úteis): 10,14";"1 mês (% a.a.): 1,230"
"1 dia (R$/US$): 3,1298";NA;NA
