"URL";"DATE";"CONTENT";"SENTIMENT";"TAG";"TOPICS";"AUDIENCE";"TERM";"AUTHOR_NAME";"AUTHOR_GENDER";"AUTHOR_LOCATION*";"AUTHOR_CITY";"AUTHOR_PROVINCE";"AUTHOR_COUNTRY";"AUTHOR_SITE";"SERVICE";"REPERCUSSION";"POPULARITY";"RELEVANCE";"INFLUENCE"
"https://www.reclameaqui.com.br/sadia/produto-estragado_Z20o4Yq3pMmePLNU/";2017-05-09 08:42:00;"Prezados na manha de hoje eu comprei uma margarina Qualy multigraos de 250g, consumi o produto junto ao meu filho, minha prima e mais dois colegas de trabalho...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-dentro-da-validade-e-estragada_ia20wPeO4qKDVpB8/";2017-05-06 19:18:00;"Comprei a margarina 250 gramas Qualy multigraos com data de fabricaçao 15/12/16 e validade 13/06/17.  Lote 765T204. Ao chegar em casa, minha filha de 9 anos...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-mofada_GDwUyXywCXzEr9Ra/";2017-05-03 19:45:00;"Boa noite,comprei no mercado Guanabara a margarina qualy multi graos, porém ao abrir A embalagem para a nossa surpresa a manteiga q estava perfeitamente...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-multigraos_Yizy46uHHloVRf6D/";2017-05-02 12:23:00;"";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-multi-graos-com-bolor_aF2MXF0ccOLez-ji/";2017-04-26 13:20:00;"Gostaria do ressarcimento do meu dinheiro ou a troca do produto. Comprei uma margarina qualy multi graos no mercado e depois que abri e utilizei uma vez a margarina veio a bolorar....";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-mofada_UMg8SlYg_G0Ti0KG/";2017-04-25 19:57:00;"Fui ao mercado e vi a margarina qualy multigraos, resolvi comprar pra poder experimentar pois tem graos que ja consumo no dia a dia. Comprei num dia coloquei...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-multigraos-com-bolor-e-fungos_9S5HAsEAVWsqb5QM/";2017-04-23 20:52:00;"No dia 17/04 comprei no mercado Campeao no bairro da Aboliçao RJ, uma margarina Qualy Multigraos onde a data de fabricaçao foi dia 12/01/17 e a data de...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/promocao-fatia-da-sorte-sadia-nao-esta-respeitando-o-regulamento-e-ainda-na_0BiHaChPWPCEjes8/";2017-04-17 10:51:00;" Participantes que cadastrarem Produtos Participantes da marca Qualy, desde que tenham cadastrado o pincodes dos Produtos Participantes da marca Sadia:- 8 (oito...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/propaganda-enganosa-promocao-fatia-da-sorte-sadia-que-nao-esta-respeitando_0nVuXdMB4ObMhgsj/";2017-04-07 02:47:00;" ofertados, ainda, aos Participantes que cadastrarem Produtos Participantes da marca Qualy, desde que tenham cadastrado o pincodes dos Produtos Participantes da marca...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/qualy-multigraos-mofada_rLoS58w6YgO2fB9x/";2017-04-05 12:49:00;" embalagem da manteiga Qualy multigraos, a fim de experimentar essa novidade. Para minha surpresa, embora a embalagem estivesse lacrada como de costume, percebi...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-mofada_25304854/";2017-04-03 20:28:00;"Boa noite. Venho aqui reclamar, acabei de chegar do mercado e adquiri a margarina dá QUALY MULTI GRAOS. Infelizmente ao abrir a mesma estava com com bolotas de mofo. ...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/propaganda-enganosa_6k8_8MX3vnng0ysk/";2017-03-28 20:55:00;"Boa noite,Ontem comprei a nova margarina de voces Qualy Nutri Graos pela minha decepçao os graos só vem na parte de cima,embaixo manteiga pura a...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/qualy-estragada_jh2O8z0aScvmzmXQ/";2017-03-28 08:50:00;"Bom diacomprei no dia 21/03/2017 uma margarina Qualy  de 500g no Mercado Atacadista Atacadao em Santos/SP, ao abrir essa semana a margarina a mesma...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-multigraos-mofada_A4sHzmhRdvZvz3PM/";2017-03-27 21:55:00;"Devido ao lançamento da margarina Multigraos Qualy ,fui ao hipermercado Extra e comprei um pote .As margarinas estavam expostas nas geladeiras como de costume...";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-qualy-com-50-do-produto_24980482/";2017-03-20 18:41:00;"Hoje comprei uma margarina qualy.. mas quando abri o produto tinha 50% de ar dentro, achei estranho como se algiem ja estivesse usado o produto me senti [editado pelo Reclame Aqui] ..";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
"https://www.reclameaqui.com.br/sadia/margarina-com-mofo_dCgE1WhS4G7Tmo5j/";2017-03-16 18:53:00;"Comprei a qualy  graos e só abrir a mesma estava ,com mofo....";"NEGATIVE";NA;NA;NA;"QUALY";NA;NA;NA;NA;NA;NA;NA;"FORUNS";NA;NA;NA;NA
