"Titulo";"DataReferencia";"CodigoSELIC";"DataBaseEmissao";"DataVencimento";"TxCompra";"TxVenda";"TxIndicativas";"PU";"Desviopadrao";"IntervIndInfD0";"IntervIndSupD0";"IntervIndInfD1";"IntervIndSupD1";"Criterio";"DataAtualizacao"
"NTN-B";20170717;760199;20000715;20230515;5,3122;5,2961;5,3;3128,321848;0,000355334527260263;5,0632;5,7015;5,0132;5,6515;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20240815;5,2812;5,2485;5,2642;3196,273868;0,00503952630678969;5,05;5,6717;4,988;5,6097;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20260815;5,341;5,3148;5,323;3211,190092;0,00485249803847514;5,1218;5,73;5,051;5,6592;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20300815;5,44;5,3851;5,417;3231,122286;0,0068904280975049;5,1843;5,7979;5,1359;5,7495;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20350515;5,47;5,4127;5,444;3214,173936;0,00785911882176613;5,2069;5,8249;5,1564;5,7743;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20400815;5,4397;5,3812;5,4103;3300,379176;0,00118210338847858;5,1615;5,782;5,1186;5,739;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20450515;5,5303;5,499;5,51;3234,737614;1,82503316251144e-15;5,2601;5,8817;5,2161;5,8375;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20500815;5,4991;5,4612;5,4773;3308,97456;0,00395046248509665;5,2243;5,8467;5,1817;5,8039;"Calculado";"2017-07-17"
"NTN-B";20170717;760199;20000715;20550515;5,4591;5,403;5,4278;3301,3279;0,00398622628559884;5,1734;5,7962;5,1311;5,7536;"Calculado";"2017-07-17"
"NTN-F";20170717;950199;20120106;20180101;8,669;8,6536;8,6612;1009,7963;0,00218831084124998;8,3513;8,9336;8,3456;8,9264;"Calculado";"2017-07-17"
"NTN-F";20170717;950199;20130104;20190101;8,5274;8,5016;8,51;1023,991448;9,72950711118099e-16;8,1874;8,9528;8,1376;8,9022;"Calculado";"2017-07-17"
"NTN-F";20170717;950199;20100205;20210101;9,4822;9,4706;9,4763;1019,432648;0,00250635119113233;9,1136;10,1435;9,0301;10,0597;"Calculado";"2017-07-17"
"NTN-F";20170717;950199;20120309;20230101;9,9042;9,8938;9,8992;1009,506864;0,00138087626749974;9,5088;10,5733;9,4479;10,5125;"Calculado";"2017-07-17"
"NTN-F";20170717;950199;20140110;20250101;10,1065;10,0946;10,101;1000,808353;0,00217002581953761;9,6489;10,7506;9,6111;10,7125;"Calculado";"2017-07-17"
"NTN-F";20170717;950199;20160115;20270101;10,2142;10,1993;10,2058;994,184731;0,00180976972828918;9,6721;10,8271;9,6571;10,8113;"Calculado";"2017-07-17"
