"Mês de Coleta";"Data";"Projeção (%)";"Data de Validade*";"data_coleta"
"Julho de 2017";"07/07/2017";"0,18";"18/07/2017";"2017_07_21"
"Julho de 2017";"20/07/2017";"0,10";"21/07/2017";"2017_07_21"
