"Mês de Coleta";"Data";"Projeção (%)";"Projeções para o mês posterior";"data_coleta"
"Julho de 2017";"07/07/2017";"0,17";"Agosto de 2017";"2017_07_20"
"Julho de 2017";"20/07/2017";"0,25";"Agosto de 2017";"2017_07_20"
