"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Valor Mínimo";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,29";"R$41,63";"R$2.081,51";"17/07/2017";"15:36"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,48";"R$34,81";"R$1.160,65";"17/07/2017";"15:36"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,48";"R$34,08";"R$681,77";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,31";"R$32,15";"R$3.215,19";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,42";"R$32,23";"R$3.223,70";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,45";"R$33,23";"R$3.323,23";"17/07/2017";"15:36"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"9,06";"R$32,34";"R$808,68";"17/07/2017";"15:36"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,06";"R$35,63";"R$593,85";"17/07/2017";"15:36"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,15";"R$39,91";"R$997,75";"17/07/2017";"15:36"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,01";"R$89,56";"R$8.956,73";"17/07/2017";"15:36"
