"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Valor Mínimo";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,18";"R$41,95";"R$2.097,99";"19/07/2017";"15:31"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,35";"R$35,60";"R$1.186,98";"19/07/2017";"15:31"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,35";"R$35,29";"R$705,87";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,19";"R$32,42";"R$3.242,72";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,30";"R$32,67";"R$3.267,36";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,37";"R$33,63";"R$3.363,55";"19/07/2017";"15:31"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"8,93";"R$32,46";"R$811,60";"19/07/2017";"15:31"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"9,91";"R$35,92";"R$598,72";"19/07/2017";"15:31"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,00";"R$30,21";"R$1.007,15";"19/07/2017";"15:31"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,01";"R$89,63";"R$8.963,61";"19/07/2017";"15:31"
