"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2019 (NTNB Princ)";"15/05/2019";"3,99";"R$2.791,23";"21/07/2017";"15:38"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,16";"R$2.101,64";"21/07/2017";"15:38"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,39";"R$1.179,49";"21/07/2017";"15:38"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,39";"R$698,77";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2020 (NTNB)";"15/08/2020";"4,55";"R$3.192,24";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2024 (NTNB)";"15/08/2024";"5,11";"R$3.227,50";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,21";"R$3.239,70";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,33";"R$3.258,15";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2045 (NTNB)";"15/05/2045";"5,42";"R$3.278,77";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,39";"R$3.355,25";"21/07/2017";"15:38"
"Tesouro Prefixado 2018 (LTN)";"01/01/2018";"8,57";"R$964,74";"21/07/2017";"15:38"
"Tesouro Prefixado 2019 (LTN)";"01/01/2019";"8,46";"R$890,46";"21/07/2017";"15:38"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"9,03";"R$810,34";"21/07/2017";"15:38"
"Tesouro Prefixado 2021 (LTN)";"01/01/2021";"9,56";"R$731,22";"21/07/2017";"15:38"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,05";"R$595,05";"21/07/2017";"15:38"
"Tesouro Prefixado com Juros Semestrais 2021 (NTNF)";"01/01/2021";"9,42";"R$1.022,83";"21/07/2017";"15:38"
"Tesouro Prefixado com Juros Semestrais 2023 (NTNF)";"01/01/2023";"9,87";"R$1.012,55";"21/07/2017";"15:38"
"Tesouro Prefixado com Juros Semestrais 2025 (NTNF)";"01/01/2025";"10,03";"R$1.006,22";"21/07/2017";"15:38"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,13";"R$1.000,43";"21/07/2017";"15:38"
"Tesouro Selic 2021 (LFT)";"01/03/2021";"0,05";"R$8.959,46";"21/07/2017";"15:38"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,05";"R$8.950,50";"21/07/2017";"15:38"
"Tesouro IGPM+ com Juros Semestrais 2021 (NTNC)";"01/04/2021";"4,99";"R$3.695,37";"21/07/2017";"15:38"
"Tesouro IGPM+ com Juros Semestrais 2031 (NTNC)";"01/01/2031";"5,32";"R$5.698,03";"21/07/2017";"15:38"
