"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2019 (NTNB Princ)";"15/05/2019";"4,44";"R$2.767,52";"17/07/2017";"15:36"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,41";"R$2.064,87";"17/07/2017";"15:36"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,60";"R$1.137,45";"17/07/2017";"15:36"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,60";"R$660,61";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2020 (NTNB)";"15/08/2020";"4,95";"R$3.155,85";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2024 (NTNB)";"15/08/2024";"5,37";"R$3.179,06";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,43";"R$3.189,61";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,54";"R$3.182,52";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2045 (NTNB)";"15/05/2045";"5,61";"R$3.192,77";"17/07/2017";"15:36"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,57";"R$3.266,76";"17/07/2017";"15:36"
"Tesouro Prefixado 2018 (LTN)";"01/01/2018";"8,68";"R$963,04";"17/07/2017";"15:36"
"Tesouro Prefixado 2019 (LTN)";"01/01/2019";"8,60";"R$887,65";"17/07/2017";"15:36"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"9,18";"R$806,51";"17/07/2017";"15:36"
"Tesouro Prefixado 2021 (LTN)";"01/01/2021";"9,70";"R$726,95";"17/07/2017";"15:36"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,18";"R$590,34";"17/07/2017";"15:36"
"Tesouro Prefixado com Juros Semestrais 2021 (NTNF)";"01/01/2021";"9,56";"R$1.017,46";"17/07/2017";"15:36"
"Tesouro Prefixado com Juros Semestrais 2023 (NTNF)";"01/01/2023";"9,97";"R$1.007,07";"17/07/2017";"15:36"
"Tesouro Prefixado com Juros Semestrais 2025 (NTNF)";"01/01/2025";"10,17";"R$997,79";"17/07/2017";"15:36"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,27";"R$990,91";"17/07/2017";"15:36"
"Tesouro Selic 2021 (LFT)";"01/03/2021";"0,05";"R$8.945,65";"17/07/2017";"15:36"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,05";"R$8.936,71";"17/07/2017";"15:36"
"Tesouro IGPM+ com Juros Semestrais 2021 (NTNC)";"01/04/2021";"5,21";"R$3.669,50";"17/07/2017";"15:36"
"Tesouro IGPM+ com Juros Semestrais 2031 (NTNC)";"01/01/2031";"5,53";"R$5.603,11";"17/07/2017";"15:36"
