"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2019 (NTNB Princ)";"15/05/2019";"4,37";"R$2.772,13";"19/07/2017";"15:31"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,30";"R$2.081,21";"19/07/2017";"15:31"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,47";"R$1.163,23";"19/07/2017";"15:31"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,47";"R$683,94";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2020 (NTNB)";"15/08/2020";"4,88";"R$3.163,29";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2024 (NTNB)";"15/08/2024";"5,27";"R$3.198,14";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,31";"R$3.216,88";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,42";"R$3.225,43";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2045 (NTNB)";"15/05/2045";"5,53";"R$3.229,03";"19/07/2017";"15:31"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,49";"R$3.306,02";"19/07/2017";"15:31"
"Tesouro Prefixado 2018 (LTN)";"01/01/2018";"8,63";"R$963,87";"19/07/2017";"15:31"
"Tesouro Prefixado 2019 (LTN)";"01/01/2019";"8,48";"R$889,65";"19/07/2017";"15:31"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"9,05";"R$809,42";"19/07/2017";"15:31"
"Tesouro Prefixado 2021 (LTN)";"01/01/2021";"9,56";"R$730,69";"19/07/2017";"15:31"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,03";"R$595,18";"19/07/2017";"15:31"
"Tesouro Prefixado com Juros Semestrais 2021 (NTNF)";"01/01/2021";"9,41";"R$1.022,38";"19/07/2017";"15:31"
"Tesouro Prefixado com Juros Semestrais 2023 (NTNF)";"01/01/2023";"9,83";"R$1.013,39";"19/07/2017";"15:31"
"Tesouro Prefixado com Juros Semestrais 2025 (NTNF)";"01/01/2025";"10,02";"R$1.005,95";"19/07/2017";"15:31"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,12";"R$1.000,23";"19/07/2017";"15:31"
"Tesouro Selic 2021 (LFT)";"01/03/2021";"0,05";"R$8.952,55";"19/07/2017";"15:31"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,05";"R$8.943,60";"19/07/2017";"15:31"
"Tesouro IGPM+ com Juros Semestrais 2021 (NTNC)";"01/04/2021";"5,13";"R$3.678,56";"19/07/2017";"15:31"
"Tesouro IGPM+ com Juros Semestrais 2031 (NTNC)";"01/01/2031";"5,43";"R$5.647,47";"19/07/2017";"15:31"
