"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Valor Mínimo";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,25";"R$41,75";"R$2.087,64";"18/07/2017";"15:34"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,42";"R$35,18";"R$1.172,75";"18/07/2017";"15:34"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,42";"R$34,64";"R$692,80";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,26";"R$32,26";"R$3.226,77";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,37";"R$32,41";"R$3.241,94";"18/07/2017";"15:34"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,41";"R$33,43";"R$3.343,30";"18/07/2017";"15:34"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"9,03";"R$32,38";"R$809,50";"18/07/2017";"15:34"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,02";"R$35,71";"R$595,25";"18/07/2017";"15:34"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,10";"R$30,03";"R$1.001,00";"18/07/2017";"15:34"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,01";"R$89,60";"R$8.960,17";"18/07/2017";"15:34"
