"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Valor Mínimo";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,04";"R$42,37";"R$2.118,58";"21/07/2017";"15:38"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,27";"R$36,10";"R$1.203,58";"21/07/2017";"15:38"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,27";"R$36,05";"R$721,18";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,09";"R$32,65";"R$3.265,74";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,21";"R$33,00";"R$3.300,63";"21/07/2017";"15:38"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,27";"R$34,14";"R$3.414,14";"21/07/2017";"15:38"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"8,91";"R$32,50";"R$812,51";"21/07/2017";"15:38"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"9,93";"R$35,91";"R$598,58";"21/07/2017";"15:38"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,01";"R$30,22";"R$1.007,34";"21/07/2017";"15:38"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,01";"R$89,70";"R$8.970,50";"21/07/2017";"15:38"
