"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2019 (NTNB Princ)";"15/05/2019";"4,31";"R$2.775,62";"20/07/2017";"15:37"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,26";"R$2.087,33";"20/07/2017";"15:37"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,41";"R$1.175,35";"20/07/2017";"15:37"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,41";"R$695,00";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2020 (NTNB)";"15/08/2020";"4,91";"R$3.161,56";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2024 (NTNB)";"15/08/2024";"5,22";"R$3.207,71";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,30";"R$3.219,87";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,37";"R$3.243,67";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2045 (NTNB)";"15/05/2045";"5,49";"R$3.247,36";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,44";"R$3.330,69";"20/07/2017";"15:37"
"Tesouro Prefixado 2018 (LTN)";"01/01/2018";"8,56";"R$964,46";"20/07/2017";"15:37"
"Tesouro Prefixado 2019 (LTN)";"01/01/2019";"8,39";"R$890,99";"20/07/2017";"15:37"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"8,98";"R$810,96";"20/07/2017";"15:37"
"Tesouro Prefixado 2021 (LTN)";"01/01/2021";"9,54";"R$731,41";"20/07/2017";"15:37"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"10,04";"R$595,12";"20/07/2017";"15:37"
"Tesouro Prefixado com Juros Semestrais 2021 (NTNF)";"01/01/2021";"9,38";"R$1.023,58";"20/07/2017";"15:37"
"Tesouro Prefixado com Juros Semestrais 2023 (NTNF)";"01/01/2023";"9,84";"R$1.013,37";"20/07/2017";"15:37"
"Tesouro Prefixado com Juros Semestrais 2025 (NTNF)";"01/01/2025";"10,01";"R$1.006,83";"20/07/2017";"15:37"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"10,11";"R$1.001,19";"20/07/2017";"15:37"
"Tesouro Selic 2021 (LFT)";"01/03/2021";"0,05";"R$8.956,00";"20/07/2017";"15:37"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,05";"R$8.947,05";"20/07/2017";"15:37"
"Tesouro IGPM+ com Juros Semestrais 2021 (NTNC)";"01/04/2021";"5,07";"R$3.687,55";"20/07/2017";"15:37"
"Tesouro IGPM+ com Juros Semestrais 2031 (NTNC)";"01/01/2031";"5,35";"R$5.686,65";"20/07/2017";"15:37"
