"Título";"Vencimento";"Taxa de Rendimento (% a.a.)";"Valor Mínimo";"Preço Unitário";"atualizado_data";"atualizado_hora"
"Tesouro IPCA+ 2024 (NTNB Princ)";"15/08/2024";"5,14";"R$42,08";"R$2.104,15";"20/07/2017";"15:37"
"Tesouro IPCA+ 2035 (NTNB Princ)";"15/05/2035";"5,29";"R$35,98";"R$1.199,35";"20/07/2017";"15:37"
"Tesouro IPCA+ 2045 (NTNB Princ)";"15/05/2045";"5,29";"R$35,86";"R$717,29";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2026 (NTNB)";"15/08/2026";"5,18";"R$32,45";"R$3.245,72";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2035 (NTNB)";"15/05/2035";"5,25";"R$32,85";"R$3.285,91";"20/07/2017";"15:37"
"Tesouro IPCA+ com Juros Semestrais 2050 (NTNB)";"15/08/2050";"5,32";"R$33,88";"R$3.388,90";"20/07/2017";"15:37"
"Tesouro Prefixado 2020 (LTN)";"01/01/2020";"8,86";"R$32,52";"R$813,14";"20/07/2017";"15:37"
"Tesouro Prefixado 2023 (LTN)";"01/01/2023";"9,92";"R$35,91";"R$598,65";"20/07/2017";"15:37"
"Tesouro Prefixado com Juros Semestrais 2027 (NTNF)";"01/01/2027";"9,99";"R$30,24";"R$1.008,11";"20/07/2017";"15:37"
"Tesouro Selic 2023 (LFT)";"01/03/2023";"0,01";"R$89,67";"R$8.967,05";"20/07/2017";"15:37"
