"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"M17";"2.480,3960";"2.438,1160";"-42,2800";"2.536,80";"19/05/2017"
"AUD - Dólar comercial australiano";"N17";"2.496,6270";"2.454,3800";"-42,2470";"2.534,82";"19/05/2017"
"AUD - Dólar comercial australiano";"Q17";"2.510,9750";"2.468,1600";"-42,8150";"2.568,90";"19/05/2017"
"BGI - Boi gordo";"K17";"134,34";"134,89";"0,55";"181,50";"19/05/2017"
"BGI - Boi gordo";"M17";"133,25";"133,20";"-0,05";"16,50";"19/05/2017"
"BGI - Boi gordo";"N17";"134,46";"134,75";"0,29";"95,70";"19/05/2017"
"BGI - Boi gordo";"Q17";"135,15";"135,65";"0,50";"165,00";"19/05/2017"
"BGI - Boi gordo";"U17";"135,78";"135,92";"0,14";"46,20";"19/05/2017"
"BGI - Boi gordo";"V17";"136,26";"136,40";"0,14";"46,20";"19/05/2017"
"BGI - Boi gordo";"X17";"136,95";"137,09";"0,14";"46,20";"19/05/2017"
"BGI - Boi gordo";"Z17";"137,39";"137,53";"0,14";"46,20";"19/05/2017"
"BGI - Boi gordo";"K18";"139,87";"140,01";"0,14";"46,20";"19/05/2017"
"BGI - Boi gordo";"V18";"146,48";"146,63";"0,15";"49,50";"19/05/2017"
"BRI - IBrX-50";"M17";"10.427";"10.508";"81";"810,00";"19/05/2017"
"BRI - IBrX-50";"Q17";"10.581";"10.670";"89";"890,00";"19/05/2017"
"CAD - Dólar comercial canadense";"M17";"2.457,2860";"2.419,4060";"-37,8800";"2.272,80";"19/05/2017"
"CAD - Dólar comercial canadense";"Q17";"2.493,0010";"2.452,7830";"-40,2180";"2.413,08";"19/05/2017"
"CCM - Milho";"U17";"27,96";"27,73";"-0,23";"103,50";"19/05/2017"
"CCM - Milho";"X17";"28,25";"28,11";"-0,14";"63,00";"19/05/2017"
"CCM - Milho";"F18";"29,84";"29,80";"-0,04";"18,00";"19/05/2017"
"CCM - Milho";"H18";"31,15";"30,80";"-0,35";"157,50";"19/05/2017"
"CHF - FRANCO SUÍÇO";"M17";"3.415,9910";"3.360,8300";"-55,1610";"2.758,05";"19/05/2017"
"CLP - PESO CHILENO";"M17";"4.958,9000";"4.885,7000";"-73,2000";"1.830,00";"19/05/2017"
"CNY - IUAN";"N17";"4.871,6700";"4.768,4650";"-103,2050";"3.612,17";"19/05/2017"
"DAP - Cupom de DI x IPCA";"N17";"98.914,64";"98.947,95";"33,31";"40,24";"19/05/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.586,53";"96.754,75";"168,22";"203,23";"19/05/2017"
"DAP - Cupom de DI x IPCA";"Q18";"93.254,60";"93.825,43";"570,83";"689,65";"19/05/2017"
"DAP - Cupom de DI x IPCA";"K19";"89.577,96";"90.216,76";"638,80";"771,77";"19/05/2017"
"DAP - Cupom de DI x IPCA";"Q20";"83.043,48";"83.810,05";"766,57";"926,13";"19/05/2017"
"DAP - Cupom de DI x IPCA";"K21";"79.264,51";"79.952,98";"688,47";"831,78";"19/05/2017"
"DAP - Cupom de DI x IPCA";"Q22";"73.128,49";"74.109,28";"980,79";"1.184,94";"19/05/2017"
"DAP - Cupom de DI x IPCA";"K23";"70.080,31";"71.074,03";"993,72";"1.200,57";"19/05/2017"
"DAP - Cupom de DI x IPCA";"Q24";"65.559,72";"66.505,67";"945,95";"1.142,85";"19/05/2017"
"DAP - Cupom de DI x IPCA";"Q26";"57.446,69";"58.863,47";"1.416,78";"1.711,69";"19/05/2017"
"DAP - Cupom de DI x IPCA";"Q30";"45.859,49";"47.665,29";"1.805,80";"2.181,69";"19/05/2017"
"DDI - Cupom cambial";"M17";"98.600,02";"96.353,55";"-2.246,47";"3.797,32";"19/05/2017"
"DDI - Cupom cambial";"N17";"98.458,26";"96.240,60";"-2.217,66";"3.748,62";"19/05/2017"
"DDI - Cupom cambial";"Q17";"98.267,86";"96.043,64";"-2.224,22";"3.759,71";"19/05/2017"
"DDI - Cupom cambial";"U17";"98.085,92";"95.883,41";"-2.202,51";"3.723,01";"19/05/2017"
"DDI - Cupom cambial";"V17";"97.875,10";"95.673,64";"-2.201,46";"3.721,23";"19/05/2017"
"DDI - Cupom cambial";"X17";"97.673,86";"95.499,53";"-2.174,33";"3.675,37";"19/05/2017"
"DDI - Cupom cambial";"Z17";"97.470,08";"95.299,21";"-2.170,87";"3.669,53";"19/05/2017"
"DDI - Cupom cambial";"F18";"97.210,21";"95.085,96";"-2.124,25";"3.590,72";"19/05/2017"
"DDI - Cupom cambial";"G18";"97.050,34";"94.905,62";"-2.144,72";"3.625,32";"19/05/2017"
"DDI - Cupom cambial";"H18";"96.863,89";"94.731,86";"-2.132,03";"3.603,87";"19/05/2017"
"DDI - Cupom cambial";"J18";"96.644,68";"94.514,83";"-2.129,85";"3.600,19";"19/05/2017"
"DDI - Cupom cambial";"K18";"96.458,16";"94.336,95";"-2.121,21";"3.585,58";"19/05/2017"
"DDI - Cupom cambial";"N18";"96.062,98";"93.978,19";"-2.084,79";"3.524,02";"19/05/2017"
"DDI - Cupom cambial";"V18";"95.385,09";"93.361,00";"-2.024,09";"3.421,42";"19/05/2017"
"DDI - Cupom cambial";"F19";"94.630,28";"92.700,98";"-1.929,30";"3.261,19";"19/05/2017"
"DDI - Cupom cambial";"J19";"93.956,77";"92.064,31";"-1.892,46";"3.198,91";"19/05/2017"
"DDI - Cupom cambial";"N19";"93.324,70";"91.493,42";"-1.831,28";"3.095,50";"19/05/2017"
"DDI - Cupom cambial";"V19";"92.606,32";"90.833,40";"-1.772,92";"2.996,85";"19/05/2017"
"DDI - Cupom cambial";"F20";"91.789,12";"90.054,71";"-1.734,41";"2.931,75";"19/05/2017"
"DDI - Cupom cambial";"J20";"90.979,40";"89.290,67";"-1.688,73";"2.854,54";"19/05/2017"
"DDI - Cupom cambial";"N20";"90.133,58";"88.517,55";"-1.616,03";"2.731,65";"19/05/2017"
"DDI - Cupom cambial";"V20";"89.182,93";"87.625,29";"-1.557,64";"2.632,95";"19/05/2017"
"DDI - Cupom cambial";"F21";"88.158,25";"86.713,22";"-1.445,03";"2.442,60";"19/05/2017"
"DDI - Cupom cambial";"J21";"87.264,54";"85.876,90";"-1.387,64";"2.345,59";"19/05/2017"
"DDI - Cupom cambial";"N21";"86.364,02";"84.981,98";"-1.382,04";"2.336,13";"19/05/2017"
"DDI - Cupom cambial";"V21";"85.441,04";"84.114,19";"-1.326,85";"2.242,84";"19/05/2017"
"DDI - Cupom cambial";"F22";"84.425,54";"83.106,91";"-1.318,63";"2.228,94";"19/05/2017"
"DDI - Cupom cambial";"J22";"83.463,81";"82.181,61";"-1.282,20";"2.167,36";"19/05/2017"
"DDI - Cupom cambial";"F23";"80.636,86";"79.462,09";"-1.174,77";"1.985,77";"19/05/2017"
"DDI - Cupom cambial";"F24";"76.785,01";"75.727,89";"-1.057,12";"1.786,90";"19/05/2017"
"DDI - Cupom cambial";"F25";"72.893,27";"71.947,62";"-945,65";"1.598,47";"19/05/2017"
"DDI - Cupom cambial";"F26";"68.782,00";"67.992,52";"-789,48";"1.334,49";"19/05/2017"
"DDI - Cupom cambial";"F27";"65.019,83";"64.272,25";"-747,58";"1.263,67";"19/05/2017"
"DDI - Cupom cambial";"F28";"61.513,76";"60.842,08";"-671,68";"1.135,37";"19/05/2017"
"DDI - Cupom cambial";"F30";"54.980,99";"54.416,88";"-564,11";"953,54";"19/05/2017"
"DI1 - DI de 1 dia";"M17";"99.623,77";"99.623,17";"-0,60";"0,60";"19/05/2017"
"DI1 - DI de 1 dia";"N17";"98.792,06";"98.813,72";"21,66";"21,66";"19/05/2017"
"DI1 - DI de 1 dia";"Q17";"97.990,83";"98.015,76";"24,93";"24,93";"19/05/2017"
"DI1 - DI de 1 dia";"U17";"97.138,95";"97.195,93";"56,98";"56,98";"19/05/2017"
"DI1 - DI de 1 dia";"V17";"96.354,50";"96.503,96";"149,46";"149,46";"19/05/2017"
"DI1 - DI de 1 dia";"X17";"95.637,66";"95.803,40";"165,74";"165,74";"19/05/2017"
"DI1 - DI de 1 dia";"Z17";"94.943,69";"95.132,58";"188,89";"188,89";"19/05/2017"
"DI1 - DI de 1 dia";"F18";"94.270,22";"94.480,63";"210,41";"210,41";"19/05/2017"
"DI1 - DI de 1 dia";"G18";"93.534,55";"93.710,32";"175,77";"175,77";"19/05/2017"
"DI1 - DI de 1 dia";"H18";"92.844,74";"93.072,93";"228,19";"228,19";"19/05/2017"
"DI1 - DI de 1 dia";"J18";"92.130,24";"92.425,49";"295,25";"295,25";"19/05/2017"
"DI1 - DI de 1 dia";"K18";"91.410,39";"91.740,08";"329,69";"329,69";"19/05/2017"
"DI1 - DI de 1 dia";"N18";"89.681,06";"90.221,54";"540,48";"540,48";"19/05/2017"
"DI1 - DI de 1 dia";"V18";"87.446,11";"88.018,55";"572,44";"572,44";"19/05/2017"
"DI1 - DI de 1 dia";"F19";"85.288,50";"85.835,40";"546,90";"546,90";"19/05/2017"
"DI1 - DI de 1 dia";"J19";"83.114,79";"83.658,07";"543,28";"543,28";"19/05/2017"
"DI1 - DI de 1 dia";"N19";"80.925,16";"81.385,44";"460,28";"460,28";"19/05/2017"
"DI1 - DI de 1 dia";"V19";"78.610,65";"79.037,87";"427,22";"427,22";"19/05/2017"
"DI1 - DI de 1 dia";"F20";"76.417,78";"76.760,09";"342,31";"342,31";"19/05/2017"
"DI1 - DI de 1 dia";"J20";"74.332,65";"74.812,82";"480,17";"480,17";"19/05/2017"
"DI1 - DI de 1 dia";"N20";"71.862,91";"72.487,39";"624,48";"624,48";"19/05/2017"
"DI1 - DI de 1 dia";"V20";"69.702,90";"70.265,37";"562,47";"562,47";"19/05/2017"
"DI1 - DI de 1 dia";"F21";"67.766,49";"68.252,12";"485,63";"485,63";"19/05/2017"
"DI1 - DI de 1 dia";"J21";"65.883,11";"66.375,39";"492,28";"492,28";"19/05/2017"
"DI1 - DI de 1 dia";"N21";"63.960,74";"64.457,23";"496,49";"496,49";"19/05/2017"
"DI1 - DI de 1 dia";"V21";"62.088,46";"62.595,86";"507,40";"507,40";"19/05/2017"
"DI1 - DI de 1 dia";"F22";"60.312,43";"60.828,55";"516,12";"516,12";"19/05/2017"
"DI1 - DI de 1 dia";"J22";"58.602,35";"59.128,04";"525,69";"525,69";"19/05/2017"
"DI1 - DI de 1 dia";"N22";"56.956,77";"57.488,34";"531,57";"531,57";"19/05/2017"
"DI1 - DI de 1 dia";"F23";"53.683,70";"54.226,06";"542,36";"542,36";"19/05/2017"
"DI1 - DI de 1 dia";"N23";"50.717,09";"51.268,92";"551,83";"551,83";"19/05/2017"
"DI1 - DI de 1 dia";"F24";"47.848,12";"48.402,55";"554,43";"554,43";"19/05/2017"
"DI1 - DI de 1 dia";"N24";"45.198,80";"45.755,91";"557,11";"557,11";"19/05/2017"
"DI1 - DI de 1 dia";"F25";"42.541,91";"43.095,72";"553,81";"553,81";"19/05/2017"
"DI1 - DI de 1 dia";"F26";"37.822,61";"38.350,67";"528,06";"528,06";"19/05/2017"
"DI1 - DI de 1 dia";"F27";"33.578,66";"34.130,82";"552,16";"552,16";"19/05/2017"
"DI1 - DI de 1 dia";"F28";"29.981,09";"30.525,66";"544,57";"544,57";"19/05/2017"
"DI1 - DI de 1 dia";"F29";"26.765,48";"27.297,34";"531,86";"531,86";"19/05/2017"
"DI1 - DI de 1 dia";"F30";"23.746,22";"24.258,66";"512,44";"512,44";"19/05/2017"
"DOL - Dólar comercial";"M17";"3.345,9600";"3.269,7410";"-76,2190";"3.810,95";"19/05/2017"
"DOL - Dólar comercial";"N17";"3.369,2770";"3.292,6660";"-76,6110";"3.830,55";"19/05/2017"
"DOL - Dólar comercial";"Q17";"3.390,2580";"3.312,6790";"-77,5790";"3.878,95";"19/05/2017"
"DOL - Dólar comercial";"U17";"3.413,6570";"3.335,0470";"-78,6100";"3.930,50";"19/05/2017"
"DOL - Dólar comercial";"V17";"3.434,0520";"3.351,6120";"-82,4400";"4.122,00";"19/05/2017"
"DOL - Dólar comercial";"X17";"3.452,6780";"3.369,9770";"-82,7010";"4.135,05";"19/05/2017"
"DOL - Dólar comercial";"Z17";"3.470,6580";"3.386,6210";"-84,0370";"4.201,85";"19/05/2017"
"DOL - Dólar comercial";"F18";"3.486,1330";"3.402,3600";"-83,7730";"4.188,65";"19/05/2017"
"DOL - Dólar comercial";"J18";"3.546,3570";"3.457,1230";"-89,2340";"4.461,70";"19/05/2017"
"DOL - Dólar comercial";"N18";"3.621,2780";"3.521,4660";"-99,8120";"4.990,60";"19/05/2017"
"DOL - Dólar comercial";"V18";"3.687,6240";"3.585,8980";"-101,7260";"5.086,30";"19/05/2017"
"DOL - Dólar comercial";"J19";"3.821,6980";"3.720,4040";"-101,2940";"5.064,70";"19/05/2017"
"DOL - Dólar comercial";"N19";"3.898,6990";"3.800,5790";"-98,1200";"4.906,00";"19/05/2017"
"DOL - Dólar comercial";"F21";"4.397,9930";"4.295,1250";"-102,8680";"5.143,40";"19/05/2017"
"ETH - Etanol Hidratado";"K17";"1.475,00";"1.475,00";"0,00";"0,00";"19/05/2017"
"ETH - Etanol Hidratado";"M17";"1.467,50";"1.455,00";"-12,50";"375,00";"19/05/2017"
"ETH - Etanol Hidratado";"N17";"1.469,50";"1.460,00";"-9,50";"285,00";"19/05/2017"
"ETH - Etanol Hidratado";"Q17";"1.476,50";"1.450,00";"-26,50";"795,00";"19/05/2017"
"ETH - Etanol Hidratado";"V17";"1.550,00";"1.550,00";"0,00";"0,00";"19/05/2017"
"ETH - Etanol Hidratado";"X17";"1.630,00";"1.630,00";"0,00";"0,00";"19/05/2017"
"ETH - Etanol Hidratado";"Z17";"1.650,00";"1.650,00";"0,00";"0,00";"19/05/2017"
"EUR - Euro";"M17";"3.717,0460";"3.665,6230";"-51,4230";"2.571,15";"19/05/2017"
"EUR - Euro";"N17";"3.747,7940";"3.696,0780";"-51,7160";"2.585,80";"19/05/2017"
"EUR - Euro";"Q17";"3.776,0530";"3.723,4190";"-52,6340";"2.631,70";"19/05/2017"
"FRC - FRA de cupom";"N17";"1,62";"1,32";"-0,30";"0,15";"19/05/2017"
"FRC - FRA de cupom";"Q17";"2,00";"1,91";"-0,09";"0,04";"19/05/2017"
"FRC - FRA de cupom";"U17";"2,05";"1,92";"-0,13";"0,06";"19/05/2017"
"FRC - FRA de cupom";"V17";"2,17";"2,08";"-0,09";"0,04";"19/05/2017"
"FRC - FRA de cupom";"X17";"2,23";"2,10";"-0,13";"0,06";"19/05/2017"
"FRC - FRA de cupom";"Z17";"2,28";"2,18";"-0,10";"0,05";"19/05/2017"
"FRC - FRA de cupom";"F18";"2,39";"2,23";"-0,16";"0,08";"19/05/2017"
"FRC - FRA de cupom";"G18";"2,35";"2,24";"-0,11";"0,05";"19/05/2017"
"FRC - FRA de cupom";"H18";"2,36";"2,26";"-0,10";"0,05";"19/05/2017"
"FRC - FRA de cupom";"J18";"2,39";"2,30";"-0,09";"0,04";"19/05/2017"
"FRC - FRA de cupom";"K18";"2,39";"2,30";"-0,09";"0,04";"19/05/2017"
"FRC - FRA de cupom";"N18";"2,40";"2,30";"-0,10";"0,05";"19/05/2017"
"FRC - FRA de cupom";"V18";"2,49";"2,37";"-0,12";"0,06";"19/05/2017"
"FRC - FRA de cupom";"F19";"2,60";"2,45";"-0,15";"0,07";"19/05/2017"
"FRC - FRA de cupom";"F20";"2,83";"2,66";"-0,17";"0,08";"19/05/2017"
"FRC - FRA de cupom";"J20";"2,91";"2,75";"-0,16";"0,08";"19/05/2017"
"FRC - FRA de cupom";"F21";"3,25";"3,05";"-0,20";"0,10";"19/05/2017"
"FRC - FRA de cupom";"N21";"3,42";"3,23";"-0,19";"0,09";"19/05/2017"
"FRC - FRA de cupom";"F22";"3,60";"3,42";"-0,18";"0,09";"19/05/2017"
"FRC - FRA de cupom";"F24";"4,25";"4,08";"-0,17";"0,08";"19/05/2017"
"FRC - FRA de cupom";"F25";"4,58";"4,41";"-0,17";"0,08";"19/05/2017"
"FRC - FRA de cupom";"F26";"4,97";"4,79";"-0,18";"0,09";"19/05/2017"
"GBP - Libra Esterlina";"M17";"4.331,2740";"4.261,9820";"-69,2920";"2.425,22";"19/05/2017"
"GBP - Libra Esterlina";"N17";"4.364,5190";"4.294,9060";"-69,6130";"2.436,45";"19/05/2017"
"GBP - Libra Esterlina";"Q17";"4.394,9900";"4.324,1360";"-70,8540";"2.479,89";"19/05/2017"
"IAP - IPCA";"M17";"4.852,66";"4.852,64";"-0,02";"0,50";"19/05/2017"
"ICF - Café Arábica 4/5";"K17";"150,55";"153,75";"3,20";"1.041,56";"19/05/2017"
"ICF - Café Arábica 4/5";"N17";"152,75";"156,00";"3,25";"1.057,84";"19/05/2017"
"ICF - Café Arábica 4/5";"U17";"157,25";"159,75";"2,50";"813,72";"19/05/2017"
"ICF - Café Arábica 4/5";"Z17";"161,35";"164,55";"3,20";"1.041,56";"19/05/2017"
"ICF - Café Arábica 4/5";"U18";"168,20";"171,25";"3,05";"992,74";"19/05/2017"
"ICF - Café Arábica 4/5";"Z18";"167,10";"170,05";"2,95";"960,19";"19/05/2017"
"ICF - Café Arábica 4/5";"U19";"172,20";"175,25";"3,05";"992,74";"19/05/2017"
"IGM - IGP-M";"Q18";"691,303";"689,951";"-1,352";"270,40";"19/05/2017"
"IND - Ibovespa";"M17";"61.445";"63.083";"1.638";"1.638,00";"19/05/2017"
"IND - Ibovespa";"Q17";"62.421";"64.064";"1.643";"1.643,00";"19/05/2017"
"IND - Ibovespa";"V17";"63.395";"64.984";"1.589";"1.589,00";"19/05/2017"
"IND - Ibovespa";"Z17";"64.194";"65.774";"1.580";"1.580,00";"19/05/2017"
"IND - Ibovespa";"M18";"67.129";"68.382";"1.253";"1.253,00";"19/05/2017"
"IND - Ibovespa";"Z18";"70.377";"71.513";"1.136";"1.136,00";"19/05/2017"
"ISP - S&P 500";"M17";"2.362,50";"2.390,00";"27,50";"4.475,48";"19/05/2017"
"ISP - S&P 500";"U17";"2.359,50";"2.387,00";"27,50";"4.475,48";"19/05/2017"
"JPY - Iene";"M17";"3.003,6700";"2.936,2300";"-67,4400";"3.372,00";"19/05/2017"
"JPY - Iene";"N17";"3.027,5300";"2.959,6700";"-67,8600";"3.393,00";"19/05/2017"
"JPY - Iene";"Q17";"3.049,5100";"2.980,6700";"-68,8400";"3.442,00";"19/05/2017"
"MXN - Peso mexicano";"M17";"1.775,0680";"1.749,5580";"-25,5100";"1.913,25";"19/05/2017"
"MXN - Peso mexicano";"N17";"1.778,0750";"1.752,3730";"-25,7020";"1.927,65";"19/05/2017"
"NZD - DÓLAR DA NOVA ZELÂNDIA";"M17";"2.304,9500";"2.267,5890";"-37,3610";"2.802,07";"19/05/2017"
"NZD - DÓLAR DA NOVA ZELÂNDIA";"Q17";"2.332,1400";"2.293,7620";"-38,3780";"2.878,35";"19/05/2017"
"OZ1 - Ouro 250g";"0000";"133,074";"130,679";"-3,990";"0,00";"19/05/2017"
"SJC - Soja Financeira Cross Listing";"N17";"20,8278";"21,0097";"0,1819";"266,42";"19/05/2017"
"SJC - Soja Financeira Cross Listing";"Q17";"20,8719";"21,0373";"0,1654";"242,26";"19/05/2017"
"SJC - Soja Financeira Cross Listing";"U17";"20,8333";"20,9987";"0,1654";"242,26";"19/05/2017"
"SJC - Soja Financeira Cross Listing";"X17";"20,8278";"20,9821";"0,1543";"226,00";"19/05/2017"
"T10 - US T-Note 10 anos";"M17";"126,2812";"126,1875";"-0,0937";"308,06";"19/05/2017"
"TRY - LIRA TURCA";"M17";"919,4730";"912,1660";"-7,3070";"548,02";"19/05/2017"
"TRY - LIRA TURCA";"N17";"917,2320";"910,9840";"-6,2480";"468,60";"19/05/2017"
"WDO - Dólar Comercial Míni";"M17";"3.345,9600";"3.269,7410";"-76,2190";"762,19";"19/05/2017"
"WDO - Dólar Comercial Míni";"N17";"3.369,2770";"3.292,6660";"-76,6110";"766,11";"19/05/2017"
"WDO - Dólar Comercial Míni";"U17";"3.413,6570";"3.335,0470";"-78,6100";"786,10";"19/05/2017"
"WDO - Dólar Comercial Míni";"X17";"3.452,6780";"3.369,9770";"-82,7010";"827,01";"19/05/2017"
"WDO - Dólar Comercial Míni";"Z17";"3.470,6580";"3.386,6210";"-84,0370";"840,37";"19/05/2017"
"WIN - Ibovespa Mini";"M17";"61.445";"63.083";"1.638";"327,60";"19/05/2017"
"WIN - Ibovespa Mini";"Q17";"62.421";"64.064";"1.643";"328,60";"19/05/2017"
"WTI - Petróleo Mini";"M17";"49,35";"50,33";"0,98";"318,98";"19/05/2017"
"WTI - Petróleo Mini";"N17";"49,66";"50,67";"1,01";"328,74";"19/05/2017"
"ZAR - RANDE DA ÁFRICA DO SUL";"M17";"2.489,7960";"2.468,0350";"-21,7610";"761,63";"19/05/2017"
"ZAR - RANDE DA ÁFRICA DO SUL";"N17";"2.493,5000";"2.471,3920";"-22,1080";"773,78";"19/05/2017"
