"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.532,6700";"2.507,1050";"-25,5650";"1.533,90";"26/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.546,5180";"2.520,7890";"-25,7290";"1.543,74";"26/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.561,8610";"2.536,1750";"-25,6860";"1.541,16";"26/06/2017"
"BGI - Boi gordo";"M17";"126,74";"126,85";"0,11";"36,30";"26/06/2017"
"BGI - Boi gordo";"N17";"121,00";"121,85";"0,85";"280,50";"26/06/2017"
"BGI - Boi gordo";"Q17";"120,25";"121,75";"1,50";"495,00";"26/06/2017"
"BGI - Boi gordo";"U17";"120,43";"122,01";"1,58";"521,40";"26/06/2017"
"BGI - Boi gordo";"V17";"121,04";"122,63";"1,59";"524,70";"26/06/2017"
"BGI - Boi gordo";"X17";"121,68";"123,28";"1,60";"528,00";"26/06/2017"
"BGI - Boi gordo";"Z17";"122,07";"123,68";"1,61";"531,30";"26/06/2017"
"BGI - Boi gordo";"K18";"123,68";"124,17";"0,49";"161,70";"26/06/2017"
"BGI - Boi gordo";"V18";"128,56";"129,04";"0,48";"158,40";"26/06/2017"
"BRI - IBrX-50";"Q17";"10.315";"10.500";"185";"1.850,00";"26/06/2017"
"BRI - IBrX-50";"V17";"10.460";"10.647";"187";"1.870,00";"26/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.522,5680";"2.494,8940";"-27,6740";"1.660,44";"26/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.538,9340";"2.511,3850";"-27,5490";"1.652,94";"26/06/2017"
"CCM - Milho";"N17";"26,00";"26,00";"0,00";"0,00";"26/06/2017"
"CCM - Milho";"U17";"26,22";"25,60";"-0,62";"279,00";"26/06/2017"
"CCM - Milho";"X17";"27,03";"26,55";"-0,48";"216,00";"26/06/2017"
"CCM - Milho";"F18";"27,60";"26,95";"-0,65";"292,50";"26/06/2017"
"CCM - Milho";"H18";"28,72";"28,73";"0,01";"4,50";"26/06/2017"
"CCM - Milho";"U18";"29,20";"29,21";"0,01";"4,50";"26/06/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.453,4570";"3.400,0080";"-53,4490";"2.672,45";"26/06/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.511,4410";"3.456,8280";"-54,6130";"2.730,65";"26/06/2017"
"CLP - PESO CHILENO";"N17";"5.056,6000";"4.999,1000";"-57,5000";"1.437,50";"26/06/2017"
"CLP - PESO CHILENO";"Q17";"5.085,6000";"5.024,9000";"-60,7000";"1.517,50";"26/06/2017"
"CLP - PESO CHILENO";"U17";"5.113,1000";"5.052,8000";"-60,3000";"1.507,50";"26/06/2017"
"CNY - IUAN";"N17";"4.891,1610";"4.830,3280";"-60,8330";"2.129,15";"26/06/2017"
"DAP - Cupom de DI x IPCA";"N17";"99.296,12";"99.285,62";"-10,50";"12,70";"26/06/2017"
"DAP - Cupom de DI x IPCA";"Q17";"98.692,96";"98.625,89";"-67,07";"81,17";"26/06/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.074,88";"97.074,72";"-0,16";"0,19";"26/06/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.496,36";"94.541,69";"45,33";"54,86";"26/06/2017"
"DAP - Cupom de DI x IPCA";"K19";"91.368,82";"91.381,90";"13,08";"15,83";"26/06/2017"
"DAP - Cupom de DI x IPCA";"Q20";"84.900,13";"84.918,69";"18,56";"22,46";"26/06/2017"
"DAP - Cupom de DI x IPCA";"K21";"81.260,12";"81.230,03";"-30,09";"36,41";"26/06/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.467,34";"75.476,35";"9,01";"10,90";"26/06/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.502,28";"72.475,78";"-26,50";"32,07";"26/06/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.902,04";"67.922,82";"20,78";"25,14";"26/06/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.459,14";"60.489,26";"30,12";"36,45";"26/06/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.727,19";"48.649,09";"-78,10";"94,52";"26/06/2017"
"DDI - Cupom cambial";"N17";"100.121,97";"98.928,55";"-1.193,42";"1.989,55";"26/06/2017"
"DDI - Cupom cambial";"Q17";"99.912,16";"98.728,38";"-1.183,78";"1.973,47";"26/06/2017"
"DDI - Cupom cambial";"U17";"99.743,41";"98.572,72";"-1.170,69";"1.951,65";"26/06/2017"
"DDI - Cupom cambial";"V17";"99.553,68";"98.379,74";"-1.173,94";"1.957,07";"26/06/2017"
"DDI - Cupom cambial";"X17";"99.353,57";"98.191,53";"-1.162,04";"1.937,23";"26/06/2017"
"DDI - Cupom cambial";"Z17";"99.171,38";"98.016,85";"-1.154,53";"1.924,71";"26/06/2017"
"DDI - Cupom cambial";"F18";"98.952,46";"97.806,15";"-1.146,31";"1.911,01";"26/06/2017"
"DDI - Cupom cambial";"G18";"98.764,62";"97.637,18";"-1.127,44";"1.879,55";"26/06/2017"
"DDI - Cupom cambial";"H18";"98.565,82";"97.442,46";"-1.123,36";"1.872,75";"26/06/2017"
"DDI - Cupom cambial";"J18";"98.328,23";"97.217,42";"-1.110,81";"1.851,83";"26/06/2017"
"DDI - Cupom cambial";"K18";"98.119,16";"97.009,42";"-1.109,74";"1.850,04";"26/06/2017"
"DDI - Cupom cambial";"M18";"97.878,82";"96.782,52";"-1.096,30";"1.827,64";"26/06/2017"
"DDI - Cupom cambial";"N18";"97.673,16";"96.576,26";"-1.096,90";"1.828,64";"26/06/2017"
"DDI - Cupom cambial";"V18";"96.991,38";"95.925,26";"-1.066,12";"1.777,32";"26/06/2017"
"DDI - Cupom cambial";"F19";"96.234,97";"95.214,67";"-1.020,30";"1.700,94";"26/06/2017"
"DDI - Cupom cambial";"J19";"95.547,74";"94.553,51";"-994,23";"1.657,48";"26/06/2017"
"DDI - Cupom cambial";"N19";"94.738,05";"93.813,40";"-924,65";"1.541,48";"26/06/2017"
"DDI - Cupom cambial";"V19";"93.926,57";"93.012,95";"-913,62";"1.523,09";"26/06/2017"
"DDI - Cupom cambial";"F20";"93.059,78";"92.200,83";"-858,95";"1.431,95";"26/06/2017"
"DDI - Cupom cambial";"J20";"92.210,44";"91.385,40";"-825,04";"1.375,42";"26/06/2017"
"DDI - Cupom cambial";"N20";"91.306,15";"90.505,86";"-800,29";"1.334,16";"26/06/2017"
"DDI - Cupom cambial";"V20";"90.343,72";"89.606,85";"-736,87";"1.228,43";"26/06/2017"
"DDI - Cupom cambial";"F21";"89.391,38";"88.645,85";"-745,53";"1.242,87";"26/06/2017"
"DDI - Cupom cambial";"J21";"88.541,29";"87.823,62";"-717,67";"1.196,42";"26/06/2017"
"DDI - Cupom cambial";"N21";"87.526,42";"86.813,55";"-712,87";"1.188,42";"26/06/2017"
"DDI - Cupom cambial";"V21";"86.615,25";"85.940,92";"-674,33";"1.124,17";"26/06/2017"
"DDI - Cupom cambial";"F22";"85.479,85";"84.853,07";"-626,78";"1.044,90";"26/06/2017"
"DDI - Cupom cambial";"J22";"84.716,91";"84.071,29";"-645,62";"1.076,31";"26/06/2017"
"DDI - Cupom cambial";"N22";"83.577,94";"82.954,58";"-623,36";"1.039,20";"26/06/2017"
"DDI - Cupom cambial";"F23";"81.384,62";"80.812,00";"-572,62";"954,61";"26/06/2017"
"DDI - Cupom cambial";"F24";"77.196,12";"76.711,97";"-484,15";"807,12";"26/06/2017"
"DDI - Cupom cambial";"F25";"73.201,77";"72.785,65";"-416,12";"693,71";"26/06/2017"
"DDI - Cupom cambial";"F26";"69.201,17";"68.824,60";"-376,57";"627,77";"26/06/2017"
"DDI - Cupom cambial";"F27";"65.422,13";"65.089,51";"-332,62";"554,51";"26/06/2017"
"DDI - Cupom cambial";"F28";"61.884,72";"61.598,35";"-286,37";"477,40";"26/06/2017"
"DDI - Cupom cambial";"F30";"55.312,19";"55.080,69";"-231,50";"385,93";"26/06/2017"
"DI1 - DI de 1 dia";"N17";"99.808,48";"99.808,50";"0,02";"0,02";"26/06/2017"
"DI1 - DI de 1 dia";"Q17";"99.016,65";"99.016,54";"-0,11";"0,11";"26/06/2017"
"DI1 - DI de 1 dia";"U17";"98.215,73";"98.218,57";"2,84";"2,84";"26/06/2017"
"DI1 - DI de 1 dia";"V17";"97.556,60";"97.557,88";"1,28";"1,28";"26/06/2017"
"DI1 - DI de 1 dia";"X17";"96.873,71";"96.875,55";"1,84";"1,84";"26/06/2017"
"DI1 - DI de 1 dia";"Z17";"96.265,45";"96.262,67";"-2,78";"2,78";"26/06/2017"
"DI1 - DI de 1 dia";"F18";"95.657,92";"95.669,81";"11,89";"11,89";"26/06/2017"
