"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";"2.530,1360";"2.516,6740";"-13,4620";"807,72";"05/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.545,8830";"2.532,2900";"-13,5930";"815,58";"05/07/2017"
"BGI - Boi gordo";"N17";"125,50";"124,25";"-1,25";"412,50";"05/07/2017"
"BGI - Boi gordo";"Q17";"125,75";"125,25";"-0,50";"165,00";"05/07/2017"
"BGI - Boi gordo";"U17";"125,50";"126,00";"0,50";"165,00";"05/07/2017"
"BGI - Boi gordo";"V17";"127,26";"127,55";"0,29";"95,70";"05/07/2017"
"BGI - Boi gordo";"X17";"127,39";"127,68";"0,29";"95,70";"05/07/2017"
"BGI - Boi gordo";"Z17";"127,80";"128,09";"0,29";"95,70";"05/07/2017"
"BGI - Boi gordo";"K18";"128,04";"128,33";"0,29";"95,70";"05/07/2017"
"BGI - Boi gordo";"V18";"132,97";"133,29";"0,32";"105,60";"05/07/2017"
"BRI - IBrX-50";"Q17";"10.662";"10.639";"-23";"230,00";"05/07/2017"
"BRI - IBrX-50";"V17";"10.809";"10.786";"-23";"230,00";"05/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.574,1900";"2.555,6790";"-18,5110";"1.110,66";"05/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.592,4070";"2.573,9820";"-18,4250";"1.105,50";"05/07/2017"
"CCM - Milho";"N17";"25,72";"25,43";"-0,29";"130,50";"05/07/2017"
"CCM - Milho";"U17";"26,52";"26,22";"-0,30";"135,00";"05/07/2017"
"CCM - Milho";"X17";"27,40";"27,09";"-0,31";"139,50";"05/07/2017"
"CCM - Milho";"F18";"28,10";"27,78";"-0,32";"144,00";"05/07/2017"
"CCM - Milho";"H18";"29,95";"29,95";"0,00";"0,00";"05/07/2017"
"CCM - Milho";"U18";"30,00";"30,00";"0,00";"0,00";"05/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.454,1610";"3.439,9290";"-14,2320";"711,60";"05/07/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.483,6510";"3.469,9740";"-13,6770";"683,85";"05/07/2017"
"CLP - PESO CHILENO";"U17";"5.036,8000";"5.002,8000";"-34,0000";"850,00";"05/07/2017"
"DAP - Cupom de DI x IPCA";"N17";"99.594,95";"99.593,23";"-1,72";"2,08";"05/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";"98.973,46";"98.976,65";"3,19";"3,85";"05/07/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.473,67";"97.486,43";"12,76";"15,43";"05/07/2017"
