"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";"2.505,7180";"2.493,0300";"-12,6880";"761,28";"10/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.521,2090";"2.508,5170";"-12,6920";"761,52";"10/07/2017"
"BGI - Boi gordo";"N17";"123,78";"124,10";"0,32";"105,60";"10/07/2017"
"BGI - Boi gordo";"Q17";"123,85";"124,52";"0,67";"221,10";"10/07/2017"
"BGI - Boi gordo";"U17";"124,95";"125,95";"1,00";"330,00";"10/07/2017"
"BGI - Boi gordo";"V17";"126,09";"127,28";"1,19";"392,70";"10/07/2017"
"BGI - Boi gordo";"X17";"126,22";"127,36";"1,14";"376,20";"10/07/2017"
"BGI - Boi gordo";"Z17";"126,63";"127,77";"1,14";"376,20";"10/07/2017"
"BGI - Boi gordo";"K18";"126,86";"127,70";"0,84";"277,20";"10/07/2017"
"BGI - Boi gordo";"V18";"131,76";"132,73";"0,97";"320,10";"10/07/2017"
"BRI - IBrX-50";"Q17";"10.484";"10.598";"114";"1.140,00";"10/07/2017"
"BRI - IBrX-50";"V17";"10.631";"10.747";"116";"1.160,00";"10/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.560,3060";"2.546,1420";"-14,1640";"849,84";"10/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.578,4320";"2.564,3100";"-14,1220";"847,32";"10/07/2017"
"CCM - Milho";"N17";"25,30";"26,30";"1,00";"450,00";"10/07/2017"
"CCM - Milho";"U17";"26,09";"26,97";"0,88";"396,00";"10/07/2017"
"CCM - Milho";"X17";"27,25";"28,45";"1,20";"540,00";"10/07/2017"
"CCM - Milho";"F18";"27,79";"28,73";"0,94";"423,00";"10/07/2017"
"CCM - Milho";"H18";"29,88";"30,90";"1,02";"459,00";"10/07/2017"
"CCM - Milho";"K18";"29,34";"30,34";"1,00";"450,00";"10/07/2017"
"CCM - Milho";"U18";"29,90";"30,92";"1,02";"459,00";"10/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.424,7360";"3.400,8560";"-23,8800";"1.194,00";"10/07/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.454,6790";"3.430,7080";"-23,9710";"1.198,55";"10/07/2017"
"CLP - PESO CHILENO";"U17";"4.964,6000";"4.941,9000";"-22,7000";"567,50";"10/07/2017"
"DAP - Cupom de DI x IPCA";"N17";"99.754,80";"99.753,77";"-1,03";"1,24";"10/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";"99.105,43";"99.104,49";"-0,94";"1,13";"10/07/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.610,50";"97.633,35";"22,85";"27,61";"10/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";"95.223,62";"95.203,66";"-19,96";"24,12";"10/07/2017"
"DAP - Cupom de DI x IPCA";"F19";"93.354,60";"93.352,43";"-2,17";"2,62";"10/07/2017"
"DAP - Cupom de DI x IPCA";"K19";"92.082,61";"92.118,19";"35,58";"43,00";"10/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";"85.445,03";"85.545,79";"100,76";"121,79";"10/07/2017"
"DAP - Cupom de DI x IPCA";"K21";"81.633,58";"81.699,50";"65,92";"79,67";"10/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.625,54";"75.677,52";"51,98";"62,82";"10/07/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.534,00";"72.594,05";"60,05";"72,58";"10/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.724,56";"67.796,70";"72,14";"87,19";"10/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.378,51";"60.465,82";"87,31";"105,53";"10/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.528,54";"48.575,23";"46,69";"56,43";"10/07/2017"
"DDI - Cupom cambial";"Q17";"99.614,93";"99.053,87";"-561,06";"922,80";"10/07/2017"
"DDI - Cupom cambial";"U17";"99.472,23";"98.913,65";"-558,58";"918,72";"10/07/2017"
"DDI - Cupom cambial";"V17";"99.290,14";"98.728,38";"-561,76";"923,95";"10/07/2017"
"DDI - Cupom cambial";"X17";"99.115,60";"98.555,02";"-560,58";"922,01";"10/07/2017"
"DDI - Cupom cambial";"Z17";"98.944,27";"98.378,72";"-565,55";"930,18";"10/07/2017"
"DDI - Cupom cambial";"F18";"98.740,64";"98.180,82";"-559,82";"920,76";"10/07/2017"
"DDI - Cupom cambial";"G18";"98.577,85";"98.014,55";"-563,30";"926,48";"10/07/2017"
"DDI - Cupom cambial";"H18";"98.395,21";"97.837,78";"-557,43";"916,83";"10/07/2017"
"DDI - Cupom cambial";"J18";"98.161,13";"97.605,63";"-555,50";"913,65";"10/07/2017"
"DDI - Cupom cambial";"K18";"97.949,01";"97.389,53";"-559,48";"920,20";"10/07/2017"
"DDI - Cupom cambial";"M18";"97.721,27";"97.158,18";"-563,09";"926,14";"10/07/2017"
"DDI - Cupom cambial";"N18";"97.509,97";"96.961,55";"-548,42";"902,01";"10/07/2017"
"DDI - Cupom cambial";"V18";"96.851,60";"96.308,60";"-543,00";"893,09";"10/07/2017"
"DDI - Cupom cambial";"F19";"96.108,23";"95.562,48";"-545,75";"897,62";"10/07/2017"
"DDI - Cupom cambial";"J19";"95.386,47";"94.854,16";"-532,31";"875,51";"10/07/2017"
"DDI - Cupom cambial";"N19";"94.615,47";"94.083,36";"-532,11";"875,18";"10/07/2017"
"DDI - Cupom cambial";"V19";"93.851,30";"93.319,35";"-531,95";"874,92";"10/07/2017"
"DDI - Cupom cambial";"F20";"92.948,18";"92.417,74";"-530,44";"872,44";"10/07/2017"
"DDI - Cupom cambial";"J20";"92.116,70";"91.587,39";"-529,31";"870,58";"10/07/2017"
"DDI - Cupom cambial";"N20";"91.192,16";"90.689,70";"-502,46";"826,42";"10/07/2017"
"DDI - Cupom cambial";"V20";"90.267,90";"89.769,02";"-498,88";"820,53";"10/07/2017"
"DDI - Cupom cambial";"F21";"89.306,26";"88.811,17";"-495,09";"814,29";"10/07/2017"
"DDI - Cupom cambial";"J21";"88.365,32";"87.874,21";"-491,11";"807,75";"10/07/2017"
"DDI - Cupom cambial";"N21";"87.348,78";"86.862,11";"-486,67";"800,45";"10/07/2017"
