"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";2537,728;2530,136;-7,592;455,52;"04/07/2017"
"AUD - Dólar comercial australiano";"U17";2553,734;2545,883;-7,851;471,06;"04/07/2017"
"BGI - Boi gordo";"N17";124,91;125,5;0,59;194,7;"04/07/2017"
"BGI - Boi gordo";"Q17";125,34;125,75;0,41;135,3;"04/07/2017"
"BGI - Boi gordo";"U17";125,24;125,5;0,26;85,8;"04/07/2017"
"BGI - Boi gordo";"V17";125,87;127,26;1,39;458,7;"04/07/2017"
"BGI - Boi gordo";"X17";126;127,39;1,39;458,7;"04/07/2017"
"BGI - Boi gordo";"Z17";126,41;127,8;1,39;458,7;"04/07/2017"
"BGI - Boi gordo";"K18";126,65;128,04;1,39;458,7;"04/07/2017"
"BGI - Boi gordo";"V18";131,52;132,97;1,45;478,5;"04/07/2017"
"BRI - IBrX-50";"Q17";10673;10662;-11;110;"04/07/2017"
"BRI - IBrX-50";"V17";10821;10809;-12;120;"04/07/2017"
"CAD - Dólar comercial canadense";"Q17";2552,042;2574,19;22,148;1328,88;"04/07/2017"
"CAD - Dólar comercial canadense";"U17";2570,249;2592,407;22,158;1329,48;"04/07/2017"
"CCM - Milho";"N17";25,35;25,72;0,37;166,5;"04/07/2017"
"CCM - Milho";"U17";26,25;26,52;0,27;121,5;"04/07/2017"
"CCM - Milho";"X17";27,03;27,4;0,37;166,5;"04/07/2017"
"CCM - Milho";"F18";27,8;28,1;0,3;135;"04/07/2017"
"CCM - Milho";"H18";29,61;29,95;0,34;153;"04/07/2017"
"CCM - Milho";"U18";30,18;30;-0,18;81;"04/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";3447,188;3454,161;6,973;348,65;"04/07/2017"
"CHF - FRANCO SUÍÇO";"U17";3477,222;3483,651;6,429;321,45;"04/07/2017"
"CLP - PESO CHILENO";"U17";5033,9;5036,8;2,9;72,5;"04/07/2017"
"DAP - Cupom de DI x IPCA";"N17";99552,08;99548,76;-3,32;4,01;"04/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";98919,2;98927,56;8,36;10,11;"04/07/2017"
"DAP - Cupom de DI x IPCA";"F18";97371,01;97428,46;57,45;69,49;"04/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";94991,07;95044,99;53,92;65,22;"04/07/2017"
"DAP - Cupom de DI x IPCA";"F19";93013,17;93135,89;122,72;148,45;"04/07/2017"
"DAP - Cupom de DI x IPCA";"K19";91867,82;91874,21;6,39;7,72;"04/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";85323,15;85351,11;27,96;33,82;"04/07/2017"
"DAP - Cupom de DI x IPCA";"K21";81681,84;81660,87;-20,97;25,36;"04/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";75849,83;75721,14;-128,69;155,67;"04/07/2017"
"DAP - Cupom de DI x IPCA";"K23";72749,31;72610,77;-138,54;167,58;"04/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";68073,56;67919,61;-153,95;186,22;"04/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";60740,37;60568,74;-171,63;207,61;"04/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";48845,63;48712,9;-132,73;160,56;"04/07/2017"
"DDI - Cupom cambial";"Q17";99718,4;100044,35;325,95;538,06;"04/07/2017"
"DDI - Cupom cambial";"U17";99579,14;99898,49;319,35;527,16;"04/07/2017"
"DDI - Cupom cambial";"V17";99397,13;99710,84;313,71;517,85;"04/07/2017"
"DDI - Cupom cambial";"X17";99224,15;99535,5;311,35;513,96;"04/07/2017"
"DDI - Cupom cambial";"Z17";99053,09;99362,42;309,33;510,62;"04/07/2017"
"DDI - Cupom cambial";"F18";98844,51;99157,82;313,31;517,19;"04/07/2017"
"DDI - Cupom cambial";"G18";98676,65;98991,5;314,85;519,73;"04/07/2017"
"DDI - Cupom cambial";"H18";98500,51;98807,72;307,21;507,12;"04/07/2017"
"DDI - Cupom cambial";"J18";98288,51;98584,76;296,25;489,03;"04/07/2017"
"DDI - Cupom cambial";"K18";98094,7;98390,5;295,8;488,29;"04/07/2017"
"DDI - Cupom cambial";"M18";97842,97;98135,64;292,67;483,12;"04/07/2017"
"DDI - Cupom cambial";"N18";97654,37;97945,75;291,38;480,99;"04/07/2017"
"DDI - Cupom cambial";"V18";96992,76;97300,45;307,69;507,91;"04/07/2017"
"DDI - Cupom cambial";"F19";96255,91;96538,25;282,34;466,07;"04/07/2017"
"DDI - Cupom cambial";"J19";95557,71;95835,01;277,3;457,75;"04/07/2017"
"DDI - Cupom cambial";"N19";94815,18;95084,35;269,17;444,33;"04/07/2017"
"DDI - Cupom cambial";"V19";94030,13;94314,04;283,91;468,66;"04/07/2017"
"DDI - Cupom cambial";"F20";93175,84;93420,69;244,85;404,18;"04/07/2017"
"DDI - Cupom cambial";"J20";92342,91;92578,88;235,97;389,52;"04/07/2017"
"DDI - Cupom cambial";"N20";91433,31;91677,54;244,23;403,16;"04/07/2017"
"DDI - Cupom cambial";"V20";90519,63;90740,67;221,04;364,88;"04/07/2017"
"DDI - Cupom cambial";"F21";89507,92;89727,23;219,31;362,02;"04/07/2017"
"DDI - Cupom cambial";"J21";88622,88;88804,6;181,72;299,97;"04/07/2017"
"DDI - Cupom cambial";"N21";87633,23;87802,87;169,64;280,03;"04/07/2017"
"DDI - Cupom cambial";"V21";86781,52;86936,57;155,05;255,94;"04/07/2017"
"DDI - Cupom cambial";"F22";85677,58;85780,21;102,63;169,41;"04/07/2017"
"DDI - Cupom cambial";"J22";84740,03;84854,19;114,16;188,44;"04/07/2017"
"DDI - Cupom cambial";"N22";83631,09;83755,82;124,73;205,89;"04/07/2017"
"DDI - Cupom cambial";"F23";81465,44;81647,02;181,58;299,74;"04/07/2017"
"DDI - Cupom cambial";"F24";77145,05;77280,45;135,4;223,51;"04/07/2017"
"DDI - Cupom cambial";"F25";73052,44;73167,79;115,35;190,41;"04/07/2017"
"DDI - Cupom cambial";"F26";69244,78;69332,74;87,96;145,19;"04/07/2017"
"DDI - Cupom cambial";"F27";65333,51;65429,47;95,96;158,4;"04/07/2017"
"DDI - Cupom cambial";"F28";61830,85;61932,34;101,49;167,53;"04/07/2017"
"DDI - Cupom cambial";"F30";55290,27;55356,17;65,9;108,78;"04/07/2017"
