"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";"2.508,6620";"2.509,9400";"1,2780";"76,68";"19/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.523,8760";"2.524,8360";"0,9600";"57,60";"19/07/2017"
"BGI - Boi gordo";"N17";"123,47";"123,79";"0,32";"105,60";"19/07/2017"
"BGI - Boi gordo";"Q17";"126,99";"127,35";"0,36";"118,80";"19/07/2017"
"BGI - Boi gordo";"U17";"129,41";"130,15";"0,74";"244,20";"19/07/2017"
"BGI - Boi gordo";"V17";"130,58";"131,78";"1,20";"396,00";"19/07/2017"
"BGI - Boi gordo";"X17";"130,66";"131,86";"1,20";"396,00";"19/07/2017"
"BGI - Boi gordo";"Z17";"131,09";"132,00";"0,91";"300,30";"19/07/2017"
"BGI - Boi gordo";"K18";"130,77";"131,57";"0,80";"264,00";"19/07/2017"
"BGI - Boi gordo";"V18";"135,80";"136,25";"0,45";"148,50";"19/07/2017"
"BRI - IBrX-50";"Q17";"10.975";"10.945";"-30";"300,00";"19/07/2017"
"BRI - IBrX-50";"V17";"11.127";"11.096";"-31";"310,00";"19/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.509,8000";"2.506,2840";"-3,5160";"210,96";"19/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.526,7550";"2.523,0960";"-3,6590";"219,54";"19/07/2017"
"CCM - Milho";"U17";"26,27";"26,32";"0,05";"22,50";"19/07/2017"
"CCM - Milho";"X17";"28,30";"28,35";"0,05";"22,50";"19/07/2017"
"CCM - Milho";"F18";"28,67";"28,72";"0,05";"22,50";"19/07/2017"
"CCM - Milho";"H18";"29,71";"29,97";"0,26";"117,00";"19/07/2017"
"CCM - Milho";"K18";"29,38";"29,64";"0,26";"117,00";"19/07/2017"
"CCM - Milho";"U18";"29,51";"29,77";"0,26";"117,00";"19/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.320,4500";"3.305,7060";"-14,7440";"737,20";"19/07/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.348,0520";"3.333,7130";"-14,3390";"716,95";"19/07/2017"
"CLP - PESO CHILENO";"Q17";"4.832,3000";"4.825,7000";"-6,6000";"165,00";"19/07/2017"
"CLP - PESO CHILENO";"U17";"4.862,2000";"4.851,0000";"-11,2000";"280,00";"19/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";"99.414,67";"99.420,72";"6,05";"7,31";"19/07/2017"
"DAP - Cupom de DI x IPCA";"U17";"98.872,60";"98.881,20";"8,60";"10,39";"19/07/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.958,40";"98.005,15";"46,75";"56,48";"19/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";"95.480,38";"95.605,36";"124,98";"151,01";"19/07/2017"
"DAP - Cupom de DI x IPCA";"F19";"93.959,72";"94.080,76";"121,04";"146,24";"19/07/2017"
"DAP - Cupom de DI x IPCA";"K19";"92.579,34";"92.807,81";"228,47";"276,05";"19/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";"86.276,56";"86.494,55";"217,99";"263,39";"19/07/2017"
"DAP - Cupom de DI x IPCA";"K21";"82.898,65";"83.160,83";"262,18";"316,78";"19/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";"77.266,67";"77.706,00";"439,33";"530,83";"19/07/2017"
"DAP - Cupom de DI x IPCA";"K23";"74.244,53";"74.688,37";"443,84";"536,28";"19/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";"69.558,90";"70.019,60";"460,70";"556,65";"19/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";"62.624,32";"62.942,34";"318,02";"384,25";"19/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";"49.930,44";"50.359,62";"429,18";"518,56";"19/07/2017"
"DDI - Cupom cambial";"Q17";"99.673,54";"99.314,29";"-359,25";"568,83";"19/07/2017"
"DDI - Cupom cambial";"U17";"99.510,37";"99.148,10";"-362,27";"573,61";"19/07/2017"
"DDI - Cupom cambial";"V17";"99.320,21";"98.958,87";"-361,34";"572,14";"19/07/2017"
"DDI - Cupom cambial";"X17";"99.149,53";"98.786,98";"-362,55";"574,06";"19/07/2017"
"DDI - Cupom cambial";"Z17";"98.977,39";"98.620,55";"-356,84";"565,02";"19/07/2017"
"DDI - Cupom cambial";"F18";"98.788,24";"98.429,29";"-358,95";"568,36";"19/07/2017"
"DDI - Cupom cambial";"G18";"98.623,16";"98.273,74";"-349,42";"553,27";"19/07/2017"
"DDI - Cupom cambial";"H18";"98.433,01";"98.087,30";"-345,71";"547,39";"19/07/2017"
"DDI - Cupom cambial";"J18";"98.226,75";"97.869,04";"-357,71";"566,39";"19/07/2017"
"DDI - Cupom cambial";"K18";"98.043,12";"97.671,80";"-371,32";"587,94";"19/07/2017"
"DDI - Cupom cambial";"M18";"97.825,58";"97.451,40";"-374,18";"592,47";"19/07/2017"
"DDI - Cupom cambial";"N18";"97.634,78";"97.273,11";"-361,67";"572,66";"19/07/2017"
"DDI - Cupom cambial";"V18";"96.977,66";"96.618,54";"-359,12";"568,63";"19/07/2017"
"DDI - Cupom cambial";"F19";"96.273,99";"95.917,74";"-356,25";"564,08";"19/07/2017"
"DDI - Cupom cambial";"J19";"95.568,04";"95.220,18";"-347,86";"550,80";"19/07/2017"
"DDI - Cupom cambial";"N19";"94.777,65";"94.416,62";"-361,03";"571,65";"19/07/2017"
"DDI - Cupom cambial";"V19";"93.965,96";"93.622,73";"-343,23";"543,47";"19/07/2017"
"DDI - Cupom cambial";"F20";"93.047,94";"92.722,45";"-325,49";"515,38";"19/07/2017"
"DDI - Cupom cambial";"J20";"92.243,42";"91.911,13";"-332,29";"526,14";"19/07/2017"
"DDI - Cupom cambial";"N20";"91.349,52";"91.006,99";"-342,53";"542,36";"19/07/2017"
"DDI - Cupom cambial";"V20";"90.432,11";"90.075,89";"-356,22";"564,03";"19/07/2017"
