"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";2487,87;2508,662;20,792;1247,52;"18/07/2017"
"AUD - Dólar comercial australiano";"U17";2502,677;2523,876;21,199;1271,94;"18/07/2017"
"BGI - Boi gordo";"N17";123,38;123,47;0,09;29,7;"18/07/2017"
"BGI - Boi gordo";"Q17";126,09;126,99;0,9;297;"18/07/2017"
"BGI - Boi gordo";"U17";127,68;129,41;1,73;570,9;"18/07/2017"
"BGI - Boi gordo";"V17";128,83;130,58;1,75;577,5;"18/07/2017"
"BGI - Boi gordo";"X17";128,91;130,66;1,75;577,5;"18/07/2017"
"BGI - Boi gordo";"Z17";129,33;131,09;1,76;580,8;"18/07/2017"
"BGI - Boi gordo";"K18";129,18;130,77;1,59;524,7;"18/07/2017"
"BGI - Boi gordo";"V18";134,35;135,8;1,45;478,5;"18/07/2017"
"BRI - IBrX-50";"Q17";10961;10975;14;140;"18/07/2017"
"BRI - IBrX-50";"V17";11112;11127;15;150;"18/07/2017"
"CAD - Dólar comercial canadense";"Q17";2514,276;2509,8;-4,476;268,56;"18/07/2017"
"CAD - Dólar comercial canadense";"U17";2531,712;2526,755;-4,957;297,42;"18/07/2017"
"CCM - Milho";"U17";26,33;26,27;-0,06;27;"18/07/2017"
"CCM - Milho";"X17";27,81;28,3;0,49;220,5;"18/07/2017"
"CCM - Milho";"F18";28,17;28,67;0,5;225;"18/07/2017"
"CCM - Milho";"H18";29,3;29,71;0,41;184,5;"18/07/2017"
"CCM - Milho";"K18";28,97;29,38;0,41;184,5;"18/07/2017"
"CCM - Milho";"U18";28,95;29,51;0,56;252;"18/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";3319,281;3320,45;1,169;58,45;"18/07/2017"
"CHF - FRANCO SUÍÇO";"U17";3347,409;3348,052;0,643;32,15;"18/07/2017"
"CLP - PESO CHILENO";"U17";4857,7;4862,2;4,5;112,5;"18/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";99400,33;99385,22;-15,11;18,25;"18/07/2017"
"DAP - Cupom de DI x IPCA";"U17";98847;98843,31;-3,69;4,45;"18/07/2017"
"DAP - Cupom de DI x IPCA";"F18";97946,55;97929,38;-17,17;20,74;"18/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";95503,46;95452,1;-51,36;62,05;"18/07/2017"
"DAP - Cupom de DI x IPCA";"F19";93944,15;93931,89;-12,26;14,81;"18/07/2017"
"DAP - Cupom de DI x IPCA";"K19";92563,79;92551,92;-11,87;14,34;"18/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";86184,53;86251;66,47;80,3;"18/07/2017"
"DAP - Cupom de DI x IPCA";"K21";82762,48;82874,09;111,61;134,84;"18/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";77139,85;77243,78;103,93;125,56;"18/07/2017"
"DAP - Cupom de DI x IPCA";"K23";74066,23;74222,54;156,31;188,84;"18/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";69405,25;69538,3;133,05;160,74;"18/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";62343,04;62605,77;262,73;317,42;"18/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";49551,51;49915,65;364,14;439,94;"18/07/2017"
"DDI - Cupom cambial";"Q17";99879,87;99156,29;-723,58;1151,25;"18/07/2017"
"DDI - Cupom cambial";"U17";99712,75;98993,97;-718,78;1143,61;"18/07/2017"
"DDI - Cupom cambial";"V17";99517,26;98804,79;-712,47;1133,57;"18/07/2017"
"DDI - Cupom cambial";"X17";99350,43;98635;-715,43;1138,28;"18/07/2017"
"DDI - Cupom cambial";"Z17";99177,69;98463,75;-713,94;1135,91;"18/07/2017"
"DDI - Cupom cambial";"F18";98987,06;98275,59;-711,47;1131,98;"18/07/2017"
"DDI - Cupom cambial";"G18";98814,21;98111,36;-702,85;1118,26;"18/07/2017"
"DDI - Cupom cambial";"H18";98623,15;97922,2;-700,95;1115,24;"18/07/2017"
"DDI - Cupom cambial";"J18";98428,23;97717,01;-711,22;1131,58;"18/07/2017"
"DDI - Cupom cambial";"K18";98233,2;97534,33;-698,87;1111,93;"18/07/2017"
"DDI - Cupom cambial";"M18";98016,67;97317,92;-698,75;1111,74;"18/07/2017"
"DDI - Cupom cambial";"N18";97829,65;97128,11;-701,54;1116,18;"18/07/2017"
"DDI - Cupom cambial";"V18";97165,04;96474,4;-690,64;1098,84;"18/07/2017"
"DDI - Cupom cambial";"F19";96463,13;95774,38;-688,75;1095,83;"18/07/2017"
"DDI - Cupom cambial";"J19";95759,48;95072,1;-687,38;1093,65;"18/07/2017"
"DDI - Cupom cambial";"N19";94971,78;94285,81;-685,97;1091,41;"18/07/2017"
"DDI - Cupom cambial";"V19";94189,15;93478,33;-710,82;1130,95;"18/07/2017"
"DDI - Cupom cambial";"F20";93272,59;92565,07;-707,52;1125,69;"18/07/2017"
"DDI - Cupom cambial";"J20";92483,52;91764,73;-718,79;1143,63;"18/07/2017"
"DDI - Cupom cambial";"N20";91574,79;90875,47;-699,32;1112,65;"18/07/2017"
"DDI - Cupom cambial";"V20";90634,87;89962,82;-672,05;1069,26;"18/07/2017"
"DDI - Cupom cambial";"F21";89678,74;89040,59;-638,15;1015,32;"18/07/2017"
"DDI - Cupom cambial";"J21";88854,23;88199,24;-654,99;1042,12;"18/07/2017"
"DDI - Cupom cambial";"N21";87837,79;87198,66;-639,13;1016,88;"18/07/2017"
"DDI - Cupom cambial";"V21";86955,6;86302,13;-653,47;1039,7;"18/07/2017"
"DDI - Cupom cambial";"F22";85720,07;85090,09;-629,98;1002,32;"18/07/2017"
"DDI - Cupom cambial";"J22";84813,2;84207,1;-606,1;964,33;"18/07/2017"
"DDI - Cupom cambial";"N22";83808,06;83194,33;-613,73;976,47;"18/07/2017"
