"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.433,2780";"2.479,5430";"46,2650";"2.775,90";"05/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.447,3140";"2.493,8340";"46,5200";"2.791,20";"05/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.462,8150";"2.509,6420";"46,8270";"2.809,62";"05/06/2017"
"BGI - Boi gordo";"M17";"128,17";"128,36";"0,19";"62,70";"05/06/2017"
"BGI - Boi gordo";"N17";"129,34";"128,50";"-0,84";"277,20";"05/06/2017"
"BGI - Boi gordo";"Q17";"130,00";"129,00";"-1,00";"330,00";"05/06/2017"
"BGI - Boi gordo";"U17";"131,42";"131,25";"-0,17";"56,10";"05/06/2017"
"BGI - Boi gordo";"V17";"131,88";"131,71";"-0,17";"56,10";"05/06/2017"
"BGI - Boi gordo";"X17";"132,55";"132,38";"-0,17";"56,10";"05/06/2017"
"BGI - Boi gordo";"Z17";"132,97";"132,80";"-0,17";"56,10";"05/06/2017"
"BGI - Boi gordo";"K18";"134,85";"134,69";"-0,16";"52,80";"05/06/2017"
"BGI - Boi gordo";"V18";"140,89";"140,71";"-0,18";"59,40";"05/06/2017"
"BRI - IBrX-50";"Q17";"10.604";"10.589";"-15";"150,00";"05/06/2017"
"BRI - IBrX-50";"V17";"10.756";"10.742";"-14";"140,00";"05/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.426,0450";"2.459,6110";"33,5660";"2.013,96";"05/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.442,4720";"2.476,1560";"33,6840";"2.021,04";"05/06/2017"
"CAD - Dólar comercial canadense";"U17";"2.460,3050";"2.494,3790";"34,0740";"2.044,44";"05/06/2017"
"CCM - Milho";"N17";"26,21";"26,02";"-0,19";"85,50";"05/06/2017"
"CCM - Milho";"U17";"26,78";"26,98";"0,20";"90,00";"05/06/2017"
"CCM - Milho";"X17";"27,46";"27,89";"0,43";"193,50";"05/06/2017"
"CCM - Milho";"F18";"28,50";"28,72";"0,22";"99,00";"05/06/2017"
"CCM - Milho";"H18";"29,64";"30,11";"0,47";"211,50";"05/06/2017"
"CCM - Milho";"U18";"28,76";"29,23";"0,47";"211,50";"05/06/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.403,0720";"3.437,9930";"34,9210";"1.746,05";"05/06/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.460,8820";"3.496,4270";"35,5450";"1.777,25";"05/06/2017"
"CLP - PESO CHILENO";"N17";"4.879,2000";"4.947,8000";"68,6000";"1.715,00";"05/06/2017"
