"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.532,0780";"2.521,0420";"-11,0360";"662,16";"21/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.546,1890";"2.535,1740";"-11,0150";"660,90";"21/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.561,5260";"2.550,3020";"-11,2240";"673,44";"21/06/2017"
"BGI - Boi gordo";"M17";"125,99";"125,60";"-0,39";"128,70";"21/06/2017"
"BGI - Boi gordo";"N17";"120,00";"119,63";"-0,37";"122,10";"21/06/2017"
"BGI - Boi gordo";"Q17";"119,75";"119,68";"-0,07";"23,10";"21/06/2017"
"BGI - Boi gordo";"U17";"119,30";"119,23";"-0,07";"23,10";"21/06/2017"
"BGI - Boi gordo";"V17";"119,90";"119,83";"-0,07";"23,10";"21/06/2017"
"BGI - Boi gordo";"X17";"120,53";"120,46";"-0,07";"23,10";"21/06/2017"
"BGI - Boi gordo";"Z17";"120,92";"120,85";"-0,07";"23,10";"21/06/2017"
"BGI - Boi gordo";"K18";"122,57";"122,50";"-0,07";"23,10";"21/06/2017"
"BGI - Boi gordo";"V18";"127,44";"127,37";"-0,07";"23,10";"21/06/2017"
"BRI - IBrX-50";"Q17";"10.273";"10.269";"-4";"40,00";"21/06/2017"
"BRI - IBrX-50";"V17";"10.417";"10.413";"-4";"40,00";"21/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.520,1650";"2.507,1690";"-12,9960";"779,76";"21/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.536,7090";"2.523,2330";"-13,4760";"808,56";"21/06/2017"
"CCM - Milho";"N17";"26,40";"26,40";"0,00";"0,00";"21/06/2017"
"CCM - Milho";"U17";"26,77";"26,66";"-0,11";"49,50";"21/06/2017"
"CCM - Milho";"X17";"27,25";"27,11";"-0,14";"63,00";"21/06/2017"
"CCM - Milho";"F18";"28,33";"28,20";"-0,13";"58,50";"21/06/2017"
"CCM - Milho";"H18";"29,48";"29,14";"-0,34";"153,00";"21/06/2017"
"CCM - Milho";"U18";"29,40";"29,55";"0,15";"67,50";"21/06/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.426,9720";"3.432,0350";"5,0630";"253,15";"21/06/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.483,3560";"3.489,9700";"6,6140";"330,70";"21/06/2017"
"CLP - PESO CHILENO";"N17";"5.028,8000";"5.012,9000";"-15,9000";"397,50";"21/06/2017"
"CLP - PESO CHILENO";"Q17";"5.053,8000";"5.036,0000";"-17,8000";"445,00";"21/06/2017"
"CLP - PESO CHILENO";"U17";"5.080,6000";"5.062,2000";"-18,4000";"460,00";"21/06/2017"
"CNY - IUAN";"N17";"4.888,4200";"4.882,9860";"-5,4340";"190,19";"21/06/2017"
"DAP - Cupom de DI x IPCA";"N17";"99.116,55";"99.118,92";"2,37";"2,86";"21/06/2017"
"DAP - Cupom de DI x IPCA";"Q17";"98.537,72";"98.535,79";"-1,93";"2,33";"21/06/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.972,05";"96.955,60";"-16,45";"19,91";"21/06/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.292,26";"94.300,75";"8,49";"10,27";"21/06/2017"
"DAP - Cupom de DI x IPCA";"K19";"91.139,33";"91.198,64";"59,31";"71,80";"21/06/2017"
"DAP - Cupom de DI x IPCA";"Q20";"84.759,13";"84.840,61";"81,48";"98,64";"21/06/2017"
"DAP - Cupom de DI x IPCA";"K21";"81.136,83";"81.148,24";"11,41";"13,81";"21/06/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.517,18";"75.536,97";"19,79";"23,95";"21/06/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.565,46";"72.629,88";"64,42";"77,98";"21/06/2017"
"DAP - Cupom de DI x IPCA";"Q24";"68.077,73";"68.062,30";"-15,43";"18,68";"21/06/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.777,37";"60.816,27";"38,90";"47,09";"21/06/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.930,57";"48.919,58";"-10,99";"13,30";"21/06/2017"
"DDI - Cupom cambial";"N17";"100.458,26";"100.359,29";"-98,97";"164,01";"21/06/2017"
"DDI - Cupom cambial";"Q17";"100.248,02";"100.143,71";"-104,31";"172,86";"21/06/2017"
"DDI - Cupom cambial";"U17";"100.077,21";"99.970,01";"-107,20";"177,65";"21/06/2017"
"DDI - Cupom cambial";"V17";"99.859,87";"99.765,94";"-93,93";"155,66";"21/06/2017"
"DDI - Cupom cambial";"X17";"99.655,06";"99.562,29";"-92,77";"153,74";"21/06/2017"
"DDI - Cupom cambial";"Z17";"99.457,26";"99.361,16";"-96,10";"159,26";"21/06/2017"
"DDI - Cupom cambial";"F18";"99.228,10";"99.135,46";"-92,64";"153,52";"21/06/2017"
"DDI - Cupom cambial";"G18";"99.034,07";"98.936,43";"-97,64";"161,81";"21/06/2017"
