"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"M17";"2.326,9660";"2.480,3960";"153,4300";"9.205,80";"18/05/2017"
"AUD - Dólar comercial australiano";"N17";"2.341,3700";"2.496,6270";"155,2570";"9.315,42";"18/05/2017"
"AUD - Dólar comercial australiano";"Q17";"2.354,1660";"2.510,9750";"156,8090";"9.408,54";"18/05/2017"
"BGI - Boi gordo";"K17";"135,45";"134,34";"-1,11";"366,30";"18/05/2017"
"BGI - Boi gordo";"M17";"134,61";"133,25";"-1,36";"448,80";"18/05/2017"
"BGI - Boi gordo";"N17";"135,80";"134,46";"-1,34";"442,20";"18/05/2017"
"BGI - Boi gordo";"Q17";"136,50";"135,15";"-1,35";"445,50";"18/05/2017"
"BGI - Boi gordo";"U17";"137,36";"135,78";"-1,58";"521,40";"18/05/2017"
"BGI - Boi gordo";"V17";"137,85";"136,26";"-1,59";"524,70";"18/05/2017"
"BGI - Boi gordo";"X17";"138,55";"136,95";"-1,60";"528,00";"18/05/2017"
"BGI - Boi gordo";"Z17";"138,99";"137,39";"-1,60";"528,00";"18/05/2017"
"BGI - Boi gordo";"K18";"141,49";"139,87";"-1,62";"534,60";"18/05/2017"
"BGI - Boi gordo";"V18";"148,18";"146,48";"-1,70";"561,00";"18/05/2017"
"BRI - IBrX-50";"M17";"11.333";"10.427";"-906";"9.060,00";"18/05/2017"
"BRI - IBrX-50";"Q17";"11.501";"10.581";"-920";"9.200,00";"18/05/2017"
"CAD - Dólar comercial canadense";"M17";"2.301,4090";"2.457,2860";"155,8770";"9.352,62";"18/05/2017"
"CAD - Dólar comercial canadense";"Q17";"2.332,9600";"2.493,0010";"160,0410";"9.602,46";"18/05/2017"
"CCM - Milho";"U17";"26,81";"27,96";"1,15";"517,50";"18/05/2017"
"CCM - Milho";"X17";"27,09";"28,25";"1,16";"522,00";"18/05/2017"
"CCM - Milho";"F18";"28,61";"29,84";"1,23";"553,50";"18/05/2017"
"CCM - Milho";"H18";"29,84";"31,15";"1,31";"589,50";"18/05/2017"
"CHF - FRANCO SUÍÇO";"M17";"3.204,9870";"3.415,9910";"211,0040";"10.550,20";"18/05/2017"
"CLP - PESO CHILENO";"M17";"4.679,1000";"4.958,9000";"279,8000";"6.995,00";"18/05/2017"
"CNY - IUAN";"N17";"4.571,8640";"4.871,6700";"299,8060";"10.493,21";"18/05/2017"
"DAP - Cupom de DI x IPCA";"N17";"98.897,06";"98.894,72";"-2,34";"2,82";"18/05/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.941,81";"96.567,08";"-374,73";"452,63";"18/05/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.507,66";"93.235,82";"-1.271,84";"1.536,24";"18/05/2017"
"DAP - Cupom de DI x IPCA";"K19";"91.618,16";"89.559,92";"-2.058,24";"2.486,13";"18/05/2017"
"DAP - Cupom de DI x IPCA";"Q20";"85.852,55";"83.026,76";"-2.825,79";"3.413,25";"18/05/2017"
"DAP - Cupom de DI x IPCA";"K21";"82.538,63";"79.248,55";"-3.290,08";"3.974,07";"18/05/2017"
"DAP - Cupom de DI x IPCA";"Q22";"77.277,23";"73.113,76";"-4.163,47";"5.029,03";"18/05/2017"
"DAP - Cupom de DI x IPCA";"K23";"74.470,14";"70.066,20";"-4.403,94";"5.319,49";"18/05/2017"
"DAP - Cupom de DI x IPCA";"Q24";"69.992,01";"65.546,52";"-4.445,49";"5.369,68";"18/05/2017"
"DAP - Cupom de DI x IPCA";"Q26";"63.054,97";"57.435,12";"-5.619,85";"6.788,18";"18/05/2017"
"DAP - Cupom de DI x IPCA";"Q30";"52.147,43";"45.850,26";"-6.297,17";"7.606,32";"18/05/2017"
"DDI - Cupom cambial";"M17";"100.473,98";"107.220,21";"6.746,23";"10.482,29";"18/05/2017"
"DDI - Cupom cambial";"N17";"100.347,78";"107.066,06";"6.718,28";"10.438,86";"18/05/2017"
"DDI - Cupom cambial";"Q17";"100.157,28";"106.859,01";"6.701,73";"10.413,14";"18/05/2017"
"DDI - Cupom cambial";"U17";"100.013,31";"106.661,17";"6.647,86";"10.329,44";"18/05/2017"
"DDI - Cupom cambial";"V17";"99.828,07";"106.431,92";"6.603,85";"10.261,06";"18/05/2017"
"DDI - Cupom cambial";"X17";"99.659,52";"106.213,08";"6.553,56";"10.182,92";"18/05/2017"
"DDI - Cupom cambial";"Z17";"99.492,36";"105.991,49";"6.499,13";"10.098,34";"18/05/2017"
"DDI - Cupom cambial";"F18";"99.279,81";"105.708,90";"6.429,09";"9.989,52";"18/05/2017"
"DDI - Cupom cambial";"G18";"99.123,02";"105.535,05";"6.412,03";"9.963,01";"18/05/2017"
"DDI - Cupom cambial";"H18";"98.950,92";"105.332,30";"6.381,38";"9.915,38";"18/05/2017"
"DDI - Cupom cambial";"J18";"98.771,16";"105.093,93";"6.322,77";"9.824,32";"18/05/2017"
"DDI - Cupom cambial";"K18";"98.565,53";"104.891,10";"6.325,57";"9.828,67";"18/05/2017"
"DDI - Cupom cambial";"N18";"98.173,95";"104.461,37";"6.287,42";"9.769,39";"18/05/2017"
"DDI - Cupom cambial";"V18";"97.566,21";"103.724,22";"6.158,01";"9.568,31";"18/05/2017"
"DDI - Cupom cambial";"F19";"96.862,99";"102.903,42";"6.040,43";"9.385,62";"18/05/2017"
"DDI - Cupom cambial";"J19";"96.225,09";"102.171,02";"5.945,93";"9.238,78";"18/05/2017"
"DDI - Cupom cambial";"N19";"95.462,89";"101.483,69";"6.020,80";"9.355,11";"18/05/2017"
"DDI - Cupom cambial";"V19";"94.781,78";"100.702,51";"5.920,73";"9.199,63";"18/05/2017"
"DDI - Cupom cambial";"F20";"93.941,13";"99.813,87";"5.872,74";"9.125,06";"18/05/2017"
"DDI - Cupom cambial";"J20";"93.192,19";"98.933,36";"5.741,17";"8.920,62";"18/05/2017"
"DDI - Cupom cambial";"N20";"92.297,74";"98.013,59";"5.715,85";"8.881,28";"18/05/2017"
"DDI - Cupom cambial";"V20";"91.412,29";"96.979,83";"5.567,54";"8.650,84";"18/05/2017"
"DDI - Cupom cambial";"F21";"90.444,22";"95.865,56";"5.421,34";"8.423,67";"18/05/2017"
"DDI - Cupom cambial";"J21";"89.555,65";"94.893,72";"5.338,07";"8.294,29";"18/05/2017"
"DDI - Cupom cambial";"N21";"88.616,53";"93.914,47";"5.297,94";"8.231,93";"18/05/2017"
"DDI - Cupom cambial";"V21";"87.681,67";"92.910,80";"5.229,13";"8.125,02";"18/05/2017"
"DDI - Cupom cambial";"F22";"86.643,53";"91.806,52";"5.162,99";"8.022,25";"18/05/2017"
"DDI - Cupom cambial";"J22";"85.623,91";"90.760,71";"5.136,80";"7.981,55";"18/05/2017"
"DDI - Cupom cambial";"F23";"82.653,42";"87.686,61";"5.033,19";"7.820,57";"18/05/2017"
