"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"M17";"2.438,1160";"2.459,8870";"21,7710";"1.306,26";"22/05/2017"
"AUD - Dólar comercial australiano";"N17";"2.454,3800";"2.475,9340";"21,5540";"1.293,24";"22/05/2017"
"AUD - Dólar comercial australiano";"Q17";"2.468,1600";"2.489,8530";"21,6930";"1.301,58";"22/05/2017"
"BGI - Boi gordo";"K17";"134,89";"133,08";"-1,81";"597,30";"22/05/2017"
"BGI - Boi gordo";"M17";"133,20";"128,56";"-4,64";"1.531,20";"22/05/2017"
"BGI - Boi gordo";"N17";"134,75";"130,04";"-4,71";"1.554,30";"22/05/2017"
"BGI - Boi gordo";"Q17";"135,65";"130,91";"-4,74";"1.564,20";"22/05/2017"
"BGI - Boi gordo";"U17";"135,92";"131,17";"-4,75";"1.567,50";"22/05/2017"
"BGI - Boi gordo";"V17";"136,40";"131,63";"-4,77";"1.574,10";"22/05/2017"
"BGI - Boi gordo";"X17";"137,09";"132,30";"-4,79";"1.580,70";"22/05/2017"
"BGI - Boi gordo";"Z17";"137,53";"132,72";"-4,81";"1.587,30";"22/05/2017"
"BGI - Boi gordo";"K18";"140,01";"135,11";"-4,90";"1.617,00";"22/05/2017"
"BGI - Boi gordo";"V18";"146,63";"141,50";"-5,13";"1.692,90";"22/05/2017"
"BRI - IBrX-50";"M17";"10.508";"10.346";"-162";"1.620,00";"22/05/2017"
"BRI - IBrX-50";"Q17";"10.670";"10.505";"-165";"1.650,00";"22/05/2017"
"CAD - Dólar comercial canadense";"M17";"2.419,4060";"2.436,8990";"17,4930";"1.049,58";"22/05/2017"
"CAD - Dólar comercial canadense";"Q17";"2.452,7830";"2.471,7260";"18,9430";"1.136,58";"22/05/2017"
"CCM - Milho";"U17";"27,73";"27,75";"0,02";"9,00";"22/05/2017"
"CCM - Milho";"X17";"28,11";"28,13";"0,02";"9,00";"22/05/2017"
"CCM - Milho";"F18";"29,80";"29,82";"0,02";"9,00";"22/05/2017"
"CCM - Milho";"H18";"30,80";"30,45";"-0,35";"157,50";"22/05/2017"
"CHF - FRANCO SUÍÇO";"M17";"3.360,8300";"3.383,7080";"22,8780";"1.143,90";"22/05/2017"
"CLP - PESO CHILENO";"M17";"4.885,7000";"4.908,6000";"22,9000";"572,50";"22/05/2017"
"CNY - IUAN";"N17";"4.768,4650";"4.800,7400";"32,2750";"1.129,62";"22/05/2017"
"DAP - Cupom de DI x IPCA";"N17";"98.967,89";"98.987,02";"19,13";"23,11";"22/05/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.774,25";"96.768,27";"-5,98";"7,22";"22/05/2017"
"DAP - Cupom de DI x IPCA";"Q18";"93.844,34";"93.800,82";"-43,52";"52,59";"22/05/2017"
"DAP - Cupom de DI x IPCA";"K19";"90.234,94";"90.101,06";"-133,88";"161,78";"22/05/2017"
"DAP - Cupom de DI x IPCA";"Q20";"83.826,94";"83.470,77";"-356,17";"430,40";"22/05/2017"
"DAP - Cupom de DI x IPCA";"K21";"79.969,09";"79.463,49";"-505,60";"610,97";"22/05/2017"
"DAP - Cupom de DI x IPCA";"Q22";"74.124,21";"73.653,54";"-470,67";"568,76";"22/05/2017"
"DAP - Cupom de DI x IPCA";"K23";"71.088,35";"70.691,93";"-396,42";"479,04";"22/05/2017"
"DAP - Cupom de DI x IPCA";"Q24";"66.519,07";"66.204,36";"-314,71";"380,30";"22/05/2017"
"DAP - Cupom de DI x IPCA";"Q26";"58.875,33";"58.876,90";"1,57";"1,89";"22/05/2017"
"DAP - Cupom de DI x IPCA";"Q30";"47.674,89";"47.320,86";"-354,03";"427,81";"22/05/2017"
"DDI - Cupom cambial";"M17";"99.117,61";"99.761,96";"644,35";"1.059,24";"22/05/2017"
"DDI - Cupom cambial";"N17";"99.001,42";"99.641,95";"640,53";"1.052,96";"22/05/2017"
"DDI - Cupom cambial";"Q17";"98.798,81";"99.429,36";"630,55";"1.036,56";"22/05/2017"
"DDI - Cupom cambial";"U17";"98.633,98";"99.257,55";"623,57";"1.025,08";"22/05/2017"
"DDI - Cupom cambial";"V17";"98.418,19";"99.034,09";"615,90";"1.012,47";"22/05/2017"
"DDI - Cupom cambial";"X17";"98.239,09";"98.827,63";"588,54";"967,50";"22/05/2017"
"DDI - Cupom cambial";"Z17";"98.033,02";"98.609,63";"576,61";"947,88";"22/05/2017"
"DDI - Cupom cambial";"F18";"97.813,65";"98.388,88";"575,23";"945,62";"22/05/2017"
"DDI - Cupom cambial";"G18";"97.628,14";"98.198,47";"570,33";"937,56";"22/05/2017"
"DDI - Cupom cambial";"H18";"97.449,39";"98.012,15";"562,76";"925,12";"22/05/2017"
"DDI - Cupom cambial";"J18";"97.226,14";"97.792,34";"566,20";"930,77";"22/05/2017"
"DDI - Cupom cambial";"K18";"97.043,16";"97.596,28";"553,12";"909,27";"22/05/2017"
"DDI - Cupom cambial";"N18";"96.674,10";"97.204,56";"530,46";"872,02";"22/05/2017"
"DDI - Cupom cambial";"V18";"96.039,21";"96.534,93";"495,72";"814,91";"22/05/2017"
"DDI - Cupom cambial";"F19";"95.360,26";"95.867,83";"507,57";"834,39";"22/05/2017"
"DDI - Cupom cambial";"J19";"94.705,32";"95.188,44";"483,12";"794,20";"22/05/2017"
"DDI - Cupom cambial";"N19";"94.118,06";"94.540,30";"422,24";"694,12";"22/05/2017"
"DDI - Cupom cambial";"V19";"93.439,10";"93.822,08";"382,98";"629,58";"22/05/2017"
"DDI - Cupom cambial";"F20";"92.638,07";"92.925,17";"287,10";"471,96";"22/05/2017"
"DDI - Cupom cambial";"J20";"91.852,12";"92.112,25";"260,13";"427,62";"22/05/2017"
"DDI - Cupom cambial";"N20";"91.056,82";"91.299,37";"242,55";"398,72";"22/05/2017"
"DDI - Cupom cambial";"V20";"90.138,96";"90.436,81";"297,85";"489,63";"22/05/2017"
"DDI - Cupom cambial";"F21";"89.200,73";"89.477,45";"276,72";"454,90";"22/05/2017"
"DDI - Cupom cambial";"J21";"88.340,42";"88.585,07";"244,65";"402,18";"22/05/2017"
"DDI - Cupom cambial";"N21";"87.419,82";"87.680,05";"260,23";"427,79";"22/05/2017"
"DDI - Cupom cambial";"V21";"86.527,14";"86.755,66";"228,52";"375,66";"22/05/2017"
