"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";"2.493,6790";"2.477,3390";"-16,3400";"980,40";"12/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.509,2570";"2.492,5360";"-16,7210";"1.003,26";"12/07/2017"
"BGI - Boi gordo";"N17";"125,30";"125,00";"-0,30";"99,00";"12/07/2017"
"BGI - Boi gordo";"Q17";"126,20";"125,95";"-0,25";"82,50";"12/07/2017"
"BGI - Boi gordo";"U17";"127,70";"127,50";"-0,20";"66,00";"12/07/2017"
"BGI - Boi gordo";"V17";"129,00";"129,05";"0,05";"16,50";"12/07/2017"
"BGI - Boi gordo";"X17";"129,08";"129,13";"0,05";"16,50";"12/07/2017"
"BGI - Boi gordo";"Z17";"129,50";"129,55";"0,05";"16,50";"12/07/2017"
"BGI - Boi gordo";"K18";"129,41";"129,46";"0,05";"16,50";"12/07/2017"
"BGI - Boi gordo";"V18";"134,53";"134,58";"0,05";"16,50";"12/07/2017"
"BRI - IBrX-50";"Q17";"10.736";"10.904";"168";"1.680,00";"12/07/2017"
"BRI - IBrX-50";"V17";"10.887";"11.056";"169";"1.690,00";"12/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.529,6950";"2.536,4990";"6,8040";"408,24";"12/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.547,9110";"2.554,3230";"6,4120";"384,72";"12/07/2017"
"CCM - Milho";"N17";"26,83";"26,45";"-0,38";"171,00";"12/07/2017"
"CCM - Milho";"U17";"27,51";"26,37";"-1,14";"513,00";"12/07/2017"
"CCM - Milho";"X17";"28,86";"27,80";"-1,06";"477,00";"12/07/2017"
"CCM - Milho";"F18";"29,14";"28,07";"-1,07";"481,50";"12/07/2017"
"CCM - Milho";"H18";"31,20";"30,09";"-1,11";"499,50";"12/07/2017"
"CCM - Milho";"K18";"30,63";"29,33";"-1,30";"585,00";"12/07/2017"
"CCM - Milho";"U18";"31,22";"29,84";"-1,38";"621,00";"12/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.396,6910";"3.346,4480";"-50,2430";"2.512,15";"12/07/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.426,3580";"3.375,8200";"-50,5380";"2.526,90";"12/07/2017"
"CLP - PESO CHILENO";"U17";"4.930,5000";"4.887,0000";"-43,5000";"1.087,50";"12/07/2017"
"DAP - Cupom de DI x IPCA";"N17";"99.852,17";"99.851,98";"-0,19";"0,22";"12/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";"99.212,95";"99.217,35";"4,40";"5,31";"12/07/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.723,30";"97.735,44";"12,14";"14,67";"12/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";"95.317,28";"95.356,52";"39,24";"47,42";"12/07/2017"
"DAP - Cupom de DI x IPCA";"F19";"93.536,00";"93.653,88";"117,88";"142,45";"12/07/2017"
"DAP - Cupom de DI x IPCA";"K19";"92.212,20";"92.295,61";"83,41";"100,79";"12/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";"85.680,55";"85.831,45";"150,90";"182,35";"12/07/2017"
"DAP - Cupom de DI x IPCA";"K21";"81.875,68";"82.239,38";"363,70";"439,51";"12/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.950,00";"76.404,84";"454,84";"549,65";"12/07/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.845,88";"73.389,15";"543,27";"656,52";"12/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";"68.026,73";"68.556,28";"529,55";"639,94";"12/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.717,06";"61.329,08";"612,02";"739,60";"12/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.609,85";"48.957,75";"347,90";"420,42";"12/07/2017"
"DDI - Cupom cambial";"Q17";"99.904,65";"98.662,57";"-1.242,08";"2.019,74";"12/07/2017"
"DDI - Cupom cambial";"U17";"99.761,99";"98.516,42";"-1.245,57";"2.025,42";"12/07/2017"
"DDI - Cupom cambial";"V17";"99.578,02";"98.335,78";"-1.242,24";"2.020,00";"12/07/2017"
"DDI - Cupom cambial";"X17";"99.399,33";"98.158,55";"-1.240,78";"2.017,63";"12/07/2017"
"DDI - Cupom cambial";"Z17";"99.225,97";"97.986,33";"-1.239,64";"2.015,77";"12/07/2017"
"DDI - Cupom cambial";"F18";"99.021,69";"97.792,66";"-1.229,03";"1.998,52";"12/07/2017"
"DDI - Cupom cambial";"G18";"98.861,40";"97.621,29";"-1.240,11";"2.016,54";"12/07/2017"
"DDI - Cupom cambial";"H18";"98.656,94";"97.431,91";"-1.225,03";"1.992,02";"12/07/2017"
"DDI - Cupom cambial";"J18";"98.432,25";"97.212,59";"-1.219,66";"1.983,28";"12/07/2017"
"DDI - Cupom cambial";"K18";"98.218,73";"97.020,81";"-1.197,92";"1.947,93";"12/07/2017"
"DDI - Cupom cambial";"M18";"97.999,09";"96.811,04";"-1.188,05";"1.931,88";"12/07/2017"
"DDI - Cupom cambial";"N18";"97.782,58";"96.590,10";"-1.192,48";"1.939,09";"12/07/2017"
"DDI - Cupom cambial";"V18";"97.127,61";"95.958,03";"-1.169,58";"1.901,85";"12/07/2017"
"DDI - Cupom cambial";"F19";"96.370,07";"95.237,44";"-1.132,63";"1.841,76";"12/07/2017"
"DDI - Cupom cambial";"J19";"95.652,27";"94.541,09";"-1.111,18";"1.806,88";"12/07/2017"
"DDI - Cupom cambial";"N19";"94.872,53";"93.763,99";"-1.108,54";"1.802,59";"12/07/2017"
"DDI - Cupom cambial";"V19";"94.086,74";"92.982,77";"-1.103,97";"1.795,16";"12/07/2017"
"DDI - Cupom cambial";"F20";"93.192,92";"92.133,82";"-1.059,10";"1.722,20";"12/07/2017"
"DDI - Cupom cambial";"J20";"92.365,01";"91.302,66";"-1.062,35";"1.727,48";"12/07/2017"
"DDI - Cupom cambial";"N20";"91.439,58";"90.408,65";"-1.030,93";"1.676,39";"12/07/2017"
"DDI - Cupom cambial";"V20";"90.510,37";"89.495,63";"-1.014,74";"1.650,06";"12/07/2017"
"DDI - Cupom cambial";"F21";"89.540,19";"88.493,49";"-1.046,70";"1.702,03";"12/07/2017"
"DDI - Cupom cambial";"J21";"88.673,90";"87.657,21";"-1.016,69";"1.653,23";"12/07/2017"
"DDI - Cupom cambial";"N21";"87.613,41";"86.635,30";"-978,11";"1.590,50";"12/07/2017"
"DDI - Cupom cambial";"V21";"86.717,10";"85.749,08";"-968,02";"1.574,09";"12/07/2017"
"DDI - Cupom cambial";"F22";"85.436,08";"84.553,25";"-882,83";"1.435,56";"12/07/2017"
"DDI - Cupom cambial";"J22";"84.584,75";"83.654,94";"-929,81";"1.511,96";"12/07/2017"
"DDI - Cupom cambial";"N22";"83.604,67";"82.628,41";"-976,26";"1.587,49";"12/07/2017"
"DDI - Cupom cambial";"F23";"81.423,70";"80.428,95";"-994,75";"1.617,56";"12/07/2017"
"DDI - Cupom cambial";"F24";"77.273,66";"76.293,09";"-980,57";"1.594,50";"12/07/2017"
"DDI - Cupom cambial";"F25";"72.926,52";"71.985,56";"-940,96";"1.530,09";"12/07/2017"
"DDI - Cupom cambial";"F26";"69.103,05";"68.207,24";"-895,81";"1.456,67";"12/07/2017"
"DDI - Cupom cambial";"F27";"65.223,81";"64.386,61";"-837,20";"1.361,37";"12/07/2017"
"DDI - Cupom cambial";"F28";"61.714,47";"60.898,17";"-816,30";"1.327,38";"12/07/2017"
"DDI - Cupom cambial";"F30";"55.130,77";"54.407,51";"-723,26";"1.176,09";"12/07/2017"
"DI1 - DI de 1 dia";"Q17";"99.474,55";"99.474,91";"0,36";"0,36";"12/07/2017"
"DI1 - DI de 1 dia";"U17";"98.678,48";"98.678,85";"0,37";"0,37";"12/07/2017"
"DI1 - DI de 1 dia";"V17";"98.020,93";"98.026,93";"6,00";"6,00";"12/07/2017"
"DI1 - DI de 1 dia";"X17";"97.357,03";"97.363,71";"6,68";"6,68";"12/07/2017"
"DI1 - DI de 1 dia";"Z17";"96.748,28";"96.757,71";"9,43";"9,43";"12/07/2017"
"DI1 - DI de 1 dia";"F18";"96.142,76";"96.160,78";"18,02";"18,02";"12/07/2017"
"DI1 - DI de 1 dia";"G18";"95.495,87";"95.515,16";"19,29";"19,29";"12/07/2017"
"DI1 - DI de 1 dia";"H18";"94.953,08";"94.976,36";"23,28";"23,28";"12/07/2017"
"DI1 - DI de 1 dia";"J18";"94.322,77";"94.351,40";"28,63";"28,63";"12/07/2017"
"DI1 - DI de 1 dia";"K18";"93.693,43";"93.725,75";"32,32";"32,32";"12/07/2017"
"DI1 - DI de 1 dia";"M18";"93.052,68";"93.088,73";"36,05";"36,05";"12/07/2017"
"DI1 - DI de 1 dia";"N18";"92.441,50";"92.481,12";"39,62";"39,62";"12/07/2017"
"DI1 - DI de 1 dia";"V18";"90.462,35";"90.528,18";"65,83";"65,83";"12/07/2017"
"DI1 - DI de 1 dia";"F19";"88.499,45";"88.602,00";"102,55";"102,55";"12/07/2017"
"DI1 - DI de 1 dia";"J19";"86.520,70";"86.625,08";"104,38";"104,38";"12/07/2017"
"DI1 - DI de 1 dia";"N19";"84.470,84";"84.618,63";"147,79";"147,79";"12/07/2017"
"DI1 - DI de 1 dia";"V19";"82.266,39";"82.438,74";"172,35";"172,35";"12/07/2017"
"DI1 - DI de 1 dia";"F20";"80.160,38";"80.429,72";"269,34";"269,34";"12/07/2017"
"DI1 - DI de 1 dia";"J20";"78.118,65";"78.427,05";"308,40";"308,40";"12/07/2017"
"DI1 - DI de 1 dia";"N20";"76.105,96";"76.454,02";"348,06";"348,06";"12/07/2017"
"DI1 - DI de 1 dia";"V20";"73.942,87";"74.343,28";"400,41";"400,41";"12/07/2017"
"DI1 - DI de 1 dia";"F21";"71.997,52";"72.452,03";"454,51";"454,51";"12/07/2017"
"DI1 - DI de 1 dia";"J21";"70.219,55";"70.653,38";"433,83";"433,83";"12/07/2017"
"DI1 - DI de 1 dia";"N21";"68.306,41";"68.711,96";"405,55";"405,55";"12/07/2017"
"DI1 - DI de 1 dia";"V21";"66.413,03";"66.884,17";"471,14";"471,14";"12/07/2017"
"DI1 - DI de 1 dia";"F22";"64.670,35";"65.209,15";"538,80";"538,80";"12/07/2017"
"DI1 - DI de 1 dia";"J22";"62.783,63";"63.346,15";"562,52";"562,52";"12/07/2017"
"DI1 - DI de 1 dia";"N22";"61.405,19";"61.995,54";"590,35";"590,35";"12/07/2017"
"DI1 - DI de 1 dia";"F23";"58.161,98";"58.798,38";"636,40";"636,40";"12/07/2017"
"DI1 - DI de 1 dia";"N23";"55.198,31";"55.856,80";"658,49";"658,49";"12/07/2017"
"DI1 - DI de 1 dia";"F24";"52.323,30";"52.999,57";"676,27";"676,27";"12/07/2017"
"DI1 - DI de 1 dia";"N24";"49.631,79";"50.322,32";"690,53";"690,53";"12/07/2017"
"DI1 - DI de 1 dia";"F25";"46.930,36";"47.631,93";"701,57";"701,57";"12/07/2017"
"DI1 - DI de 1 dia";"F26";"42.235,51";"42.935,96";"700,45";"700,45";"12/07/2017"
"DI1 - DI de 1 dia";"F27";"37.928,53";"38.615,10";"686,57";"686,57";"12/07/2017"
"DI1 - DI de 1 dia";"F28";"34.081,43";"34.763,72";"682,29";"682,29";"12/07/2017"
