"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";"2.496,4140";"2.487,8700";"-8,5440";"512,64";"17/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.511,1900";"2.502,6770";"-8,5130";"510,78";"17/07/2017"
"BGI - Boi gordo";"N17";"123,62";"123,38";"-0,24";"79,20";"17/07/2017"
"BGI - Boi gordo";"Q17";"126,39";"126,09";"-0,30";"99,00";"17/07/2017"
"BGI - Boi gordo";"U17";"128,05";"127,68";"-0,37";"122,10";"17/07/2017"
"BGI - Boi gordo";"V17";"129,20";"128,83";"-0,37";"122,10";"17/07/2017"
"BGI - Boi gordo";"X17";"129,28";"128,91";"-0,37";"122,10";"17/07/2017"
"BGI - Boi gordo";"Z17";"129,70";"129,33";"-0,37";"122,10";"17/07/2017"
"BGI - Boi gordo";"K18";"129,08";"129,18";"0,10";"33,00";"17/07/2017"
"BGI - Boi gordo";"V18";"134,55";"134,35";"-0,20";"66,00";"17/07/2017"
"BRI - IBrX-50";"Q17";"11.005";"10.961";"-44";"440,00";"17/07/2017"
"BRI - IBrX-50";"V17";"11.158";"11.112";"-46";"460,00";"17/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.523,9030";"2.514,2760";"-9,6270";"577,62";"17/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.541,4450";"2.531,7120";"-9,7330";"583,98";"17/07/2017"
"CCM - Milho";"N17";"26,70";"26,43";"-0,27";"121,50";"17/07/2017"
"CCM - Milho";"U17";"26,39";"26,33";"-0,06";"27,00";"17/07/2017"
"CCM - Milho";"X17";"27,87";"27,81";"-0,06";"27,00";"17/07/2017"
"CCM - Milho";"F18";"28,23";"28,17";"-0,06";"27,00";"17/07/2017"
"CCM - Milho";"H18";"29,00";"29,30";"0,30";"135,00";"17/07/2017"
"CCM - Milho";"K18";"28,20";"28,97";"0,77";"346,50";"17/07/2017"
"CCM - Milho";"U18";"28,98";"28,95";"-0,03";"13,50";"17/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.315,0050";"3.319,2810";"4,2760";"213,80";"17/07/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.343,2340";"3.347,4090";"4,1750";"208,75";"17/07/2017"
"CLP - PESO CHILENO";"U17";"4.876,0000";"4.857,7000";"-18,3000";"457,50";"17/07/2017"
"DAP - Cupom de DI x IPCA";"N17";"100.001,32";"100.000,00";"-1,32";"1,59";"17/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";"99.363,29";"99.370,68";"7,39";"8,92";"17/07/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.907,11";"97.917,33";"10,22";"12,34";"17/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";"95.515,60";"95.474,97";"-40,63";"49,08";"17/07/2017"
"DAP - Cupom de DI x IPCA";"F19";"93.826,18";"93.916,13";"89,95";"108,66";"17/07/2017"
"DAP - Cupom de DI x IPCA";"K19";"92.517,83";"92.536,18";"18,35";"22,16";"17/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";"86.058,58";"86.158,82";"100,24";"121,09";"17/07/2017"
