"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";"2.516,6740";"2.516,3930";"-0,2810";"16,86";"06/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.532,2900";"2.531,9960";"-0,2940";"17,64";"06/07/2017"
"BGI - Boi gordo";"N17";"124,25";"123,06";"-1,19";"392,70";"06/07/2017"
"BGI - Boi gordo";"Q17";"125,25";"124,05";"-1,20";"396,00";"06/07/2017"
"BGI - Boi gordo";"U17";"126,00";"124,79";"-1,21";"399,30";"06/07/2017"
"BGI - Boi gordo";"V17";"127,55";"126,33";"-1,22";"402,60";"06/07/2017"
"BGI - Boi gordo";"X17";"127,68";"126,46";"-1,22";"402,60";"06/07/2017"
"BGI - Boi gordo";"Z17";"128,09";"126,87";"-1,22";"402,60";"06/07/2017"
"BGI - Boi gordo";"K18";"128,33";"127,10";"-1,23";"405,90";"06/07/2017"
"BGI - Boi gordo";"V18";"133,29";"132,01";"-1,28";"422,40";"06/07/2017"
"BRI - IBrX-50";"Q17";"10.639";"10.514";"-125";"1.250,00";"06/07/2017"
"BRI - IBrX-50";"V17";"10.786";"10.659";"-127";"1.270,00";"06/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.555,6790";"2.561,2480";"5,5690";"334,14";"06/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.573,9820";"2.579,7190";"5,7370";"344,22";"06/07/2017"
"CCM - Milho";"N17";"25,43";"25,14";"-0,29";"130,50";"06/07/2017"
"CCM - Milho";"U17";"26,22";"25,92";"-0,30";"135,00";"06/07/2017"
"CCM - Milho";"X17";"27,09";"27,00";"-0,09";"40,50";"06/07/2017"
"CCM - Milho";"F18";"27,78";"27,61";"-0,17";"76,50";"06/07/2017"
"CCM - Milho";"H18";"29,95";"29,85";"-0,10";"45,00";"06/07/2017"
"CCM - Milho";"U18";"30,00";"29,90";"-0,10";"45,00";"06/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.439,9290";"3.457,8300";"17,9010";"895,05";"06/07/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.469,9740";"3.488,9260";"18,9520";"947,60";"06/07/2017"
"CLP - PESO CHILENO";"U17";"5.002,8000";"5.008,8000";"6,0000";"150,00";"06/07/2017"
"DAP - Cupom de DI x IPCA";"N17";"99.639,44";"99.634,27";"-5,17";"6,25";"06/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";"99.022,58";"99.021,83";"-0,75";"0,90";"06/07/2017"
"DAP - Cupom de DI x IPCA";"F18";"97.531,66";"97.524,55";"-7,11";"8,59";"06/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";"95.156,66";"95.129,62";"-27,04";"32,70";"06/07/2017"
"DAP - Cupom de DI x IPCA";"F19";"93.290,86";"93.264,66";"-26,20";"31,68";"06/07/2017"
"DAP - Cupom de DI x IPCA";"K19";"92.014,48";"91.988,40";"-26,08";"31,54";"06/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";"85.407,99";"85.385,65";"-22,34";"27,01";"06/07/2017"
"DAP - Cupom de DI x IPCA";"K21";"81.656,31";"81.605,86";"-50,45";"61,01";"06/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.699,68";"75.608,16";"-91,52";"110,69";"06/07/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.620,20";"72.562,33";"-57,87";"69,99";"06/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.920,28";"67.858,02";"-62,26";"75,30";"06/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.610,11";"60.595,26";"-14,85";"17,96";"06/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.746,15";"48.734,19";"-11,96";"14,46";"06/07/2017"
"DDI - Cupom cambial";"Q17";"99.184,83";"99.287,94";"103,11";"171,12";"06/07/2017"
"DDI - Cupom cambial";"U17";"99.042,48";"99.147,58";"105,10";"174,42";"06/07/2017"
"DDI - Cupom cambial";"V17";"98.857,05";"98.967,00";"109,95";"182,47";"06/07/2017"
"DDI - Cupom cambial";"X17";"98.687,42";"98.795,36";"107,94";"179,14";"06/07/2017"
"DDI - Cupom cambial";"Z17";"98.522,67";"98.625,49";"102,82";"170,64";"06/07/2017"
"DDI - Cupom cambial";"F18";"98.317,19";"98.425,20";"108,01";"179,25";"06/07/2017"
"DDI - Cupom cambial";"G18";"98.157,57";"98.263,20";"105,63";"175,30";"06/07/2017"
"DDI - Cupom cambial";"H18";"97.981,13";"98.087,03";"105,90";"175,75";"06/07/2017"
"DDI - Cupom cambial";"J18";"97.767,42";"97.871,30";"103,88";"172,40";"06/07/2017"
"DDI - Cupom cambial";"K18";"97.567,91";"97.656,25";"88,34";"146,61";"06/07/2017"
"DDI - Cupom cambial";"M18";"97.316,73";"97.427,90";"111,17";"184,50";"06/07/2017"
"DDI - Cupom cambial";"N18";"97.136,15";"97.221,49";"85,34";"141,63";"06/07/2017"
"DDI - Cupom cambial";"V18";"96.487,04";"96.568,70";"81,66";"135,52";"06/07/2017"
"DDI - Cupom cambial";"F19";"95.758,65";"95.849,96";"91,31";"151,54";"06/07/2017"
"DDI - Cupom cambial";"J19";"95.063,19";"95.140,94";"77,75";"129,03";"06/07/2017"
"DDI - Cupom cambial";"N19";"94.301,48";"94.374,25";"72,77";"120,77";"06/07/2017"
"DDI - Cupom cambial";"V19";"93.529,30";"93.605,76";"76,46";"126,89";"06/07/2017"
"DDI - Cupom cambial";"F20";"92.644,43";"92.733,31";"88,88";"147,50";"06/07/2017"
"DDI - Cupom cambial";"J20";"91.820,35";"91.907,07";"86,72";"143,92";"06/07/2017"
"DDI - Cupom cambial";"N20";"90.919,95";"91.008,69";"88,74";"147,27";"06/07/2017"
"DDI - Cupom cambial";"V20";"90.015,32";"90.083,21";"67,89";"112,67";"06/07/2017"
"DDI - Cupom cambial";"F21";"89.041,44";"89.117,03";"75,59";"125,45";"06/07/2017"
