"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.521,0420";"2.516,6230";"-4,4190";"265,14";"22/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.535,1740";"2.529,9980";"-5,1760";"310,56";"22/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.550,3020";"2.544,9960";"-5,3060";"318,36";"22/06/2017"
"BGI - Boi gordo";"M17";"125,60";"126,63";"1,03";"339,90";"22/06/2017"
"BGI - Boi gordo";"N17";"119,63";"121,69";"2,06";"679,80";"22/06/2017"
"BGI - Boi gordo";"Q17";"119,68";"122,30";"2,62";"864,60";"22/06/2017"
"BGI - Boi gordo";"U17";"119,23";"122,36";"3,13";"1.032,90";"22/06/2017"
"BGI - Boi gordo";"V17";"119,83";"122,98";"3,15";"1.039,50";"22/06/2017"
"BGI - Boi gordo";"X17";"120,46";"123,63";"3,17";"1.046,10";"22/06/2017"
"BGI - Boi gordo";"Z17";"120,85";"124,03";"3,18";"1.049,40";"22/06/2017"
"BGI - Boi gordo";"K18";"122,50";"125,67";"3,17";"1.046,10";"22/06/2017"
"BGI - Boi gordo";"V18";"127,37";"130,64";"3,27";"1.079,10";"22/06/2017"
"BRI - IBrX-50";"Q17";"10.269";"10.350";"81";"810,00";"22/06/2017"
"BRI - IBrX-50";"V17";"10.413";"10.495";"82";"820,00";"22/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.507,1690";"2.520,1080";"12,9390";"776,34";"22/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.523,2330";"2.536,1230";"12,8900";"773,40";"22/06/2017"
"CCM - Milho";"N17";"26,40";"26,15";"-0,25";"112,50";"22/06/2017"
"CCM - Milho";"U17";"26,66";"26,37";"-0,29";"130,50";"22/06/2017"
"CCM - Milho";"X17";"27,11";"27,05";"-0,06";"27,00";"22/06/2017"
