"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.516,6230";"2.532,6700";"16,0470";"962,82";"23/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.529,9980";"2.546,5180";"16,5200";"991,20";"23/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.544,9960";"2.561,8610";"16,8650";"1.011,90";"23/06/2017"
"BGI - Boi gordo";"M17";"126,63";"126,74";"0,11";"36,30";"23/06/2017"
"BGI - Boi gordo";"N17";"121,69";"121,00";"-0,69";"227,70";"23/06/2017"
"BGI - Boi gordo";"Q17";"122,30";"120,25";"-2,05";"676,50";"23/06/2017"
"BGI - Boi gordo";"U17";"122,36";"120,43";"-1,93";"636,90";"23/06/2017"
"BGI - Boi gordo";"V17";"122,98";"121,04";"-1,94";"640,20";"23/06/2017"
"BGI - Boi gordo";"X17";"123,63";"121,68";"-1,95";"643,50";"23/06/2017"
"BGI - Boi gordo";"Z17";"124,03";"122,07";"-1,96";"646,80";"23/06/2017"
"BGI - Boi gordo";"K18";"125,67";"123,68";"-1,99";"656,70";"23/06/2017"
"BGI - Boi gordo";"V18";"130,64";"128,56";"-2,08";"686,40";"23/06/2017"
"BRI - IBrX-50";"Q17";"10.350";"10.315";"-35";"350,00";"23/06/2017"
"BRI - IBrX-50";"V17";"10.495";"10.460";"-35";"350,00";"23/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.520,1080";"2.522,5680";"2,4600";"147,60";"23/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.536,1230";"2.538,9340";"2,8110";"168,66";"23/06/2017"
"CCM - Milho";"N17";"26,15";"26,00";"-0,15";"67,50";"23/06/2017"
"CCM - Milho";"U17";"26,37";"26,22";"-0,15";"67,50";"23/06/2017"
"CCM - Milho";"X17";"27,05";"27,03";"-0,02";"9,00";"23/06/2017"
"CCM - Milho";"F18";"27,89";"27,60";"-0,29";"130,50";"23/06/2017"
"CCM - Milho";"H18";"28,82";"28,72";"-0,10";"45,00";"23/06/2017"
"CCM - Milho";"U18";"29,22";"29,20";"-0,02";"9,00";"23/06/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.433,3520";"3.453,4570";"20,1050";"1.005,25";"23/06/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.491,1560";"3.511,4410";"20,2850";"1.014,25";"23/06/2017"
