"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.479,5430";"2.471,9720";"-7,5710";"454,26";"06/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.493,8340";"2.486,2890";"-7,5450";"452,70";"06/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.509,6420";"2.501,7650";"-7,8770";"472,62";"06/06/2017"
"BGI - Boi gordo";"M17";"128,36";"126,98";"-1,38";"455,40";"06/06/2017"
"BGI - Boi gordo";"N17";"128,50";"126,99";"-1,51";"498,30";"06/06/2017"
"BGI - Boi gordo";"Q17";"129,00";"127,50";"-1,50";"495,00";"06/06/2017"
"BGI - Boi gordo";"U17";"131,25";"129,59";"-1,66";"547,80";"06/06/2017"
"BGI - Boi gordo";"V17";"131,71";"130,04";"-1,67";"551,10";"06/06/2017"
"BGI - Boi gordo";"X17";"132,38";"130,73";"-1,65";"544,50";"06/06/2017"
"BGI - Boi gordo";"Z17";"132,80";"131,14";"-1,66";"547,80";"06/06/2017"
"BGI - Boi gordo";"K18";"134,69";"133,01";"-1,68";"554,40";"06/06/2017"
"BGI - Boi gordo";"V18";"140,71";"138,96";"-1,75";"577,50";"06/06/2017"
"BRI - IBrX-50";"Q17";"10.589";"10.671";"82";"820,00";"06/06/2017"
"BRI - IBrX-50";"V17";"10.742";"10.822";"80";"800,00";"06/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.459,6110";"2.448,9910";"-10,6200";"637,20";"06/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.476,1560";"2.465,5980";"-10,5580";"633,48";"06/06/2017"
"CAD - Dólar comercial canadense";"U17";"2.494,3790";"2.483,5660";"-10,8130";"648,78";"06/06/2017"
"CCM - Milho";"N17";"26,02";"26,00";"-0,02";"9,00";"06/06/2017"
"CCM - Milho";"U17";"26,98";"26,99";"0,01";"4,50";"06/06/2017"
"CCM - Milho";"X17";"27,89";"27,90";"0,01";"4,50";"06/06/2017"
"CCM - Milho";"F18";"28,72";"28,73";"0,01";"4,50";"06/06/2017"
"CCM - Milho";"H18";"30,11";"30,15";"0,04";"18,00";"06/06/2017"
"CCM - Milho";"U18";"29,23";"29,84";"0,61";"274,50";"06/06/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.437,9930";"3.427,2630";"-10,7300";"536,50";"06/06/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.496,4270";"3.485,3340";"-11,0930";"554,65";"06/06/2017"
"CLP - PESO CHILENO";"N17";"4.947,8000";"4.921,2000";"-26,6000";"665,00";"06/06/2017"
"CLP - PESO CHILENO";"U17";"5.000,4000";"4.972,6000";"-27,8000";"695,00";"06/06/2017"
"CNY - IUAN";"N17";"4.864,2860";"4.846,3640";"-17,9220";"627,27";"06/06/2017"
"DAP - Cupom de DI x IPCA";"N17";"98.981,45";"98.979,62";"-1,83";"2,21";"06/06/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.785,08";"96.783,42";"-1,66";"2,01";"06/06/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.042,97";"94.077,65";"34,68";"42,00";"06/06/2017"
"DAP - Cupom de DI x IPCA";"K19";"90.670,50";"90.805,54";"135,04";"163,55";"06/06/2017"
"DAP - Cupom de DI x IPCA";"Q20";"84.177,28";"84.333,11";"155,83";"188,73";"06/06/2017"
"DAP - Cupom de DI x IPCA";"K21";"80.551,74";"80.764,85";"213,11";"258,10";"06/06/2017"
"DAP - Cupom de DI x IPCA";"Q22";"74.599,36";"74.785,62";"186,26";"225,58";"06/06/2017"
"DAP - Cupom de DI x IPCA";"K23";"71.583,69";"71.747,36";"163,67";"198,22";"06/06/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.089,60";"67.274,80";"185,20";"224,30";"06/06/2017"
"DAP - Cupom de DI x IPCA";"Q26";"59.535,22";"59.796,68";"261,46";"316,66";"06/06/2017"
"DAP - Cupom de DI x IPCA";"Q30";"47.435,85";"47.615,27";"179,42";"217,30";"06/06/2017"
"DDI - Cupom cambial";"N17";"100.234,63";"99.673,32";"-561,31";"921,10";"06/06/2017"
"DDI - Cupom cambial";"Q17";"100.049,07";"99.492,37";"-556,70";"913,54";"06/06/2017"
"DDI - Cupom cambial";"U17";"99.891,73";"99.337,42";"-554,31";"909,62";"06/06/2017"
"DDI - Cupom cambial";"V17";"99.683,81";"99.135,65";"-548,16";"899,53";"06/06/2017"
"DDI - Cupom cambial";"X17";"99.490,03";"98.942,42";"-547,61";"898,62";"06/06/2017"
"DDI - Cupom cambial";"Z17";"99.294,39";"98.750,04";"-544,35";"893,27";"06/06/2017"
"DDI - Cupom cambial";"F18";"99.057,28";"98.511,65";"-545,63";"895,37";"06/06/2017"
"DDI - Cupom cambial";"G18";"98.880,34";"98.334,86";"-545,48";"895,13";"06/06/2017"
"DDI - Cupom cambial";"H18";"98.702,18";"98.151,37";"-550,81";"903,87";"06/06/2017"
"DDI - Cupom cambial";"J18";"98.464,80";"97.895,25";"-569,55";"934,63";"06/06/2017"
"DDI - Cupom cambial";"K18";"98.255,28";"97.698,39";"-556,89";"913,85";"06/06/2017"
"DDI - Cupom cambial";"M18";"98.053,24";"97.503,90";"-549,34";"901,46";"06/06/2017"
"DDI - Cupom cambial";"N18";"97.844,91";"97.305,06";"-539,85";"885,89";"06/06/2017"
"DDI - Cupom cambial";"V18";"97.209,16";"96.661,01";"-548,15";"899,51";"06/06/2017"
"DDI - Cupom cambial";"F19";"96.476,62";"95.924,54";"-552,08";"905,96";"06/06/2017"
"DDI - Cupom cambial";"J19";"95.754,23";"95.239,51";"-514,72";"844,65";"06/06/2017"
"DDI - Cupom cambial";"N19";"95.010,18";"94.472,20";"-537,98";"882,82";"06/06/2017"
"DDI - Cupom cambial";"V19";"94.190,63";"93.674,65";"-515,98";"846,72";"06/06/2017"
"DDI - Cupom cambial";"F20";"93.321,49";"92.825,61";"-495,88";"813,73";"06/06/2017"
"DDI - Cupom cambial";"J20";"92.483,91";"91.973,99";"-509,92";"836,77";"06/06/2017"
"DDI - Cupom cambial";"N20";"91.595,79";"91.119,10";"-476,69";"782,24";"06/06/2017"
"DDI - Cupom cambial";"V20";"90.715,66";"90.212,31";"-503,35";"825,99";"06/06/2017"
