"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"M17";"2.434,7690";"2.434,7290";"-0,0400";"2,40";"30/05/2017"
"AUD - Dólar comercial australiano";"N17";"2.451,5890";"2.452,0370";"0,4480";"26,88";"30/05/2017"
"AUD - Dólar comercial australiano";"Q17";"2.465,9970";"2.466,6290";"0,6320";"37,92";"30/05/2017"
"AUD - Dólar comercial australiano";"U17";"2.481,7300";"2.482,6720";"0,9420";"56,52";"30/05/2017"
"BGI - Boi gordo";"K17";"132,67";"132,90";"0,23";"75,90";"30/05/2017"
"BGI - Boi gordo";"M17";"129,43";"129,11";"-0,32";"105,60";"30/05/2017"
"BGI - Boi gordo";"N17";"130,55";"130,42";"-0,13";"42,90";"30/05/2017"
"BGI - Boi gordo";"Q17";"131,94";"131,00";"-0,94";"310,20";"30/05/2017"
"BGI - Boi gordo";"U17";"132,24";"131,74";"-0,50";"165,00";"30/05/2017"
"BGI - Boi gordo";"V17";"132,70";"132,20";"-0,50";"165,00";"30/05/2017"
"BGI - Boi gordo";"X17";"133,37";"132,87";"-0,50";"165,00";"30/05/2017"
"BGI - Boi gordo";"Z17";"133,79";"133,29";"-0,50";"165,00";"30/05/2017"
"BGI - Boi gordo";"K18";"135,64";"135,00";"-0,64";"211,20";"30/05/2017"
"BGI - Boi gordo";"V18";"141,69";"141,04";"-0,65";"214,50";"30/05/2017"
"BRI - IBrX-50";"M17";"10.670";"10.698";"28";"280,00";"30/05/2017"
"BRI - IBrX-50";"Q17";"10.830";"10.859";"29";"290,00";"30/05/2017"
"CAD - Dólar comercial canadense";"M17";"2.433,2120";"2.422,3760";"-10,8360";"650,16";"30/05/2017"
"CAD - Dólar comercial canadense";"N17";"2.452,5570";"2.442,7130";"-9,8440";"590,64";"30/05/2017"
"CAD - Dólar comercial canadense";"Q17";"2.469,3170";"2.459,5910";"-9,7260";"583,56";"30/05/2017"
"CAD - Dólar comercial canadense";"U17";"2.487,6110";"2.478,1960";"-9,4150";"564,90";"30/05/2017"
"CCM - Milho";"U17";"27,13";"26,80";"-0,33";"148,50";"30/05/2017"
"CCM - Milho";"X17";"28,17";"27,70";"-0,47";"211,50";"30/05/2017"
"CCM - Milho";"F18";"29,48";"29,10";"-0,38";"171,00";"30/05/2017"
"CCM - Milho";"H18";"29,72";"29,91";"0,19";"85,50";"30/05/2017"
"CHF - FRANCO SUÍÇO";"M17";"3.351,6660";"3.347,9240";"-3,7420";"187,10";"30/05/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.382,1200";"3.379,2140";"-2,9060";"145,30";"30/05/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.441,0290";"3.437,7590";"-3,2700";"163,50";"30/05/2017"
"CLP - PESO CHILENO";"M17";"4.849,5000";"4.832,6000";"-16,9000";"422,50";"30/05/2017"
"CLP - PESO CHILENO";"N17";"4.880,0000";"4.859,7000";"-20,3000";"507,50";"30/05/2017"
"CLP - PESO CHILENO";"U17";"4.932,0000";"4.912,7000";"-19,3000";"482,50";"30/05/2017"
"CNY - IUAN";"N17";"4.802,3560";"4.788,4500";"-13,9060";"486,71";"30/05/2017"
"DAP - Cupom de DI x IPCA";"N17";"98.901,54";"98.915,90";"14,36";"17,37";"30/05/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.805,42";"96.787,95";"-17,47";"21,13";"30/05/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.198,74";"94.143,44";"-55,30";"66,90";"30/05/2017"
"DAP - Cupom de DI x IPCA";"K19";"91.001,94";"90.865,96";"-135,98";"164,51";"30/05/2017"
"DAP - Cupom de DI x IPCA";"Q20";"84.654,32";"84.448,47";"-205,85";"249,05";"30/05/2017"
"DAP - Cupom de DI x IPCA";"K21";"81.039,72";"80.767,96";"-271,76";"328,79";"30/05/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.253,98";"74.922,60";"-331,38";"400,92";"30/05/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.353,59";"71.989,59";"-364,00";"440,39";"30/05/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.843,52";"67.567,46";"-276,06";"333,99";"30/05/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.355,81";"60.042,33";"-313,48";"379,27";"30/05/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.821,39";"48.397,84";"-423,55";"512,44";"30/05/2017"
"DDI - Cupom cambial";"M17";"99.956,98";"99.630,59";"-326,39";"533,79";"30/05/2017"
"DDI - Cupom cambial";"N17";"99.879,50";"99.547,78";"-331,72";"542,51";"30/05/2017"
