"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"M17";"2.428,5490";"2.434,7690";"6,2200";"373,20";"29/05/2017"
"AUD - Dólar comercial australiano";"N17";"2.444,7530";"2.451,5890";"6,8360";"410,16";"29/05/2017"
"AUD - Dólar comercial australiano";"Q17";"2.459,1440";"2.465,9970";"6,8530";"411,18";"29/05/2017"
"AUD - Dólar comercial australiano";"U17";"2.475,0800";"2.481,7300";"6,6500";"399,00";"29/05/2017"
"BGI - Boi gordo";"K17";"132,00";"132,67";"0,67";"221,10";"29/05/2017"
"BGI - Boi gordo";"M17";"129,50";"129,43";"-0,07";"23,10";"29/05/2017"
"BGI - Boi gordo";"N17";"129,96";"130,55";"0,59";"194,70";"29/05/2017"
"BGI - Boi gordo";"Q17";"131,42";"131,94";"0,52";"171,60";"29/05/2017"
"BGI - Boi gordo";"U17";"131,72";"132,24";"0,52";"171,60";"29/05/2017"
"BGI - Boi gordo";"V17";"132,18";"132,70";"0,52";"171,60";"29/05/2017"
"BGI - Boi gordo";"X17";"132,85";"133,37";"0,52";"171,60";"29/05/2017"
"BGI - Boi gordo";"Z17";"133,27";"133,79";"0,52";"171,60";"29/05/2017"
"BGI - Boi gordo";"K18";"135,00";"135,64";"0,64";"211,20";"29/05/2017"
"BGI - Boi gordo";"V18";"141,04";"141,69";"0,65";"214,50";"29/05/2017"
"BRI - IBrX-50";"M17";"10.728";"10.670";"-58";"580,00";"29/05/2017"
"BRI - IBrX-50";"Q17";"10.890";"10.830";"-60";"600,00";"29/05/2017"
"CAD - Dólar comercial canadense";"M17";"2.424,4070";"2.433,2120";"8,8050";"528,30";"29/05/2017"
"CAD - Dólar comercial canadense";"N17";"2.443,3380";"2.452,5570";"9,2190";"553,14";"29/05/2017"
"CAD - Dólar comercial canadense";"Q17";"2.460,1080";"2.469,3170";"9,2090";"552,54";"29/05/2017"
"CAD - Dólar comercial canadense";"U17";"2.478,4750";"2.487,6110";"9,1360";"548,16";"29/05/2017"
"CCM - Milho";"U17";"26,94";"27,13";"0,19";"85,50";"29/05/2017"
"CCM - Milho";"X17";"27,98";"28,17";"0,19";"85,50";"29/05/2017"
"CCM - Milho";"F18";"29,28";"29,48";"0,20";"90,00";"29/05/2017"
"CCM - Milho";"H18";"29,71";"29,72";"0,01";"4,50";"29/05/2017"
"CHF - FRANCO SUÍÇO";"M17";"3.346,0680";"3.351,6660";"5,5980";"279,90";"29/05/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.377,5200";"3.382,1200";"4,6000";"230,00";"29/05/2017"
"CLP - PESO CHILENO";"M17";"4.848,8000";"4.849,5000";"0,7000";"17,50";"29/05/2017"
"CLP - PESO CHILENO";"N17";"4.873,0000";"4.880,0000";"7,0000";"175,00";"29/05/2017"
"CLP - PESO CHILENO";"U17";"4.925,2000";"4.932,0000";"6,8000";"170,00";"29/05/2017"
"CNY - IUAN";"N17";"4.779,7770";"4.802,3560";"22,5790";"790,26";"29/05/2017"
"DAP - Cupom de DI x IPCA";"N17";"98.906,96";"98.880,78";"-26,18";"31,66";"29/05/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.866,84";"96.785,10";"-81,74";"98,87";"29/05/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.115,15";"94.178,96";"63,81";"77,18";"29/05/2017"
"DAP - Cupom de DI x IPCA";"K19";"90.799,11";"90.982,83";"183,72";"222,23";"29/05/2017"
"DAP - Cupom de DI x IPCA";"Q20";"84.456,71";"84.636,55";"179,84";"217,53";"29/05/2017"
"DAP - Cupom de DI x IPCA";"K21";"80.780,55";"81.022,71";"242,16";"292,92";"29/05/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.089,85";"75.238,18";"148,33";"179,42";"29/05/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.135,09";"72.338,40";"203,31";"245,92";"29/05/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.782,93";"67.829,28";"46,35";"56,06";"29/05/2017"
"DAP - Cupom de DI x IPCA";"Q26";"60.028,59";"60.343,14";"314,55";"380,48";"29/05/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.810,94";"48.811,14";"0,20";"0,24";"29/05/2017"
"DDI - Cupom cambial";"M17";"99.833,79";"100.206,17";"372,38";"607,24";"29/05/2017"
"DDI - Cupom cambial";"N17";"99.745,82";"100.128,50";"382,68";"624,03";"29/05/2017"
"DDI - Cupom cambial";"Q17";"99.575,97";"99.955,58";"379,61";"619,03";"29/05/2017"
"DDI - Cupom cambial";"U17";"99.440,82";"99.820,88";"380,06";"619,76";"29/05/2017"
"DDI - Cupom cambial";"V17";"99.245,74";"99.626,90";"381,16";"621,55";"29/05/2017"
"DDI - Cupom cambial";"X17";"99.075,73";"99.448,39";"372,66";"607,69";"29/05/2017"
"DDI - Cupom cambial";"Z17";"98.874,42";"99.251,31";"376,89";"614,59";"29/05/2017"
"DDI - Cupom cambial";"F18";"98.633,39";"99.010,72";"377,33";"615,31";"29/05/2017"
"DDI - Cupom cambial";"G18";"98.468,50";"98.849,18";"380,68";"620,77";"29/05/2017"
"DDI - Cupom cambial";"H18";"98.286,62";"98.661,17";"374,55";"610,77";"29/05/2017"
"DDI - Cupom cambial";"J18";"98.035,20";"98.417,02";"381,82";"622,63";"29/05/2017"
"DDI - Cupom cambial";"K18";"97.822,85";"98.183,98";"361,13";"588,89";"29/05/2017"
"DDI - Cupom cambial";"N18";"97.422,39";"97.788,99";"366,60";"597,81";"29/05/2017"
"DDI - Cupom cambial";"V18";"96.763,67";"97.131,12";"367,45";"599,20";"29/05/2017"
"DDI - Cupom cambial";"F19";"96.027,94";"96.393,98";"366,04";"596,90";"29/05/2017"
"DDI - Cupom cambial";"J19";"95.307,14";"95.677,91";"370,77";"604,61";"29/05/2017"
"DDI - Cupom cambial";"N19";"94.606,72";"94.968,01";"361,29";"589,15";"29/05/2017"
"DDI - Cupom cambial";"V19";"93.758,83";"94.099,93";"341,10";"556,23";"29/05/2017"
"DDI - Cupom cambial";"F20";"92.883,38";"93.247,34";"363,96";"593,50";"29/05/2017"
"DDI - Cupom cambial";"J20";"92.060,86";"92.406,50";"345,64";"563,63";"29/05/2017"
"DDI - Cupom cambial";"N20";"91.246,40";"91.558,18";"311,78";"508,41";"29/05/2017"
