"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";2516,393;2505,718;-10,675;640,5;"07/07/2017"
"AUD - Dólar comercial australiano";"U17";2531,996;2521,209;-10,787;647,22;"07/07/2017"
"BGI - Boi gordo";"N17";123,06;123,78;0,72;237,6;"07/07/2017"
"BGI - Boi gordo";"Q17";124,05;123,85;-0,2;66;"07/07/2017"
"BGI - Boi gordo";"U17";124,79;124,95;0,16;52,8;"07/07/2017"
"BGI - Boi gordo";"V17";126,33;126,09;-0,24;79,2;"07/07/2017"
"BGI - Boi gordo";"X17";126,46;126,22;-0,24;79,2;"07/07/2017"
"BGI - Boi gordo";"Z17";126,87;126,63;-0,24;79,2;"07/07/2017"
"BGI - Boi gordo";"K18";127,1;126,86;-0,24;79,2;"07/07/2017"
"BGI - Boi gordo";"V18";132,01;131,76;-0,25;82,5;"07/07/2017"
"BRI - IBrX-50";"Q17";10514;10484;-30;300;"07/07/2017"
"BRI - IBrX-50";"V17";10659;10631;-28;280;"07/07/2017"
"CAD - Dólar comercial canadense";"Q17";2561,248;2560,306;-0,942;56,52;"07/07/2017"
"CAD - Dólar comercial canadense";"U17";2579,719;2578,432;-1,287;77,22;"07/07/2017"
"CCM - Milho";"N17";25,14;25,3;0,16;72;"07/07/2017"
"CCM - Milho";"U17";25,92;26,09;0,17;76,5;"07/07/2017"
"CCM - Milho";"X17";27;27,25;0,25;112,5;"07/07/2017"
"CCM - Milho";"F18";27,61;27,79;0,18;81;"07/07/2017"
"CCM - Milho";"H18";29,85;29,88;0,03;13,5;"07/07/2017"
"CCM - Milho";"U18";29,9;29,9;0;0;"07/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";3457,83;3424,736;-33,094;1654,7;"07/07/2017"
"CHF - FRANCO SUÍÇO";"U17";3488,926;3454,679;-34,247;1712,35;"07/07/2017"
"CLP - PESO CHILENO";"U17";5008,8;4964,6;-44,2;1105;"07/07/2017"
"DAP - Cupom de DI x IPCA";"N17";99723,37;99705,65;-17,72;21,43;"07/07/2017"
"DAP - Cupom de DI x IPCA";"Q17";99110,39;99056,6;-53,79;65,05;"07/07/2017"
"DAP - Cupom de DI x IPCA";"F18";97611,77;97562,4;-49,37;59,7;"07/07/2017"
"DAP - Cupom de DI x IPCA";"Q18";95214,69;95176,7;-37,99;45,94;"07/07/2017"
"DAP - Cupom de DI x IPCA";"F19";93348,07;93308,6;-39,47;47,73;"07/07/2017"
"DAP - Cupom de DI x IPCA";"K19";92070,67;92037,24;-33,43;40,42;"07/07/2017"
"DAP - Cupom de DI x IPCA";"Q20";85462,01;85402,93;-59,08;71,45;"07/07/2017"
"DAP - Cupom de DI x IPCA";"K21";81678,84;81593,35;-85,49;103,39;"07/07/2017"
"DAP - Cupom de DI x IPCA";"Q22";75675,78;75588,27;-87,51;105,83;"07/07/2017"
"DAP - Cupom de DI x IPCA";"K23";72627,22;72498,26;-128,96;155,96;"07/07/2017"
"DAP - Cupom de DI x IPCA";"Q24";67918,71;67691,19;-227,52;275,15;"07/07/2017"
"DAP - Cupom de DI x IPCA";"Q26";60649,45;60348,76;-300,69;363,64;"07/07/2017"
"DAP - Cupom de DI x IPCA";"Q30";48777,77;48504,63;-273,14;330,33;"07/07/2017"
"DDI - Cupom cambial";"Q17";99713,52;99067,8;-645,72;1067,5;"07/07/2017"
"DDI - Cupom cambial";"U17";99572,56;98925,88;-646,68;1069,09;"07/07/2017"
