"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"Q17";"2.477,3390";"2.490,1360";"12,7970";"767,82";"13/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.492,5360";"2.505,5310";"12,9950";"779,70";"13/07/2017"
"BGI - Boi gordo";"N17";"125,00";"123,69";"-1,31";"432,30";"13/07/2017"
"BGI - Boi gordo";"Q17";"125,95";"125,78";"-0,17";"56,10";"13/07/2017"
"BGI - Boi gordo";"U17";"127,50";"126,75";"-0,75";"247,50";"13/07/2017"
"BGI - Boi gordo";"V17";"129,05";"127,89";"-1,16";"382,80";"13/07/2017"
"BGI - Boi gordo";"X17";"129,13";"127,97";"-1,16";"382,80";"13/07/2017"
"BGI - Boi gordo";"Z17";"129,55";"128,39";"-1,16";"382,80";"13/07/2017"
"BGI - Boi gordo";"K18";"129,46";"128,30";"-1,16";"382,80";"13/07/2017"
"BGI - Boi gordo";"V18";"134,58";"133,37";"-1,21";"399,30";"13/07/2017"
"BRI - IBrX-50";"Q17";"10.904";"10.960";"56";"560,00";"13/07/2017"
"BRI - IBrX-50";"V17";"11.056";"11.112";"56";"560,00";"13/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.536,4990";"2.531,5760";"-4,9230";"295,38";"13/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.554,3230";"2.549,2640";"-5,0590";"303,54";"13/07/2017"
"CCM - Milho";"N17";"26,45";"26,30";"-0,15";"67,50";"13/07/2017"
"CCM - Milho";"U17";"26,37";"25,99";"-0,38";"171,00";"13/07/2017"
"CCM - Milho";"X17";"27,80";"27,45";"-0,35";"157,50";"13/07/2017"
"CCM - Milho";"F18";"28,07";"27,80";"-0,27";"121,50";"13/07/2017"
"CCM - Milho";"H18";"30,09";"29,80";"-0,29";"130,50";"13/07/2017"
"CCM - Milho";"K18";"29,33";"29,04";"-0,29";"130,50";"13/07/2017"
"CCM - Milho";"U18";"29,84";"29,54";"-0,30";"135,00";"13/07/2017"
