"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.537,5550";"2.537,5550";"0,0000";"0,00";"03/07/2017"
"AUD - Dólar comercial australiano";"Q17";"2.553,7010";"2.537,7280";"-15,9730";"958,38";"03/07/2017"
"AUD - Dólar comercial australiano";"U17";"2.569,5450";"2.553,7340";"-15,8110";"948,66";"03/07/2017"
"BGI - Boi gordo";"N17";"123,63";"124,91";"1,28";"422,40";"03/07/2017"
"BGI - Boi gordo";"Q17";"124,06";"125,34";"1,28";"422,40";"03/07/2017"
"BGI - Boi gordo";"U17";"123,96";"125,24";"1,28";"422,40";"03/07/2017"
"BGI - Boi gordo";"V17";"124,58";"125,87";"1,29";"425,70";"03/07/2017"
"BGI - Boi gordo";"X17";"125,24";"126,00";"0,76";"250,80";"03/07/2017"
"BGI - Boi gordo";"Z17";"125,65";"126,41";"0,76";"250,80";"03/07/2017"
"BGI - Boi gordo";"K18";"125,94";"126,65";"0,71";"234,30";"03/07/2017"
"BGI - Boi gordo";"V18";"130,81";"131,52";"0,71";"234,30";"03/07/2017"
"BRI - IBrX-50";"Q17";"10.613";"10.673";"60";"600,00";"03/07/2017"
"BRI - IBrX-50";"V17";"10.761";"10.821";"60";"600,00";"03/07/2017"
"CAD - Dólar comercial canadense";"N17";"2.547,3170";"2.547,3170";"0,0000";"0,00";"03/07/2017"
"CAD - Dólar comercial canadense";"Q17";"2.565,9320";"2.552,0420";"-13,8900";"833,40";"03/07/2017"
"CAD - Dólar comercial canadense";"U17";"2.584,0490";"2.570,2490";"-13,8000";"828,00";"03/07/2017"
"CCM - Milho";"N17";"25,55";"25,35";"-0,20";"90,00";"03/07/2017"
"CCM - Milho";"U17";"25,84";"26,25";"0,41";"184,50";"03/07/2017"
"CCM - Milho";"X17";"26,80";"27,03";"0,23";"103,50";"03/07/2017"
"CCM - Milho";"F18";"27,30";"27,80";"0,50";"225,00";"03/07/2017"
"CCM - Milho";"H18";"28,98";"29,61";"0,63";"283,50";"03/07/2017"
"CCM - Milho";"U18";"29,55";"30,18";"0,63";"283,50";"03/07/2017"
"CHF - FRANCO SUÍÇO";"Q17";"3.476,4120";"3.447,1880";"-29,2240";"1.461,20";"03/07/2017"
