"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.471,9720";"2.485,2550";"13,2830";"796,98";"07/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.486,2890";"2.499,6590";"13,3700";"802,20";"07/06/2017"
"AUD - Dólar comercial australiano";"U17";"2.501,7650";"2.515,3830";"13,6180";"817,08";"07/06/2017"
"BGI - Boi gordo";"M17";"126,98";"126,26";"-0,72";"237,60";"07/06/2017"
"BGI - Boi gordo";"N17";"126,99";"126,44";"-0,55";"181,50";"07/06/2017"
"BGI - Boi gordo";"Q17";"127,50";"127,00";"-0,50";"165,00";"07/06/2017"
"BGI - Boi gordo";"U17";"129,59";"128,00";"-1,59";"524,70";"07/06/2017"
"BGI - Boi gordo";"V17";"130,04";"128,65";"-1,39";"458,70";"07/06/2017"
"BGI - Boi gordo";"X17";"130,73";"129,33";"-1,40";"462,00";"07/06/2017"
"BGI - Boi gordo";"Z17";"131,14";"129,74";"-1,40";"462,00";"07/06/2017"
"BGI - Boi gordo";"K18";"133,01";"131,00";"-2,01";"663,30";"07/06/2017"
"BGI - Boi gordo";"V18";"138,96";"136,86";"-2,10";"693,00";"07/06/2017"
"BRI - IBrX-50";"Q17";"10.671";"10.706";"35";"350,00";"07/06/2017"
"BRI - IBrX-50";"V17";"10.822";"10.858";"36";"360,00";"07/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.448,9910";"2.438,4660";"-10,5250";"631,50";"07/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.465,5980";"2.455,1290";"-10,4690";"628,14";"07/06/2017"
"CAD - Dólar comercial canadense";"U17";"2.483,5660";"2.473,0540";"-10,5120";"630,72";"07/06/2017"
"CCM - Milho";"N17";"26,00";"26,60";"0,60";"270,00";"07/06/2017"
"CCM - Milho";"U17";"26,99";"27,39";"0,40";"180,00";"07/06/2017"
"CCM - Milho";"X17";"27,90";"28,35";"0,45";"202,50";"07/06/2017"
"CCM - Milho";"F18";"28,73";"29,14";"0,41";"184,50";"07/06/2017"
"CCM - Milho";"H18";"30,15";"30,58";"0,43";"193,50";"07/06/2017"
"CCM - Milho";"U18";"29,84";"30,24";"0,40";"180,00";"07/06/2017"
