"Mercadoria";"Vencimento";"Preço de ajuste anterior";"Preço de ajuste Atual";"Variação";"Valor do ajuste por contrato (R$)";"Data Atualização"
"AUD - Dólar comercial australiano";"N17";"2.510,8500";"2.503,9140";"-6,9360";"416,16";"13/06/2017"
"AUD - Dólar comercial australiano";"Q17";"2.524,9750";"2.518,4160";"-6,5590";"393,54";"13/06/2017"
"BGI - Boi gordo";"M17";"126,10";"126,50";"0,40";"132,00";"13/06/2017"
"BGI - Boi gordo";"N17";"125,77";"125,98";"0,21";"69,30";"13/06/2017"
"BGI - Boi gordo";"Q17";"126,60";"126,25";"-0,35";"115,50";"13/06/2017"
"BGI - Boi gordo";"U17";"127,36";"127,39";"0,03";"9,90";"13/06/2017"
"BGI - Boi gordo";"V17";"128,01";"128,04";"0,03";"9,90";"13/06/2017"
"BGI - Boi gordo";"X17";"128,69";"128,72";"0,03";"9,90";"13/06/2017"
"BGI - Boi gordo";"Z17";"129,10";"129,13";"0,03";"9,90";"13/06/2017"
"BGI - Boi gordo";"K18";"130,35";"130,39";"0,04";"13,20";"13/06/2017"
"BGI - Boi gordo";"V18";"136,19";"136,23";"0,04";"13,20";"13/06/2017"
"BRI - IBrX-50";"Q17";"10.451";"10.471";"20";"200,00";"13/06/2017"
"BRI - IBrX-50";"V17";"10.599";"10.620";"21";"210,00";"13/06/2017"
"CAD - Dólar comercial canadense";"N17";"2.500,8920";"2.511,4610";"10,5690";"634,14";"13/06/2017"
"CAD - Dólar comercial canadense";"Q17";"2.517,7400";"2.528,4620";"10,7220";"643,32";"13/06/2017"
"CAD - Dólar comercial canadense";"U17";"2.536,0340";"2.546,8070";"10,7730";"646,38";"13/06/2017"
"CCM - Milho";"N17";"26,20";"26,31";"0,11";"49,50";"13/06/2017"
"CCM - Milho";"U17";"27,17";"27,19";"0,02";"9,00";"13/06/2017"
"CCM - Milho";"X17";"27,90";"27,92";"0,02";"9,00";"13/06/2017"
"CCM - Milho";"F18";"28,76";"28,78";"0,02";"9,00";"13/06/2017"
"CCM - Milho";"H18";"30,10";"30,18";"0,08";"36,00";"13/06/2017"
"CCM - Milho";"U18";"29,75";"29,82";"0,07";"31,50";"13/06/2017"
"CHF - FRANCO SUÍÇO";"N17";"3.444,4540";"3.434,4600";"-9,9940";"499,70";"13/06/2017"
"CHF - FRANCO SUÍÇO";"U17";"3.502,3140";"3.492,6600";"-9,6540";"482,70";"13/06/2017"
"CLP - PESO CHILENO";"N17";"5.033,4000";"5.020,7000";"-12,7000";"317,50";"13/06/2017"
"CLP - PESO CHILENO";"Q17";"5.058,1000";"5.046,5000";"-11,6000";"290,00";"13/06/2017"
"CLP - PESO CHILENO";"U17";"5.084,9000";"5.073,5000";"-11,4000";"285,00";"13/06/2017"
"CNY - IUAN";"N17";"4.893,1380";"4.880,8380";"-12,3000";"430,50";"13/06/2017"
"DAP - Cupom de DI x IPCA";"N17";"98.998,36";"99.004,93";"6,57";"7,95";"13/06/2017"
"DAP - Cupom de DI x IPCA";"Q17";"98.566,96";"98.530,26";"-36,70";"44,42";"13/06/2017"
"DAP - Cupom de DI x IPCA";"F18";"96.820,84";"96.898,27";"77,43";"93,73";"13/06/2017"
"DAP - Cupom de DI x IPCA";"Q18";"94.052,45";"94.069,49";"17,04";"20,62";"13/06/2017"
"DAP - Cupom de DI x IPCA";"K19";"91.032,45";"90.912,49";"-119,96";"145,21";"13/06/2017"
"DAP - Cupom de DI x IPCA";"Q20";"84.552,66";"84.448,06";"-104,60";"126,62";"13/06/2017"
"DAP - Cupom de DI x IPCA";"K21";"80.854,87";"80.762,68";"-92,19";"111,59";"13/06/2017"
"DAP - Cupom de DI x IPCA";"Q22";"75.126,91";"75.124,76";"-2,15";"2,60";"13/06/2017"
"DAP - Cupom de DI x IPCA";"K23";"72.110,01";"72.027,66";"-82,35";"99,68";"13/06/2017"
"DAP - Cupom de DI x IPCA";"Q24";"67.578,84";"67.439,82";"-139,02";"168,28";"13/06/2017"
"DAP - Cupom de DI x IPCA";"Q26";"59.968,53";"59.915,06";"-53,47";"64,72";"13/06/2017"
"DAP - Cupom de DI x IPCA";"Q30";"48.085,63";"48.084,31";"-1,32";"1,59";"13/06/2017"
"DDI - Cupom cambial";"N17";"100.494,01";"100.202,63";"-291,38";"480,57";"13/06/2017"
"DDI - Cupom cambial";"Q17";"100.305,07";"100.016,34";"-288,73";"476,20";"13/06/2017"
"DDI - Cupom cambial";"U17";"100.150,81";"99.862,41";"-288,40";"475,65";"13/06/2017"
"DDI - Cupom cambial";"V17";"99.938,99";"99.649,73";"-289,26";"477,07";"13/06/2017"
"DDI - Cupom cambial";"X17";"99.740,77";"99.462,41";"-278,36";"459,09";"13/06/2017"
"DDI - Cupom cambial";"Z17";"99.539,57";"99.259,77";"-279,80";"461,47";"13/06/2017"
"DDI - Cupom cambial";"F18";"99.309,15";"99.028,37";"-280,78";"463,09";"13/06/2017"
"DDI - Cupom cambial";"G18";"99.118,32";"98.842,09";"-276,23";"455,58";"13/06/2017"
"DDI - Cupom cambial";"H18";"98.917,92";"98.641,22";"-276,70";"456,36";"13/06/2017"
"DDI - Cupom cambial";"J18";"98.663,78";"98.398,29";"-265,49";"437,87";"13/06/2017"
"DDI - Cupom cambial";"K18";"98.424,17";"98.185,26";"-238,91";"394,03";"13/06/2017"
"DDI - Cupom cambial";"M18";"98.210,64";"97.944,74";"-265,90";"438,54";"13/06/2017"
"DDI - Cupom cambial";"N18";"98.013,46";"97.747,89";"-265,57";"438,00";"13/06/2017"
"DDI - Cupom cambial";"V18";"97.336,03";"97.079,52";"-256,51";"423,06";"13/06/2017"
"DDI - Cupom cambial";"F19";"96.575,24";"96.336,84";"-238,40";"393,19";"13/06/2017"
"DDI - Cupom cambial";"J19";"95.875,12";"95.636,58";"-238,54";"393,42";"13/06/2017"
"DDI - Cupom cambial";"N19";"95.116,67";"94.837,27";"-279,40";"460,81";"13/06/2017"
"DDI - Cupom cambial";"V19";"94.271,08";"94.011,47";"-259,61";"428,17";"13/06/2017"
"DDI - Cupom cambial";"F20";"93.358,07";"93.121,79";"-236,28";"389,69";"13/06/2017"
"DDI - Cupom cambial";"J20";"92.528,25";"92.265,46";"-262,79";"433,41";"13/06/2017"
"DDI - Cupom cambial";"N20";"91.629,74";"91.375,89";"-253,85";"418,67";"13/06/2017"
"DDI - Cupom cambial";"V20";"90.687,51";"90.454,76";"-232,75";"383,87";"13/06/2017"
"DDI - Cupom cambial";"F21";"89.661,30";"89.460,42";"-200,88";"331,31";"13/06/2017"
"DDI - Cupom cambial";"J21";"88.807,24";"88.652,13";"-155,11";"255,82";"13/06/2017"
"DDI - Cupom cambial";"N21";"87.780,36";"87.617,33";"-163,03";"268,88";"13/06/2017"
"DDI - Cupom cambial";"V21";"86.852,66";"86.684,49";"-168,17";"277,36";"13/06/2017"
"DDI - Cupom cambial";"F22";"85.690,39";"85.556,92";"-133,47";"220,13";"13/06/2017"
"DDI - Cupom cambial";"J22";"84.826,93";"84.698,65";"-128,28";"211,57";"13/06/2017"
"DDI - Cupom cambial";"F23";"81.732,68";"81.565,53";"-167,15";"275,68";"13/06/2017"
"DDI - Cupom cambial";"F24";"77.728,71";"77.603,00";"-125,71";"207,33";"13/06/2017"
"DDI - Cupom cambial";"F25";"73.564,72";"73.428,63";"-136,09";"224,45";"13/06/2017"
"DDI - Cupom cambial";"F26";"69.485,85";"69.397,59";"-88,26";"145,56";"13/06/2017"
"DDI - Cupom cambial";"F27";"65.530,05";"65.417,20";"-112,85";"186,12";"13/06/2017"
"DDI - Cupom cambial";"F28";"61.975,53";"61.885,44";"-90,09";"148,58";"13/06/2017"
"DDI - Cupom cambial";"F30";"55.392,20";"55.320,58";"-71,62";"118,12";"13/06/2017"
"DI1 - DI de 1 dia";"N17";"99.502,54";"99.502,72";"0,18";"0,18";"13/06/2017"
"DI1 - DI de 1 dia";"Q17";"98.711,58";"98.711,29";"-0,29";"0,29";"13/06/2017"
"DI1 - DI de 1 dia";"U17";"97.909,76";"97.906,53";"-3,23";"3,23";"13/06/2017"
"DI1 - DI de 1 dia";"V17";"97.242,56";"97.236,57";"-5,99";"5,99";"13/06/2017"
"DI1 - DI de 1 dia";"X17";"96.558,71";"96.545,94";"-12,77";"12,77";"13/06/2017"
"DI1 - DI de 1 dia";"Z17";"95.934,77";"95.917,39";"-17,38";"17,38";"13/06/2017"
"DI1 - DI de 1 dia";"F18";"95.321,97";"95.297,05";"-24,92";"24,92";"13/06/2017"
"DI1 - DI de 1 dia";"G18";"94.629,40";"94.609,28";"-20,12";"20,12";"13/06/2017"
"DI1 - DI de 1 dia";"H18";"94.061,52";"94.039,57";"-21,95";"21,95";"13/06/2017"
"DI1 - DI de 1 dia";"J18";"93.404,55";"93.377,12";"-27,43";"27,43";"13/06/2017"
"DI1 - DI de 1 dia";"K18";"92.738,51";"92.707,30";"-31,21";"31,21";"13/06/2017"
"DI1 - DI de 1 dia";"M18";"92.078,89";"92.044,46";"-34,43";"34,43";"13/06/2017"
"DI1 - DI de 1 dia";"N18";"91.407,43";"91.368,91";"-38,52";"38,52";"13/06/2017"
"DI1 - DI de 1 dia";"V18";"89.347,89";"89.302,17";"-45,72";"45,72";"13/06/2017"
"DI1 - DI de 1 dia";"F19";"87.354,81";"87.277,92";"-76,89";"76,89";"13/06/2017"
"DI1 - DI de 1 dia";"J19";"85.307,86";"85.235,89";"-71,97";"71,97";"13/06/2017"
"DI1 - DI de 1 dia";"N19";"83.223,92";"83.129,52";"-94,40";"94,40";"13/06/2017"
"DI1 - DI de 1 dia";"V19";"81.001,20";"80.881,45";"-119,75";"119,75";"13/06/2017"
"DI1 - DI de 1 dia";"F20";"78.909,67";"78.762,49";"-147,18";"147,18";"13/06/2017"
"DI1 - DI de 1 dia";"J20";"76.828,58";"76.662,44";"-166,14";"166,14";"13/06/2017"
"DI1 - DI de 1 dia";"N20";"74.801,61";"74.677,86";"-123,75";"123,75";"13/06/2017"
"DI1 - DI de 1 dia";"V20";"72.671,61";"72.552,55";"-119,06";"119,06";"13/06/2017"
"DI1 - DI de 1 dia";"F21";"70.747,70";"70.544,02";"-203,68";"203,68";"13/06/2017"
"DI1 - DI de 1 dia";"J21";"68.872,99";"68.715,65";"-157,34";"157,34";"13/06/2017"
"DI1 - DI de 1 dia";"N21";"66.972,33";"66.838,98";"-133,35";"133,35";"13/06/2017"
"DI1 - DI de 1 dia";"V21";"65.128,08";"64.985,23";"-142,85";"142,85";"13/06/2017"
"DI1 - DI de 1 dia";"F22";"63.370,71";"63.215,99";"-154,72";"154,72";"13/06/2017"
"DI1 - DI de 1 dia";"J22";"61.685,69";"61.540,35";"-145,34";"145,34";"13/06/2017"
"DI1 - DI de 1 dia";"N22";"60.051,02";"59.915,96";"-135,06";"135,06";"13/06/2017"
"DI1 - DI de 1 dia";"F23";"56.788,20";"56.676,18";"-112,02";"112,02";"13/06/2017"
"DI1 - DI de 1 dia";"N23";"53.862,82";"53.753,00";"-109,82";"109,82";"13/06/2017"
